combo,pool_plot,split,eval_type,n,n_subjects,n_models,mean,median,min,max
shared_cluster_k5_0,shared,cluster_k5_0,crsa,585,5,117,0.17442009284123222,0.1791948229074478,-0.0766287222504615,0.4126144647598266
shared_cluster_k5_0,shared,cluster_k5_0,srpr,585,5,117,0.3540109314120885,0.391576257012603,0.0706864295548886,0.4429769086257095
shared_cluster_k5_0,shared,cluster_k5_0,wrsa,585,5,117,0.39253937523119536,0.4380878210067749,-0.0632847100496292,0.5739328861236572
shared_cluster_k5_1,shared,cluster_k5_1,crsa,585,5,117,0.20025294871630672,0.1954790353775024,-0.0814936012029647,0.47510427236557
shared_cluster_k5_1,shared,cluster_k5_1,srpr,585,5,117,0.2951310638347174,0.3226258813439195,0.0522768932737513,0.3945704146783454
shared_cluster_k5_1,shared,cluster_k5_1,wrsa,585,5,117,0.32374546732634113,0.3328635990619659,-0.0286645218729972,0.6503563523292542
shared_cluster_k5_2,shared,cluster_k5_2,crsa,585,5,117,0.16503113178604947,0.1565353721380233,-0.0491124279797077,0.4170570969581604
shared_cluster_k5_2,shared,cluster_k5_2,srpr,585,5,117,0.29719897263286854,0.3309638023583803,0.026374147341837,0.391395107036889
shared_cluster_k5_2,shared,cluster_k5_2,wrsa,585,5,117,0.29868840764587123,0.3227483332157135,-0.1169568225741386,0.5426517128944397
shared_cluster_k5_3,shared,cluster_k5_3,crsa,585,5,117,0.1392444137210582,0.1340900659561157,-0.0440137796103954,0.3685929775238037
shared_cluster_k5_3,shared,cluster_k5_3,srpr,585,5,117,0.2750325752162144,0.308293445570964,0.0470449329308377,0.3669672285695668
shared_cluster_k5_3,shared,cluster_k5_3,wrsa,585,5,117,0.3264951932212163,0.3430686295032501,-0.0758496522903442,0.5874643325805664
shared_cluster_k5_4,shared,cluster_k5_4,crsa,585,5,117,0.14154015152683305,0.1317856907844543,-0.2484365105628967,0.5348353385925293
shared_cluster_k5_4,shared,cluster_k5_4,srpr,585,5,117,0.29147855783166543,0.3158659770195786,0.0659784791176904,0.3808587975214487
shared_cluster_k5_4,shared,cluster_k5_4,wrsa,585,5,117,0.23073994718953714,0.2272783517837524,-0.1167865768074989,0.7206754684448242
shared_cluster_k5_agg,shared,cluster_k5_agg,crsa,585,5,117,0.17119330475648115,0.1665522068738937,-0.035911369882524,0.4155748307704925
shared_cluster_k5_agg,shared,cluster_k5_agg,srpr,585,5,117,0.30433922424158283,0.3372689324132216,0.0720152415647245,0.3923386628901017
shared_cluster_k5_agg,shared,cluster_k5_agg,wrsa,585,5,117,0.31786255822907017,0.3384291887283325,-0.0738525062799453,0.498103928565979
shared_ood,shared,ood,crsa,585,5,117,0.0806653202593458,0.0771483182907104,-0.3285084962844848,0.6390960216522217
shared_ood,shared,ood,srpr,585,5,117,0.3192741164712287,0.3471939435805033,-0.0371809361144404,0.4152661043578196
shared_ood,shared,ood,wrsa,585,5,117,0.21651129003506728,0.2261649072170257,-0.0398581475019454,0.6038832664489746
shared_random_0,shared,random_0,crsa,585,5,117,0.1806022595252014,0.184508204460144,-0.0788653194904327,0.4502349495887756
shared_random_0,shared,random_0,srpr,585,5,117,0.3989420871431978,0.4413313608123981,0.0992513195734266,0.4925863246534948
