model,eval_type,mean,ci_lo,ci_hi,n_subjects,panel,group_label,group_color,x,x_start,x_end,mean_group,ci_lo_group,ci_hi_group,deepnsd_model,model_string,model_display_name,train_type,train_data,architecture,model_class,task_cluster,compare_architecture,compare_goal_slip,compare_goal_taskonomy_tasks,compare_goal_taskonomy_cluster,compare_diet_ipcl,compare_goal_selfsupervised,compare_goal_contrastive,compare_diet_imagenetsize
regnety_064_classification,crsa,0.10664916299283504,0.06319813020527362,0.13732291758060455,5,Fig2 architecture,Convolutional,#e69f00,0.0,-0.38,32.38,0.18209358492979047,0.1575068099750206,0.20549505699051995,regnety_064,regnety_064_classification,RegNetY-64,classification,imagenet,regnety_064,Convolutional,Semantic,Convolutional,,,,,,,
vgg16_classification,crsa,0.3185615837574005,0.2534181475639343,0.37791956663131715,5,Fig2 architecture,Convolutional,#e69f00,1.0,-0.38,32.38,0.18209358492979047,0.1575068099750206,0.20549505699051995,vgg16,vgg16_classification,VGG16,classification,imagenet,vgg16,Convolutional,Semantic,Convolutional,,,,,,,
inception_v3_classification,crsa,0.1445208877325058,0.09663075804710389,0.19863341003656387,5,Fig2 architecture,Convolutional,#e69f00,2.0,-0.38,32.38,0.18209358492979047,0.1575068099750206,0.20549505699051995,inception_v3,inception_v3_classification,Inception-V3,classification,imagenet,inception_v3,Convolutional,Semantic,Convolutional,,,,,,,
densenet121_classification,crsa,0.16788417994976043,0.09555265605449675,0.22754757404327391,5,Fig2 architecture,Convolutional,#e69f00,3.0,-0.38,32.38,0.18209358492979047,0.1575068099750206,0.20549505699051995,densenet121,densenet121_classification,DenseNet121,classification,imagenet,densenet121,Convolutional,Semantic,Convolutional,,,,,,,
squeezenet1_0_classification,crsa,0.26123293936252595,0.20709531009197235,0.3122778952121735,5,Fig2 architecture,Convolutional,#e69f00,4.0,-0.38,32.38,0.18209358492979047,0.1575068099750206,0.20549505699051995,squeezenet1_0,squeezenet1_0_classification,SqueezeNet1.0,classification,imagenet,squeezenet1_0,Convolutional,Semantic,Convolutional,,,,,,,
alexnet_classification,crsa,0.2118472695350647,0.17752520442008973,0.2430656373500824,5,Fig2 architecture,Convolutional,#e69f00,5.0,-0.38,32.38,0.18209358492979047,0.1575068099750206,0.20549505699051995,alexnet,alexnet_classification,AlexNet,classification,imagenet,alexnet,Convolutional,Semantic,Convolutional,,,,,,,
hardcorenas_a_classification,crsa,0.21666847169399261,0.18316003680229187,0.24610268771648408,5,Fig2 architecture,Convolutional,#e69f00,6.0,-0.38,32.38,0.18209358492979047,0.1575068099750206,0.20549505699051995,hardcorenas_a,hardcorenas_a_classification,HardCoreNAS-A,classification,imagenet,hardcorenas_a,Convolutional,Semantic,Convolutional,,,,,,,
dla34_classification,crsa,0.08356445264071226,0.04182253573089838,0.12482677549123763,5,Fig2 architecture,Convolutional,#e69f00,7.0,-0.38,32.38,0.18209358492979047,0.1575068099750206,0.20549505699051995,dla34,dla34_classification,DLA34,classification,imagenet,dla34,Convolutional,Semantic,Convolutional,,,,,,,
shufflenet_v2_x1_0_classification,crsa,0.23308368623256684,0.1865430235862732,0.27962434887886045,5,Fig2 architecture,Convolutional,#e69f00,8.0,-0.38,32.38,0.18209358492979047,0.1575068099750206,0.20549505699051995,shufflenet_v2_x1_0,shufflenet_v2_x1_0_classification,ShuffleNet-V2-x1.0,classification,imagenet,shufflenet_v2_x1_0,Convolutional,Semantic,Convolutional,,,,,,,
seresnext50_32x4d_classification,crsa,0.16228565126657485,0.09186445325613021,0.22354633510112762,5,Fig2 architecture,Convolutional,#e69f00,9.0,-0.38,32.38,0.18209358492979047,0.1575068099750206,0.20549505699051995,seresnext50_32x4d,seresnext50_32x4d_classification,SEResNext50-32x4D,classification,imagenet,seresnext50_32x4d,Convolutional,Semantic,Convolutional,,,,,,,
convnext_large_classification,crsa,0.2783862084150314,0.19787614643573762,0.3347908079624176,5,Fig2 architecture,Convolutional,#e69f00,10.0,-0.38,32.38,0.18209358492979047,0.1575068099750206,0.20549505699051995,convnext_large,convnext_large_classification,ConvNext-L,classification,imagenet,convnext_large,Convolutional,Semantic,Convolutional,,,,,,,imagenet
resnet18_classification,crsa,0.11673795580863952,0.09643130898475646,0.13704460263252258,5,Fig2 architecture,Convolutional,#e69f00,11.0,-0.38,32.38,0.18209358492979047,0.1575068099750206,0.20549505699051995,resnet18,resnet18_classification,ResNet18,classification,imagenet,resnet18,Convolutional,Semantic,Convolutional,,,,,,,
resnet50_classification,crsa,0.10697829369455576,0.04770565461367369,0.14461840093135833,5,Fig2 architecture,Convolutional,#e69f00,12.0,-0.38,32.38,0.18209358492979047,0.1575068099750206,0.20549505699051995,resnet50,resnet50_classification,ResNet50,classification,imagenet,resnet50,Convolutional,Semantic,Convolutional,,,,,,,
xception_classification,crsa,0.2490665376186371,0.20471071600914,0.28424155712127686,5,Fig2 architecture,Convolutional,#e69f00,13.0,-0.38,32.38,0.18209358492979047,0.1575068099750206,0.20549505699051995,xception,xception_classification,XCeption,classification,imagenet,xception,Convolutional,Semantic,Convolutional,,,,,,,
gmixer_24_224_classification,crsa,-0.013141594920307397,-0.038826093450188635,0.01617610482499003,5,Fig2 architecture,Convolutional,#e69f00,14.0,-0.38,32.38,0.18209358492979047,0.1575068099750206,0.20549505699051995,gmixer_24_224,gmixer_24_224_classification,GMixer-24,classification,imagenet,gmixer_24_224,Convolutional,Semantic,Convolutional,,,,,,,
cspresnet50_classification,crsa,0.2670861393213272,0.19653631746768951,0.336917382478714,5,Fig2 architecture,Convolutional,#e69f00,15.0,-0.38,32.38,0.18209358492979047,0.1575068099750206,0.20549505699051995,cspresnet50,cspresnet50_classification,CSP-ResNet50,classification,imagenet,cspresnet50,Convolutional,Semantic,Convolutional,,,,,,,
semnasnet_100_classification,crsa,0.21216401010751723,0.15072966665029525,0.2724757015705109,5,Fig2 architecture,Convolutional,#e69f00,16.0,-0.38,32.38,0.18209358492979047,0.1575068099750206,0.20549505699051995,semnasnet_100,semnasnet_100_classification,SemNASNet100,classification,imagenet,semnasnet_100,Convolutional,Semantic,Convolutional,,,,,,,
nf_resnet50_classification,crsa,0.15427155494689943,0.12111393511295318,0.18742917478084564,5,Fig2 architecture,Convolutional,#e69f00,17.0,-0.38,32.38,0.18209358492979047,0.1575068099750206,0.20549505699051995,nf_resnet50,nf_resnet50_classification,NF-ResNet50,classification,imagenet,nf_resnet50,Convolutional,Semantic,Convolutional,,,,,,,
regnetx_064_classification,crsa,0.20789790749549866,0.15438218116760255,0.2614136338233948,5,Fig2 architecture,Convolutional,#e69f00,18.0,-0.38,32.38,0.18209358492979047,0.1575068099750206,0.20549505699051995,regnetx_064,regnetx_064_classification,RegNetX-64,classification,imagenet,regnetx_064,Convolutional,Semantic,Convolutional,,,,,,,
