model,eval_type,n_subjects_total,n_subjects_test,n_nan_test,mean_test_score,median_test_score,sem_test_score,std_test_score,mean_train_score,median_selected_layer_index,median_selected_layer_fraction,model_class,train_type,train_data,model_source,task_cluster,comparison_group
ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,5,5,0,0.24271740019321442,0.27774351835250854,0.03832132287928978,0.08568908294580992,0.2980459123849869,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,srpr,5,5,0,0.34881647781839786,0.3602098646926021,0.0138778036915285,0.031031712432655248,0.4802428561532679,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,wrsa,5,5,0,0.35075967013835907,0.34511759877204895,0.038968376909488664,0.08713593974244983,0.393355005979538,9.0,0.75,,,,,,
ResNet50/ClusterFit/16K/RotNet_selfsupervised,crsa,5,5,0,0.16933181881904602,0.17993858456611633,0.02061293412267627,0.04609192191402913,0.22015547454357148,12.0,1.0,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,srpr,5,5,0,0.31986450428700364,0.32437866274497673,0.015364367070466154,0.03435576920082162,0.46124584391798196,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,wrsa,5,5,0,0.21434410214424132,0.22494995594024658,0.03207670463845185,0.07172569206576115,0.3606263279914856,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,crsa,5,5,0,0.29364076256752014,0.3356109857559204,0.04779130660996779,0.10686461031342301,0.3630599915981293,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,srpr,5,5,0,0.3464113484579892,0.35631292699493955,0.012966210586769326,0.02899332828259364,0.47959778229033967,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,wrsa,5,5,0,0.2617818653583527,0.27502766251564026,0.030329008070329216,0.06781772373539587,0.39382060170173644,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/Goyal19_selfsupervised,crsa,5,5,0,0.009072607569396495,0.006317274644970894,0.023094687605521587,0.05164129140506811,0.19113000035285949,3.0,0.25,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,srpr,5,5,0,0.3030190102361287,0.3078583473437747,0.012877597721482165,0.028795183892130503,0.4154245377994544,3.0,0.25,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,wrsa,5,5,0,0.24215007424354554,0.22727835178375244,0.027537031588330783,0.06157467453006663,0.33246095180511476,3.0,0.25,,,,,,
ResNet50/JigSaw/P100_selfsupervised,crsa,5,5,0,0.17263663113117217,0.12714341282844543,0.051040983460184694,0.11413110865541541,0.19490140676498413,11.0,0.9166666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/P100_selfsupervised,srpr,5,5,0,0.29845881079640124,0.2921759671914925,0.012310939459606759,0.02752809749856525,0.42079095504819425,11.0,0.9166666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/P100_selfsupervised,wrsa,5,5,0,0.19548484981060027,0.19291888177394867,0.024410062605880103,0.054582559321773576,0.3380844831466675,11.0,0.9166666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/MoCoV2/BS256_selfsupervised,crsa,5,5,0,0.22983703911304473,0.24538502097129822,0.023736254976044268,0.05307587965770263,0.25433515310287474,9.0,0.75,,,,,,
ResNet50/MoCoV2/BS256_selfsupervised,srpr,5,5,0,0.33773980551115207,0.3276409672544734,0.014167947024352581,0.03168049264806824,0.4744047752858857,5.0,0.4166666666666667,,,,,,
ResNet50/MoCoV2/BS256_selfsupervised,wrsa,5,5,0,0.22259770333766937,0.22867688536643982,0.05424868046563268,0.12130373721081962,0.39324697852134705,12.0,1.0,,,,,,
ResNet50/PIRL_selfsupervised,crsa,5,5,0,0.23028353750705718,0.2817690074443817,0.038999372475754836,0.08720524793562208,0.29943046569824217,12.0,1.0,,,,,,
ResNet50/PIRL_selfsupervised,srpr,5,5,0,0.34149681364996154,0.3336753428134715,0.01610226270067444,0.0360057539902674,0.46587429113146817,9.0,0.75,,,,,,
ResNet50/PIRL_selfsupervised,wrsa,5,5,0,0.3822855532169342,0.3857485055923462,0.04413983510123677,0.09869967180199674,0.38192967176437376,9.0,0.75,,,,,,
ResNet50/RotNet_selfsupervised,crsa,5,5,0,0.04585922434926033,0.023951947689056396,0.03697247232777414,0.08267296142113287,0.20828912556171417,7.0,0.5833333333333334,,,,,,
ResNet50/RotNet_selfsupervised,srpr,5,5,0,0.30713492583746316,0.30795151762265016,0.009967604542833125,0.022288241330610598,0.4256037823118663,9.0,0.75,,,,,,
ResNet50/RotNet_selfsupervised,wrsa,5,5,0,0.20191400945186616,0.19022351503372192,0.025591828648926604,0.05722506852752649,0.35408411622047425,12.0,1.0,,,,,,
ResNet50/SimCLR_selfsupervised,crsa,5,5,0,0.3376031517982483,0.3741481900215149,0.04154725136489263,0.09290247833017085,0.2852978765964508,5.0,0.4166666666666667,,,,,,
ResNet50/SimCLR_selfsupervised,srpr,5,5,0,0.3464614958139072,0.34594425292687414,0.008004242267072584,0.01789802981755131,0.47985836999800224,9.0,0.75,,,,,,
ResNet50/SimCLR_selfsupervised,wrsa,5,5,0,0.27322512567043306,0.3475317060947418,0.058469899458203335,0.13074266982612082,0.398019540309906,9.0,0.75,,,,,,
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,crsa,5,5,0,0.2716954082250595,0.3050757944583893,0.031856521112226,0.07123334673359454,0.25794092416763303,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,srpr,5,5,0,0.3552958154876876,0.36021828893283636,0.00974770031483346,0.02179652052826373,0.4772062688659358,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,wrsa,5,5,0,0.09447713042609393,0.05007393658161163,0.06268164473348482,0.14016041856556374,0.39442768692970276,12.0,1.0,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ViT/B/CLIP_slip,crsa,5,5,0,-0.09860373958945275,-0.10184010118246078,0.027669711162907673,0.061871355078046315,0.11841593310236931,11.0,0.9166666666666666,,,,,,
ViT/B/CLIP_slip,srpr,5,5,0,0.33094798181589763,0.32545918542671803,0.013451640150396441,0.030078781785151953,0.46325756916242894,7.0,0.5833333333333334,,,,,,
ViT/B/CLIP_slip,wrsa,5,5,0,0.2637875020503998,0.2312384694814682,0.053594521321557995,0.11984099289656557,0.36003860235214236,7.0,0.5833333333333334,,,,,,
ViT/B/SLIP_slip,crsa,5,5,0,-0.01896162275224924,-0.015416928566992283,0.030686022482179293,0.06861603222923973,0.10890312194824218,6.0,0.5,,,,,,
ViT/B/SLIP_slip,srpr,5,5,0,0.32435306628205185,0.3232653084252838,0.014058790675827887,0.03143641163259136,0.45930053241872565,6.0,0.5,,,,,,
ViT/B/SLIP_slip,wrsa,5,5,0,0.27565203309059144,0.2741870880126953,0.04533410025614998,0.101370129871542,0.3706518471240997,6.0,0.5,,,,,,
ViT/B/SimCLR_slip,crsa,5,5,0,0.021334117650985716,0.034181032329797745,0.026736858663927363,0.059785433477345794,0.11313929557800292,6.0,0.5,,,,,,
ViT/B/SimCLR_slip,srpr,5,5,0,0.309934008556206,0.3142274235835371,0.010046681837773472,0.02246506353757401,0.45697496598204596,6.0,0.5,,,,,,
