model,eval_type,mean,ci_lo,ci_hi,n_subjects,panel,group_label,group_color,x,x_start,x_end,mean_group,ci_lo_group,ci_hi_group,deepnsd_model,model_string,model_display_name,train_type,train_data,architecture,model_class,task_cluster,compare_architecture,compare_goal_slip,compare_goal_taskonomy_tasks,compare_goal_taskonomy_cluster,compare_diet_ipcl,compare_goal_selfsupervised,compare_goal_contrastive,compare_diet_imagenetsize
squeezenet1_0_classification,crsa,0.29522226691246034,0.26418553590774535,0.329609249830246,5,Fig2 architecture,Convolutional,#e69f00,0.0,-0.38,32.38,0.20983933500719795,0.19230241976446952,0.2265729544514395,squeezenet1_0,squeezenet1_0_classification,SqueezeNet1.0,classification,imagenet,squeezenet1_0,Convolutional,Semantic,Convolutional,,,,,,,
vgg16_classification,crsa,0.31073009967803955,0.2735060626268387,0.3461198347806931,5,Fig2 architecture,Convolutional,#e69f00,1.0,-0.38,32.38,0.20983933500719795,0.19230241976446952,0.2265729544514395,vgg16,vgg16_classification,VGG16,classification,imagenet,vgg16,Convolutional,Semantic,Convolutional,,,,,,,
alexnet_classification,crsa,0.24502635717391966,0.2307803112268448,0.25927240312099453,5,Fig2 architecture,Convolutional,#e69f00,2.0,-0.38,32.38,0.20983933500719795,0.19230241976446952,0.2265729544514395,alexnet,alexnet_classification,AlexNet,classification,imagenet,alexnet,Convolutional,Semantic,Convolutional,,,,,,,
densenet121_classification,crsa,0.17203869730234148,0.15271868467330932,0.19230963230133058,5,Fig2 architecture,Convolutional,#e69f00,3.0,-0.38,32.38,0.20983933500719795,0.19230241976446952,0.2265729544514395,densenet121,densenet121_classification,DenseNet121,classification,imagenet,densenet121,Convolutional,Semantic,Convolutional,,,,,,,
regnety_064_classification,crsa,0.19896221987903118,0.177649112790823,0.22488801181316376,5,Fig2 architecture,Convolutional,#e69f00,4.0,-0.38,32.38,0.20983933500719795,0.19230241976446952,0.2265729544514395,regnety_064,regnety_064_classification,RegNetY-64,classification,imagenet,regnety_064,Convolutional,Semantic,Convolutional,,,,,,,
dla34_classification,crsa,0.1971250629425049,0.16319362342357635,0.25566772729158405,5,Fig2 architecture,Convolutional,#e69f00,5.0,-0.38,32.38,0.20983933500719795,0.19230241976446952,0.2265729544514395,dla34,dla34_classification,DLA34,classification,imagenet,dla34,Convolutional,Semantic,Convolutional,,,,,,,
seresnext50_32x4d_classification,crsa,0.21721363425254822,0.17572588086128235,0.258990039229393,5,Fig2 architecture,Convolutional,#e69f00,6.0,-0.38,32.38,0.20983933500719795,0.19230241976446952,0.2265729544514395,seresnext50_32x4d,seresnext50_32x4d_classification,SEResNext50-32x4D,classification,imagenet,seresnext50_32x4d,Convolutional,Semantic,Convolutional,,,,,,,
resnet18_classification,crsa,0.19770141601562502,0.1855689299106598,0.2098339021205902,5,Fig2 architecture,Convolutional,#e69f00,7.0,-0.38,32.38,0.20983933500719795,0.19230241976446952,0.2265729544514395,resnet18,resnet18_classification,ResNet18,classification,imagenet,resnet18,Convolutional,Semantic,Convolutional,,,,,,,
resnet152_classification,crsa,0.16420673176646233,0.15146479412913322,0.17413672178983688,5,Fig2 architecture,Convolutional,#e69f00,8.0,-0.38,32.38,0.20983933500719795,0.19230241976446952,0.2265729544514395,resnet152,resnet152_classification,ResNet152,classification,imagenet,resnet152,Convolutional,Semantic,Convolutional,,,,,,,
nf_resnet50_classification,crsa,0.23783884763717653,0.21800991415977478,0.2609105283021927,5,Fig2 architecture,Convolutional,#e69f00,9.0,-0.38,32.38,0.20983933500719795,0.19230241976446952,0.2265729544514395,nf_resnet50,nf_resnet50_classification,NF-ResNet50,classification,imagenet,nf_resnet50,Convolutional,Semantic,Convolutional,,,,,,,
