model,eval_type,n_subjects_total,n_subjects_test,n_nan_test,mean_test_score,median_test_score,sem_test_score,std_test_score,mean_train_score,median_selected_layer_index,median_selected_layer_fraction,model_class,train_type,train_data,model_source,task_cluster,comparison_group
ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,5,5,0,0.25896160304546356,0.27630627155303955,0.022053645454129987,0.04931345038711384,0.29375626385211945,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,srpr,5,5,0,0.3674099226115769,0.3682774591627041,0.004342638681152575,0.009710435292777195,0.4597471469423403,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,wrsa,5,5,0,0.42763388037681577,0.40041526556015017,0.02126699947258832,0.047554456498159654,0.37023951768875124,9.0,0.75,,,,,,
ResNet50/ClusterFit/16K/RotNet_selfsupervised,crsa,5,5,0,0.19642715394496918,0.20239207446575164,0.006008715161000739,0.01343589555743125,0.2145437318086624,12.0,1.0,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,srpr,5,5,0,0.3442686276289221,0.3449206637001262,0.004976348651194895,0.011127453863811174,0.43870130269837315,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,wrsa,5,5,0,0.3376155173778534,0.31424297392368317,0.019259451284491864,0.043065442281469454,0.33359769701957703,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,crsa,5,5,0,0.2989440649747849,0.3076881289482117,0.016159505529385512,0.03613375284648973,0.34906394839286803,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,srpr,5,5,0,0.36619630535202297,0.36566857343338255,0.005860710644030195,0.013104947396508087,0.4586782949633731,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,wrsa,5,5,0,0.3771733272075653,0.37188013792037966,0.022800085778208395,0.05098254169290017,0.3670743215084076,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/Goyal19_selfsupervised,crsa,5,5,0,0.11287262752652168,0.09980381652712822,0.019042175487359005,0.04257959882921492,0.1521254822611809,3.0,0.25,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,srpr,5,5,0,0.3002641592010066,0.3006816471410214,0.00498078551024647,0.01113737498225708,0.39728439459318166,3.0,0.25,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,wrsa,5,5,0,0.318623206615448,0.31158530414104463,0.014172459551828227,0.03169058296625411,0.3122780108451843,3.0,0.25,,,,,,
ResNet50/JigSaw/P100_selfsupervised,crsa,5,5,0,0.20959528312087058,0.21340685039758683,0.020977091993331237,0.04690620366735521,0.20169488787651063,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/P100_selfsupervised,srpr,5,5,0,0.3036733541345614,0.3066514831681847,0.004936820046578445,0.01103906521683308,0.3998108411693862,11.0,0.9166666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/P100_selfsupervised,wrsa,5,5,0,0.30402314007282255,0.29738095998764036,0.015698813915760904,0.03510361508176104,0.313290468454361,11.0,0.9166666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/MoCoV2/BS256_selfsupervised,crsa,5,5,0,0.2218948942422867,0.23345892429351806,0.01345865787023765,0.03009447388376393,0.25674209177494045,9.0,0.75,,,,,,
ResNet50/MoCoV2/BS256_selfsupervised,srpr,5,5,0,0.3593532949223489,0.36149502431846986,0.005258238096972487,0.0117577778267096,0.4533311107508954,9.0,0.75,,,,,,
ResNet50/MoCoV2/BS256_selfsupervised,wrsa,5,5,0,0.37351906120777134,0.3508547991514206,0.03028073286582684,0.06770977709650082,0.36503519892692565,9.0,0.75,,,,,,
ResNet50/PIRL_selfsupervised,crsa,5,5,0,0.27546343982219695,0.2745527893304825,0.012502745349338762,0.027956988506490824,0.2966377699375152,12.0,1.0,,,,,,
ResNet50/PIRL_selfsupervised,srpr,5,5,0,0.34731934926752206,0.34976971376134947,0.005991495471087524,0.013397391160233824,0.4450306399306996,9.0,0.75,,,,,,
ResNet50/PIRL_selfsupervised,wrsa,5,5,0,0.4058222234249115,0.39473165273666383,0.021001923861050226,0.04696172941158318,0.35952996015548705,9.0,0.75,,,,,,
ResNet50/RotNet_selfsupervised,crsa,5,5,0,0.16164966091513633,0.17933556884527208,0.01618785081410103,0.03619713482995522,0.18381572842597962,9.0,0.75,,,,,,
ResNet50/RotNet_selfsupervised,srpr,5,5,0,0.3141002873447568,0.3123339548416779,0.004125903467084155,0.00922580062100224,0.40559330434818663,9.0,0.75,,,,,,
ResNet50/RotNet_selfsupervised,wrsa,5,5,0,0.2739416551589966,0.2772293508052826,0.0211733176678324,0.04734497761447057,0.32166959106922144,12.0,1.0,,,,,,
