model,score,rank
ResNet50/BarlowTwins/BS2048_selfsupervised,0.42763388037681577,1
swin_tiny_patch4_window7_224_classification,0.42156841874122614,2
gmlp_s16_224_classification,0.4215267461538315,3
ViT/S/SimCLR_slip,0.4215248453617096,4
levit_128_classification,0.4066315680742264,5
hardcorenas_f_classification,0.4065475487709045,6
ResNet50/PIRL_selfsupervised,0.4058222234249115,7
ViT/L/SimCLR_slip,0.4017707479000091,8
poolformer_s36_classification,0.40158079028129573,9
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,0.3983910775184631,10
resmlp_big_24_224_in22ft1k_classification,0.3971501731872559,11
jx_nest_tiny_classification,0.3964200419187546,12
mobilenet_v2_classification,0.3896729296445846,13
pit_ti_224_classification,0.38841085016727445,14
mixer_b16_224_in21k_classification,0.38821399986743926,15
mixer_b16_224_classification,0.38821399986743926,16
ResNet50/SimCLR_selfsupervised,0.3859768772125244,17
eca_nfnet_l0_classification,0.3854722964763641,18
swin_base_patch4_window7_224_classification,0.38311581969261166,19
ViT/B/SLIP_slip,0.38172788739204405,20
convnext_base_in22k_classification,0.38026799559593194,21
visformer_small_classification,0.37785930097103115,22
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,0.3771733272075653,23
deit_base_patch16_224_classification,0.3770684623718261,24
convnext_base_classification,0.37681130588054657,25
ViT/L/SLIP_slip,0.37656396985054014,26
crossvit_base_240_classification,0.37604363262653345,27
vit_base_patch16_224_classification,0.37588301539421076,28
vit_base_patch16_224_in21k_classification,0.3756516164541244,29
ViT/S/SLIP_slip,0.3751769137382507,30
coat_lite_tiny_classification,0.3748370850086212,31
cspresnet50_classification,0.37417789757251735,32
pit_b_224_classification,0.37358531117439264,33
ResNet50/MoCoV2/BS256_selfsupervised,0.37351906120777134,34
mixer_l16_224_classification,0.3730396777391433,35
mixer_l16_224_in21k_classification,0.3730396777391433,36
ViT/B/SimCLR_slip,0.37172691226005555,37
vit_small_patch32_224_classification,0.37090093433856963,38
ViT/B/CLIP_slip,0.3674274766445159,39
vit_large_patch16_224_classification,0.3661393785476684,40
alexnet_gn_ipcl_openimages,0.36473250448703765,41
resnet101_classification,0.3646076840162277,42
alexnet_gn_ipcl_imagenet,0.3644597291946411,43
mobilenetv3_large_100_classification,0.36384848654270174,44
vit_small_patch16_224_classification,0.3627968275547027,45
alexnet_gn_ipcl_vggface2,0.3602543956041336,46
gmixer_24_224_classification,0.35968543767929073,47
vit_base_patch32_224_classification,0.35861745595932004,48
ViT/L/CLIP_slip,0.35836537837982174,49
resnet50_classification,0.35611801803112025,50
skresnext50_32x4d_classification,0.3545436143875122,51
mnasnet1_0_classification,0.3544580435752868,52
tnt_s_patch16_224_classification,0.3511246448755264,53
efficientnet_b3_classification,0.3508877325057983,54
vit_large_patch16_224_in21k_classification,0.3491289937496185,55
inception_v3_classification,0.3480121898651123,56
ViT/S/CLIP_slip,0.34784681379795074,57
