model,eval_type,mean,ci_lo,ci_hi,n_subjects,panel,group_label,group_color,x,x_start,x_end,mean_group,ci_lo_group,ci_hi_group,deepnsd_model,model_string,model_display_name,train_type,train_data,architecture,model_class,task_cluster,compare_architecture,compare_goal_slip,compare_goal_taskonomy_tasks,compare_goal_taskonomy_cluster,compare_diet_ipcl,compare_goal_selfsupervised,compare_goal_contrastive,compare_diet_imagenetsize
vgg16_classification,crsa,0.29825927317142487,0.21563459932804108,0.3796569466590881,5,Fig2 architecture,Convolutional,#e69f00,0.0,-0.38,32.38,0.10971212259892402,0.07672422563057009,0.14228455080632665,vgg16,vgg16_classification,VGG16,classification,imagenet,vgg16,Convolutional,Semantic,Convolutional,,,,,,,
densenet121_classification,crsa,-0.02309972532093525,-0.0912398599088192,0.03657532595098019,5,Fig2 architecture,Convolutional,#e69f00,1.0,-0.38,32.38,0.10971212259892402,0.07672422563057009,0.14228455080632665,densenet121,densenet121_classification,DenseNet121,classification,imagenet,densenet121,Convolutional,Semantic,Convolutional,,,,,,,
regnety_064_classification,crsa,-0.024259711056947707,-0.08957497477531434,0.04105555266141892,5,Fig2 architecture,Convolutional,#e69f00,2.0,-0.38,32.38,0.10971212259892402,0.07672422563057009,0.14228455080632665,regnety_064,regnety_064_classification,RegNetY-64,classification,imagenet,regnety_064,Convolutional,Semantic,Convolutional,,,,,,,
hardcorenas_a_classification,crsa,0.15309909731149673,0.11936172097921371,0.18398415744304658,5,Fig2 architecture,Convolutional,#e69f00,3.0,-0.38,32.38,0.10971212259892402,0.07672422563057009,0.14228455080632665,hardcorenas_a,hardcorenas_a_classification,HardCoreNAS-A,classification,imagenet,hardcorenas_a,Convolutional,Semantic,Convolutional,,,,,,,
seresnext50_32x4d_classification,crsa,0.09577464759349823,0.07493353486061097,0.12027567625045776,5,Fig2 architecture,Convolutional,#e69f00,4.0,-0.38,32.38,0.10971212259892402,0.07672422563057009,0.14228455080632665,seresnext50_32x4d,seresnext50_32x4d_classification,SEResNext50-32x4D,classification,imagenet,seresnext50_32x4d,Convolutional,Semantic,Convolutional,,,,,,,
alexnet_classification,crsa,0.17021454423666,0.1167805090546608,0.2164658099412918,5,Fig2 architecture,Convolutional,#e69f00,5.0,-0.38,32.38,0.10971212259892402,0.07672422563057009,0.14228455080632665,alexnet,alexnet_classification,AlexNet,classification,imagenet,alexnet,Convolutional,Semantic,Convolutional,,,,,,,
squeezenet1_0_classification,crsa,0.2590514987707138,0.20192321240901948,0.3026928842067719,5,Fig2 architecture,Convolutional,#e69f00,6.0,-0.38,32.38,0.10971212259892402,0.07672422563057009,0.14228455080632665,squeezenet1_0,squeezenet1_0_classification,SqueezeNet1.0,classification,imagenet,squeezenet1_0,Convolutional,Semantic,Convolutional,,,,,,,
semnasnet_100_classification,crsa,0.06516698189079762,-0.006150328740477565,0.1321963205933571,5,Fig2 architecture,Convolutional,#e69f00,7.0,-0.38,32.38,0.10971212259892402,0.07672422563057009,0.14228455080632665,semnasnet_100,semnasnet_100_classification,SemNASNet100,classification,imagenet,semnasnet_100,Convolutional,Semantic,Convolutional,,,,,,,
cspresnet50_classification,crsa,0.15171931460499763,0.07629319876432418,0.2271454304456711,5,Fig2 architecture,Convolutional,#e69f00,8.0,-0.38,32.38,0.10971212259892402,0.07672422563057009,0.14228455080632665,cspresnet50,cspresnet50_classification,CSP-ResNet50,classification,imagenet,cspresnet50,Convolutional,Semantic,Convolutional,,,,,,,
convnext_large_classification,crsa,0.1659075066447258,0.11644960939884186,0.21536540389060974,5,Fig2 architecture,Convolutional,#e69f00,9.0,-0.38,32.38,0.10971212259892402,0.07672422563057009,0.14228455080632665,convnext_large,convnext_large_classification,ConvNext-L,classification,imagenet,convnext_large,Convolutional,Semantic,Convolutional,,,,,,,imagenet
mobilenetv3_large_100_classification,crsa,0.14196526184678077,0.08696980997920037,0.19494051933288575,5,Fig2 architecture,Convolutional,#e69f00,10.0,-0.38,32.38,0.10971212259892402,0.07672422563057009,0.14228455080632665,mobilenetv3_large_100,mobilenetv3_large_100_classification,MobileNet-V3-Large,classification,imagenet,mobilenetv3_large_100,Convolutional,Semantic,Convolutional,,,,,,,
efficientnet_b3_classification,crsa,0.16757520362734796,0.07603048235177993,0.25911992490291597,5,Fig2 architecture,Convolutional,#e69f00,11.0,-0.38,32.38,0.10971212259892402,0.07672422563057009,0.14228455080632665,efficientnet_b3,efficientnet_b3_classification,EfficientNet-B3,classification,imagenet,efficientnet_b3,Convolutional,Semantic,Convolutional,,,,,,,
nf_resnet50_classification,crsa,0.19311463609337806,0.08342154771089554,0.3028077244758606,5,Fig2 architecture,Convolutional,#e69f00,12.0,-0.38,32.38,0.10971212259892402,0.07672422563057009,0.14228455080632665,nf_resnet50,nf_resnet50_classification,NF-ResNet50,classification,imagenet,nf_resnet50,Convolutional,Semantic,Convolutional,,,,,,,
gmixer_24_224_classification,crsa,-0.09272576291114092,-0.16792911142110822,-0.02988957650959491,5,Fig2 architecture,Convolutional,#e69f00,13.0,-0.38,32.38,0.10971212259892402,0.07672422563057009,0.14228455080632665,gmixer_24_224,gmixer_24_224_classification,GMixer-24,classification,imagenet,gmixer_24_224,Convolutional,Semantic,Convolutional,,,,,,,
dla34_classification,crsa,0.048918410390615466,-0.0805662713944912,0.20908130854368212,5,Fig2 architecture,Convolutional,#e69f00,14.0,-0.38,32.38,0.10971212259892402,0.07672422563057009,0.14228455080632665,dla34,dla34_classification,DLA34,classification,imagenet,dla34,Convolutional,Semantic,Convolutional,,,,,,,
mnasnet1_0_classification,crsa,0.07652483899146319,0.023975386284291744,0.12286681085824966,5,Fig2 architecture,Convolutional,#e69f00,15.0,-0.38,32.38,0.10971212259892402,0.07672422563057009,0.14228455080632665,mnasnet1_0,mnasnet1_0_classification,MNASNet1.0,classification,imagenet,mnasnet1_0,Convolutional,Semantic,Convolutional,,,,,,,
resnet18_classification,crsa,0.09880585204809904,0.045266907848417755,0.14866670668125154,5,Fig2 architecture,Convolutional,#e69f00,16.0,-0.38,32.38,0.10971212259892402,0.07672422563057009,0.14228455080632665,resnet18,resnet18_classification,ResNet18,classification,imagenet,resnet18,Convolutional,Semantic,Convolutional,,,,,,,
ghostnet_100_classification,crsa,-0.01400301605463028,-0.08220160230994225,0.05186883583664895,5,Fig2 architecture,Convolutional,#e69f00,17.0,-0.38,32.38,0.10971212259892402,0.07672422563057009,0.14228455080632665,ghostnet_100,ghostnet_100_classification,GhostNet100,classification,imagenet,ghostnet_100,Convolutional,Semantic,Convolutional,,,,,,,
nfnet_l0_classification,crsa,0.27009049206972124,0.13099887371063232,0.40918211042881014,5,Fig2 architecture,Convolutional,#e69f00,18.0,-0.38,32.38,0.10971212259892402,0.07672422563057009,0.14228455080632665,nfnet_l0,nfnet_l0_classification,NF-Net-L0,classification,imagenet,nfnet_l0,Convolutional,Semantic,Convolutional,,,,,,,
hardcorenas_f_classification,crsa,0.20918032824993132,0.14594384133815766,0.2723872303962708,5,Fig2 architecture,Convolutional,#e69f00,19.0,-0.38,32.38,0.10971212259892402,0.07672422563057009,0.14228455080632665,hardcorenas_f,hardcorenas_f_classification,HardCoreNAS-F,classification,imagenet,hardcorenas_f,Convolutional,Semantic,Convolutional,,,,,,,
convnext_base_classification,crsa,0.12236591801047325,0.061445845663547514,0.18328599035739898,5,Fig2 architecture,Convolutional,#e69f00,20.0,-0.38,32.38,0.10971212259892402,0.07672422563057009,0.14228455080632665,convnext_base,convnext_base_classification,ConvNext-B,classification,imagenet,convnext_base,Convolutional,Semantic,Convolutional,,,,,,,imagenet
eca_nfnet_l0_classification,crsa,0.07663629725575447,-0.06794472560286521,0.19408250153064727,5,Fig2 architecture,Convolutional,#e69f00,21.0,-0.38,32.38,0.10971212259892402,0.07672422563057009,0.14228455080632665,eca_nfnet_l0,eca_nfnet_l0_classification,ECA-NFNeT-L0,classification,imagenet,eca_nfnet_l0,Convolutional,Semantic,Convolutional,,,,,,,
shufflenet_v2_x1_0_classification,crsa,0.08536249157041312,0.013826056383550167,0.15180604457855223,5,Fig2 architecture,Convolutional,#e69f00,22.0,-0.38,32.38,0.10971212259892402,0.07672422563057009,0.14228455080632665,shufflenet_v2_x1_0,shufflenet_v2_x1_0_classification,ShuffleNet-V2-x1.0,classification,imagenet,shufflenet_v2_x1_0,Convolutional,Semantic,Convolutional,,,,,,,
resnet50_classification,crsa,0.05845850706100464,-0.031364929676055905,0.1482819437980652,5,Fig2 architecture,Convolutional,#e69f00,23.0,-0.38,32.38,0.10971212259892402,0.07672422563057009,0.14228455080632665,resnet50,resnet50_classification,ResNet50,classification,imagenet,resnet50,Convolutional,Semantic,Convolutional,,,,,,,
resnet101_classification,crsa,0.16394382119178771,0.1265961080789566,0.19745344221591948,5,Fig2 architecture,Convolutional,#e69f00,24.0,-0.38,32.38,0.10971212259892402,0.07672422563057009,0.14228455080632665,resnet101,resnet101_classification,ResNet101,classification,imagenet,resnet101,Convolutional,Semantic,Convolutional,,,,,,,
xception_classification,crsa,0.3186811745166779,0.29083693623542783,0.34624326825141905,5,Fig2 architecture,Convolutional,#e69f00,25.0,-0.38,32.38,0.10971212259892402,0.07672422563057009,0.14228455080632665,xception,xception_classification,XCeption,classification,imagenet,xception,Convolutional,Semantic,Convolutional,,,,,,,
