model,eval_type,n_subjects_total,n_subjects_test,n_nan_test,mean_test_score,median_test_score,sem_test_score,std_test_score,mean_train_score,median_selected_layer_index,median_selected_layer_fraction,model_class,train_type,train_data,model_source,task_cluster,comparison_group
ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,5,5,0,0.2015553370118141,0.24797895550727844,0.033802133985451614,0.0755838693760257,0.2902643918991089,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,srpr,5,5,0,0.37787268134151236,0.3789395670154707,0.012807841822164243,0.028639204959424017,0.4710787318488034,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,wrsa,5,5,0,0.43696220517158507,0.4522589445114136,0.04256998691503317,0.09518938454329075,0.37648618817329405,9.0,0.75,,,,,,
ResNet50/ClusterFit/16K/RotNet_selfsupervised,crsa,5,5,0,0.04614626094698906,0.08740921318531036,0.03329628746915905,0.07445276217941406,0.21113153398036957,12.0,1.0,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,srpr,5,5,0,0.359514886342021,0.3507107675529092,0.007965113368395277,0.01781053494022417,0.45100436756368534,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,wrsa,5,5,0,0.19937619045376778,0.21533171832561493,0.0523388501705777,0.11703322684558819,0.34073196053504945,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,crsa,5,5,0,0.15926750786602498,0.22690725326538086,0.04726893049401889,0.10569654180833896,0.3501939713954926,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,srpr,5,5,0,0.37556571720152804,0.3741414970335746,0.010135013994092598,0.022662580243702695,0.4705264752053143,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,wrsa,5,5,0,0.197803495824337,0.24198101460933685,0.04055009365800293,0.09067276591327766,0.37448171973228456,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/Goyal19_selfsupervised,crsa,5,5,0,-0.07580933831632138,-0.062457673251628876,0.035631041076797494,0.0796734299568065,0.15353755056858062,3.0,0.25,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,srpr,5,5,0,0.31486602279057585,0.3128172564810989,0.01093698949699798,0.024455851984488707,0.40918253514522096,3.0,0.25,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,wrsa,5,5,0,0.22633253931999206,0.23421409726142883,0.018341149360880844,0.041012056756406394,0.3173949897289276,3.0,0.25,,,,,,
ResNet50/JigSaw/P100_selfsupervised,crsa,5,5,0,0.13106318563222885,0.14551937580108643,0.02818371356508403,0.06302069938991084,0.19586299657821654,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/P100_selfsupervised,srpr,5,5,0,0.30825363565425207,0.3059184101024236,0.008429693541696356,0.018849367788724012,0.4123833476750639,11.0,0.9166666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/P100_selfsupervised,wrsa,5,5,0,0.2084653466939926,0.22216427326202393,0.020275083609745972,0.04533646520088381,0.3185531973838806,11.0,0.9166666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/MoCoV2/BS256_selfsupervised,crsa,5,5,0,0.15440162271261215,0.17680060863494873,0.023506786646205532,0.05256277287349986,0.25450636744499205,9.0,0.75,,,,,,
ResNet50/MoCoV2/BS256_selfsupervised,srpr,5,5,0,0.3673729047597316,0.3638032935465826,0.010645091109412004,0.023803147347323885,0.4652497654871893,9.0,0.75,,,,,,
ResNet50/MoCoV2/BS256_selfsupervised,wrsa,5,5,0,0.1579919509589672,0.1441114991903305,0.04339776224119237,0.09704034644267977,0.37376755475997925,12.0,1.0,,,,,,
ResNet50/PIRL_selfsupervised,crsa,5,5,0,0.08452508081682027,0.10536299645900726,0.02298788253607324,0.051402468009440025,0.2928092271089554,12.0,1.0,,,,,,
ResNet50/PIRL_selfsupervised,srpr,5,5,0,0.34538436248547744,0.3488759928964464,0.008789858258310681,0.01965472057817059,0.45792537582475673,9.0,0.75,,,,,,
ResNet50/PIRL_selfsupervised,wrsa,5,5,0,0.30152771472930906,0.2384495586156845,0.048327019812938736,0.10806250145171019,0.36653569936752317,9.0,0.75,,,,,,
ResNet50/RotNet_selfsupervised,crsa,5,5,0,-0.047195833176374435,0.04174625501036644,0.06529301081197825,0.1459996106312121,0.18307373821735382,9.0,0.75,,,,,,
ResNet50/RotNet_selfsupervised,srpr,5,5,0,0.33317037567834074,0.3342651814707924,0.008891845133250226,0.019882770163348166,0.417927785371616,9.0,0.75,,,,,,
ResNet50/RotNet_selfsupervised,wrsa,5,5,0,0.06997656896710396,0.09778883308172226,0.027383439299472886,0.061231231731360594,0.3335194826126099,12.0,1.0,,,,,,
ResNet50/SimCLR_selfsupervised,crsa,5,5,0,0.30242288708686826,0.35032084584236145,0.04001476865593361,0.08947574281859544,0.29921011030673983,5.0,0.4166666666666667,,,,,,
ResNet50/SimCLR_selfsupervised,srpr,5,5,0,0.3740504486735845,0.3725350338982208,0.011073395393637688,0.024760864841906902,0.4707949871651487,9.0,0.75,,,,,,
ResNet50/SimCLR_selfsupervised,wrsa,5,5,0,0.19198911041021346,0.24307216703891754,0.04134391204597082,0.09244779779056317,0.37860280871391294,9.0,0.75,,,,,,
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,crsa,5,5,0,0.14579037614166737,0.21056070923805237,0.04512812710943233,0.10090955991394178,0.2594270288944244,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,srpr,5,5,0,0.3757269198847757,0.37596888787412175,0.010316352493442394,0.023068065455186658,0.46878128518775686,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,wrsa,5,5,0,0.18969047889113427,0.13634298741817474,0.05894585470156119,0.1318069381045164,0.3735451400279999,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ViT/B/CLIP_slip,crsa,5,5,0,-0.19813727736473083,-0.1900145709514618,0.034148252573652685,0.07635781406751956,0.07907910570502281,11.0,0.9166666666666666,,,,,,
ViT/B/CLIP_slip,srpr,5,5,0,0.3577477970588249,0.36578594547878496,0.010127836354879413,0.02264653055450405,0.4532312480174891,7.0,0.5833333333333334,,,,,,
