model,score,rank
alexnet_gn_ipcl_vggface2,0.4712762176990509,1
inpainting_taskonomy,0.4526873767375946,2
keypoints3d_taskonomy,0.43751640915870665,3
ResNet50/BarlowTwins/BS2048_selfsupervised,0.43696220517158507,4
segment_unsup2d_taskonomy,0.3653116345405578,5
mobilenet_v2_classification,0.3426496088504791,6
ViT/L/CLIP_slip,0.34222696423530574,7
ViT/L/SLIP_slip,0.31621703207492824,8
vit_small_patch32_224_classification,0.31017903834581373,9
ResNet50/PIRL_selfsupervised,0.30152771472930906,10
coat_lite_tiny_classification,0.2998913437128067,11
pit_b_224_classification,0.29877617657184596,12
gmlp_s16_224_classification,0.29709927737712855,13
alexnet_gn_ipcl_openimages,0.296886682510376,14
ViT/S/CLIP_slip,0.2902269214391708,15
denoising_taskonomy,0.2900998890399933,16
ViT/L/SimCLR_slip,0.28819312155246735,17
alexnet_gn_ipcl_places256,0.28756019473075867,18
resnet152_classification,0.2770116478204727,19
alexnet_gn_ipcl_imagenet,0.2755154848098754,20
swin_tiny_patch4_window7_224_classification,0.2709876120090484,21
room_layout_taskonomy,0.269071477651596,22
levit_128_classification,0.2652441784739494,23
ViT/S/SimCLR_slip,0.2515348866581917,24
ViT/B/CLIP_slip,0.25140912234783175,25
googlenet_classification,0.2507853955030441,26
inception_v3_classification,0.24793373495340348,27
mixer_b16_224_classification,0.24752296209335323,28
mixer_b16_224_in21k_classification,0.24752296209335323,29
normal_taskonomy,0.24734368324279785,30
mixer_l16_224_classification,0.24537442028522488,31
mixer_l16_224_in21k_classification,0.24537442028522488,32
skresnext50_32x4d_classification,0.24405185729265214,33
pit_ti_224_classification,0.24157553464174267,34
random_weights_taskonomy,0.24142090082168574,35
ViT/S/SLIP_slip,0.23991409540176392,36
edge_texture_taskonomy,0.23885889053344728,37
poolformer_s36_classification,0.2380544975399971,38
regnetx_064_classification,0.23792113065719606,39
ViT/B/SLIP_slip,0.23666694462299342,40
xception_classification,0.23637320250272748,41
class_object_taskonomy,0.2358474418520927,42
resnet101_classification,0.2318621546030044,43
ViT/B/SimCLR_slip,0.2312545135617256,44
resnet50_classification,0.23112814202904697,45
jx_nest_tiny_classification,0.22944728136062617,46
vit_large_patch16_224_classification,0.22901859432458876,47
ResNet50/JigSaw/Goyal19_selfsupervised,0.22633253931999203,48
shufflenet_v2_x1_0_classification,0.22502077892422673,49
convnext_base_in22k_classification,0.22467651665210725,50
vit_base_patch32_224_in21k_classification,0.22455707043409343,51
segment_unsup25d_taskonomy,0.2221840396523475,52
eca_nfnet_l0_classification,0.22182819098234177,53
convnext_base_classification,0.22131864875555035,54
egomotion_taskonomy,0.22101068496704102,55
reshading_taskonomy,0.21926199495792384,56
class_scene_taskonomy,0.21921347677707673,57
visformer_small_classification,0.21866187304258342,58
edge_occlusion_taskonomy,0.21690549254417416,59
swin_large_patch4_window7_224_classification,0.2156574890017509,60
vit_small_patch32_224_in21k_classification,0.21549111008644103,61
vit_base_patch32_224_classification,0.21517207100987434,62
hardcorenas_f_classification,0.21392706036567688,63
vit_small_patch16_224_in21k_classification,0.21392047852277757,64
nfnet_l0_classification,0.21251119822263717,65
vit_large_patch16_224_in21k_classification,0.21070317029952998,66
ResNet50/JigSaw/P100_selfsupervised,0.20846534669399258,67
vit_base_patch16_224_classification,0.2078799098730087,68
segment_semantic_taskonomy,0.20679132044315338,69
swin_base_patch4_window7_224_classification,0.2066143848001957,70
vit_small_patch16_224_classification,0.2063229501247406,71
ghostnet_100_classification,0.20613713413476945,72
crossvit_base_240_classification,0.20453132688999176,73
resmlp_big_24_224_in22ft1k_classification,0.2024784997105598,74
vit_base_patch16_224_in21k_classification,0.20004208162426945,75
ResNet50/ClusterFit/16K/RotNet_selfsupervised,0.19937619045376773,76
xcit_nano_12_p16_224_classification,0.1992177307605743,77
vit_tiny_patch16_224_classification,0.19916866719722748,78
resnet18_classification,0.19785365462303156,79
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,0.19780349582433696,80
mnasnet1_0_classification,0.19371616765856742,81
depth_zbuffer_taskonomy,0.19314401596784586,82
ResNet50/SimCLR_selfsupervised,0.19198911041021344,83
tnt_s_patch16_224_classification,0.1914517320692539,84
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,0.18969047889113425,85
dla34_classification,0.18558245599269865,86
gmixer_24_224_classification,0.18313624113798138,87
nf_resnet50_classification,0.18241932690143586,88
efficientnet_b3_classification,0.1807458478957414,89
convnext_large_in22k_classification,0.1805006794631481,90
mobilenetv3_large_100_classification,0.1788312803953886,91
convnext_large_classification,0.1765005461871624,92
cspresnet50_classification,0.17480412274599072,93
semnasnet_100_classification,0.17387536168098444,94
deit_base_patch16_224_classification,0.16647725254297255,95
squeezenet1_0_classification,0.16632749736309047,96
alexnet_classification,0.1607562184333801,97
ResNet50/MoCoV2/BS256_selfsupervised,0.15799195095896718,98
resmlp_big_24_224_classification,0.15754861086606975,99
seresnext50_32x4d_classification,0.15487309470772742,100
point_matching_taskonomy,0.15062571763992305,101
hardcorenas_a_classification,0.14574480950832364,102
regnety_064_classification,0.14517569281160828,103
depth_euclidean_taskonomy,0.14414767995476718,104
swin_base_patch4_window7_224_in22k_classification,0.14205844954121855,105
densenet121_classification,0.1368222527205944,106
xcit_nano_12_p8_224_classification,0.12944795005023474,107
swin_large_patch4_window7_224_in22k_classification,0.1189936638344079,108
keypoints2d_taskonomy,0.11083939298987384,109
vgg16_classification,0.08947653025388716,110
autoencoding_taskonomy,0.07571908924728628,111
fixated_pose_taskonomy,0.07526077479124063,112
ResNet50/RotNet_selfsupervised,0.06997656896710394,113
jigsaw_taskonomy,0.016913467552512863,114
vanishing_point_taskonomy,0.00603911196812988,115
nonfixated_pose_taskonomy,-0.0043028564658015595,116
curvature_taskonomy,-0.02383090965449806,117
