model,eval_type,mean,ci_lo,ci_hi,n_subjects,panel,group_label,group_color,x,x_start,x_end,mean_group,ci_lo_group,ci_hi_group,deepnsd_model,model_string,model_display_name,train_type,train_data,architecture,model_class,task_cluster,compare_architecture,compare_goal_slip,compare_goal_taskonomy_tasks,compare_goal_taskonomy_cluster,compare_diet_ipcl,compare_goal_selfsupervised,compare_goal_contrastive,compare_diet_imagenetsize
vgg16_classification,crsa,0.341053831577301,0.30489054322242737,0.37993133068084717,5,Fig2 architecture,Convolutional,#e69f00,0.0,-0.38,32.38,0.245270921515696,0.22549347858650215,0.2623012528500773,vgg16,vgg16_classification,VGG16,classification,imagenet,vgg16,Convolutional,Semantic,Convolutional,,,,,,,
squeezenet1_0_classification,crsa,0.3036207854747772,0.2626449942588806,0.3555945992469788,5,Fig2 architecture,Convolutional,#e69f00,1.0,-0.38,32.38,0.245270921515696,0.22549347858650215,0.2623012528500773,squeezenet1_0,squeezenet1_0_classification,SqueezeNet1.0,classification,imagenet,squeezenet1_0,Convolutional,Semantic,Convolutional,,,,,,,
densenet121_classification,crsa,0.20984141379594803,0.16246451884508134,0.24565048813819884,5,Fig2 architecture,Convolutional,#e69f00,2.0,-0.38,32.38,0.245270921515696,0.22549347858650215,0.2623012528500773,densenet121,densenet121_classification,DenseNet121,classification,imagenet,densenet121,Convolutional,Semantic,Convolutional,,,,,,,
alexnet_classification,crsa,0.25250875651836396,0.22819471657276152,0.2858084716647863,5,Fig2 architecture,Convolutional,#e69f00,3.0,-0.38,32.38,0.245270921515696,0.22549347858650215,0.2623012528500773,alexnet,alexnet_classification,AlexNet,classification,imagenet,alexnet,Convolutional,Semantic,Convolutional,,,,,,,
dla34_classification,crsa,0.17084231823682786,0.13107589781284332,0.20553569495677948,5,Fig2 architecture,Convolutional,#e69f00,4.0,-0.38,32.38,0.245270921515696,0.22549347858650215,0.2623012528500773,dla34,dla34_classification,DLA34,classification,imagenet,dla34,Convolutional,Semantic,Convolutional,,,,,,,
regnetx_064_classification,crsa,0.2799431174993515,0.25601032078266145,0.30182846784591677,5,Fig2 architecture,Convolutional,#e69f00,5.0,-0.38,32.38,0.245270921515696,0.22549347858650215,0.2623012528500773,regnetx_064,regnetx_064_classification,RegNetX-64,classification,imagenet,regnetx_064,Convolutional,Semantic,Convolutional,,,,,,,
regnety_064_classification,crsa,0.25568298399448397,0.2211325079202652,0.2902334600687027,5,Fig2 architecture,Convolutional,#e69f00,6.0,-0.38,32.38,0.245270921515696,0.22549347858650215,0.2623012528500773,regnety_064,regnety_064_classification,RegNetY-64,classification,imagenet,regnety_064,Convolutional,Semantic,Convolutional,,,,,,,
googlenet_classification,crsa,0.24519233107566835,0.219621941447258,0.27204920053482057,5,Fig2 architecture,Convolutional,#e69f00,7.0,-0.38,32.38,0.245270921515696,0.22549347858650215,0.2623012528500773,googlenet,googlenet_classification,GoogleNet,classification,imagenet,googlenet,Convolutional,Semantic,Convolutional,,,,,,,
hardcorenas_a_classification,crsa,0.26280769109725954,0.24224570393562317,0.27958247661590574,5,Fig2 architecture,Convolutional,#e69f00,8.0,-0.38,32.38,0.245270921515696,0.22549347858650215,0.2623012528500773,hardcorenas_a,hardcorenas_a_classification,HardCoreNAS-A,classification,imagenet,hardcorenas_a,Convolutional,Semantic,Convolutional,,,,,,,
resnet50_classification,crsa,0.2632868021726608,0.2543312221765518,0.2692230701446533,5,Fig2 architecture,Convolutional,#e69f00,9.0,-0.38,32.38,0.245270921515696,0.22549347858650215,0.2623012528500773,resnet50,resnet50_classification,ResNet50,classification,imagenet,resnet50,Convolutional,Semantic,Convolutional,,,,,,,
convnext_large_classification,crsa,0.268510976433754,0.19565697610378266,0.327302074432373,5,Fig2 architecture,Convolutional,#e69f00,10.0,-0.38,32.38,0.245270921515696,0.22549347858650215,0.2623012528500773,convnext_large,convnext_large_classification,ConvNext-L,classification,imagenet,convnext_large,Convolutional,Semantic,Convolutional,,,,,,,imagenet
resnet101_classification,crsa,0.31384356915950773,0.2724137812852859,0.3544073522090912,5,Fig2 architecture,Convolutional,#e69f00,11.0,-0.38,32.38,0.245270921515696,0.22549347858650215,0.2623012528500773,resnet101,resnet101_classification,ResNet101,classification,imagenet,resnet101,Convolutional,Semantic,Convolutional,,,,,,,
resnet18_classification,crsa,0.23131967782974244,0.21452826261520386,0.2514316201210022,5,Fig2 architecture,Convolutional,#e69f00,12.0,-0.38,32.38,0.245270921515696,0.22549347858650215,0.2623012528500773,resnet18,resnet18_classification,ResNet18,classification,imagenet,resnet18,Convolutional,Semantic,Convolutional,,,,,,,
nfnet_l0_classification,crsa,0.3147306859493256,0.2731354236602783,0.36997758150100707,5,Fig2 architecture,Convolutional,#e69f00,13.0,-0.38,32.38,0.245270921515696,0.22549347858650215,0.2623012528500773,nfnet_l0,nfnet_l0_classification,NF-Net-L0,classification,imagenet,nfnet_l0,Convolutional,Semantic,Convolutional,,,,,,,
inception_v3_classification,crsa,0.2649881184101105,0.2320752203464508,0.3005172610282898,5,Fig2 architecture,Convolutional,#e69f00,14.0,-0.38,32.38,0.245270921515696,0.22549347858650215,0.2623012528500773,inception_v3,inception_v3_classification,Inception-V3,classification,imagenet,inception_v3,Convolutional,Semantic,Convolutional,,,,,,,
semnasnet_100_classification,crsa,0.2690604627132416,0.2391207695007324,0.3034391462802887,5,Fig2 architecture,Convolutional,#e69f00,15.0,-0.38,32.38,0.245270921515696,0.22549347858650215,0.2623012528500773,semnasnet_100,semnasnet_100_classification,SemNASNet100,classification,imagenet,semnasnet_100,Convolutional,Semantic,Convolutional,,,,,,,
nf_resnet50_classification,crsa,0.2787098854780197,0.24646930396556854,0.3112233579158783,5,Fig2 architecture,Convolutional,#e69f00,16.0,-0.38,32.38,0.245270921515696,0.22549347858650215,0.2623012528500773,nf_resnet50,nf_resnet50_classification,NF-ResNet50,classification,imagenet,nf_resnet50,Convolutional,Semantic,Convolutional,,,,,,,
mobilenetv3_large_100_classification,crsa,0.26320392489433286,0.2104700803756714,0.3290212839841843,5,Fig2 architecture,Convolutional,#e69f00,17.0,-0.38,32.38,0.245270921515696,0.22549347858650215,0.2623012528500773,mobilenetv3_large_100,mobilenetv3_large_100_classification,MobileNet-V3-Large,classification,imagenet,mobilenetv3_large_100,Convolutional,Semantic,Convolutional,,,,,,,
seresnext50_32x4d_classification,crsa,0.19006002843379974,0.1804137945175171,0.2006656914949417,5,Fig2 architecture,Convolutional,#e69f00,18.0,-0.38,32.38,0.245270921515696,0.22549347858650215,0.2623012528500773,seresnext50_32x4d,seresnext50_32x4d_classification,SEResNext50-32x4D,classification,imagenet,seresnext50_32x4d,Convolutional,Semantic,Convolutional,,,,,,,
eca_nfnet_l0_classification,crsa,0.23958905935287475,0.2020969957113266,0.2909604400396347,5,Fig2 architecture,Convolutional,#e69f00,19.0,-0.38,32.38,0.245270921515696,0.22549347858650215,0.2623012528500773,eca_nfnet_l0,eca_nfnet_l0_classification,ECA-NFNeT-L0,classification,imagenet,eca_nfnet_l0,Convolutional,Semantic,Convolutional,,,,,,,
resnet152_classification,crsa,0.23668437004089354,0.21205945909023285,0.26130928099155426,5,Fig2 architecture,Convolutional,#e69f00,20.0,-0.38,32.38,0.245270921515696,0.22549347858650215,0.2623012528500773,resnet152,resnet152_classification,ResNet152,classification,imagenet,resnet152,Convolutional,Semantic,Convolutional,,,,,,,
