model,eval_type,n_subjects_total,n_subjects_test,n_nan_test,mean_test_score,median_test_score,sem_test_score,std_test_score,mean_train_score,median_selected_layer_index,median_selected_layer_fraction,model_class,train_type,train_data,model_source,task_cluster,comparison_group
ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,5,5,0,0.25321107506752016,0.26379770040512085,0.025108646225650424,0.05614463978354788,0.2972585529088974,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,srpr,5,5,0,0.4543637103320938,0.4500977472982795,0.008157435069798012,0.0182405793381091,0.46687594206613275,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,wrsa,5,5,0,0.5755875468254089,0.5837860107421875,0.017854836656168036,0.03992462849034677,0.37524526119232177,9.0,0.75,,,,,,
ResNet50/ClusterFit/16K/RotNet_selfsupervised,crsa,5,5,0,0.1970811277627945,0.18258292973041534,0.010231532701842872,0.022878402635332754,0.2132520169019699,12.0,1.0,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,srpr,5,5,0,0.43332990084503453,0.43508150630639897,0.008783413847745149,0.019640310438071143,0.44765098661990316,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,wrsa,5,5,0,0.4843262374401093,0.49564704298973083,0.012375070828384523,0.027671499598642423,0.338538271188736,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,crsa,5,5,0,0.3309020400047302,0.3280974328517914,0.013670824909535747,0.030568893806219338,0.3525221228599548,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,srpr,5,5,0,0.4528939555644433,0.46073572502678467,0.010210551845092035,0.02283148801341169,0.46662156113358055,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,wrsa,5,5,0,0.5313134610652923,0.5362408757209778,0.025661078032036634,0.05737991485556044,0.37302318811416624,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/Goyal19_selfsupervised,crsa,5,5,0,0.18216703832149506,0.18273983895778656,0.008338550232688592,0.018645565154088384,0.14786511808633804,3.0,0.25,,,,,,
