model,eval_type,mean,ci_lo,ci_hi,n_subjects,panel,group_label,group_color,x,x_start,x_end,mean_group,ci_lo_group,ci_hi_group,deepnsd_model,model_string,model_display_name,train_type,train_data,architecture,model_class,task_cluster,compare_architecture,compare_goal_slip,compare_goal_taskonomy_tasks,compare_goal_taskonomy_cluster,compare_diet_ipcl,compare_goal_selfsupervised,compare_goal_contrastive,compare_diet_imagenetsize
squeezenet1_0_classification,crsa,0.3023711317777634,0.27740537643432617,0.335072460770607,5,Fig2 architecture,Convolutional,#e69f00,0.0,-0.38,32.38,0.25382560804937826,0.23398237704575967,0.27080905617276824,squeezenet1_0,squeezenet1_0_classification,SqueezeNet1.0,classification,imagenet,squeezenet1_0,Convolutional,Semantic,Convolutional,,,,,,,
vgg16_classification,crsa,0.3293131548166275,0.30031866431236265,0.35788945853710175,5,Fig2 architecture,Convolutional,#e69f00,1.0,-0.38,32.38,0.25382560804937826,0.23398237704575967,0.27080905617276824,vgg16,vgg16_classification,VGG16,classification,imagenet,vgg16,Convolutional,Semantic,Convolutional,,,,,,,
densenet121_classification,crsa,0.2501357001066208,0.2278596192598343,0.27695885896682737,5,Fig2 architecture,Convolutional,#e69f00,2.0,-0.38,32.38,0.25382560804937826,0.23398237704575967,0.27080905617276824,densenet121,densenet121_classification,DenseNet121,classification,imagenet,densenet121,Convolutional,Semantic,Convolutional,,,,,,,
dla34_classification,crsa,0.2175948637723923,0.18330267012119295,0.2502750545740127,5,Fig2 architecture,Convolutional,#e69f00,3.0,-0.38,32.38,0.25382560804937826,0.23398237704575967,0.27080905617276824,dla34,dla34_classification,DLA34,classification,imagenet,dla34,Convolutional,Semantic,Convolutional,,,,,,,
alexnet_classification,crsa,0.26948749303817754,0.25909782528877257,0.2807689225673676,5,Fig2 architecture,Convolutional,#e69f00,4.0,-0.38,32.38,0.25382560804937826,0.23398237704575967,0.27080905617276824,alexnet,alexnet_classification,AlexNet,classification,imagenet,alexnet,Convolutional,Semantic,Convolutional,,,,,,,
resnet152_classification,crsa,0.20492407858371733,0.18800874054431915,0.22183941662311554,5,Fig2 architecture,Convolutional,#e69f00,5.0,-0.38,32.38,0.25382560804937826,0.23398237704575967,0.27080905617276824,resnet152,resnet152_classification,ResNet152,classification,imagenet,resnet152,Convolutional,Semantic,Convolutional,,,,,,,
regnetx_064_classification,crsa,0.2792866176366806,0.26647466778755186,0.29253671526908875,5,Fig2 architecture,Convolutional,#e69f00,6.0,-0.38,32.38,0.25382560804937826,0.23398237704575967,0.27080905617276824,regnetx_064,regnetx_064_classification,RegNetX-64,classification,imagenet,regnetx_064,Convolutional,Semantic,Convolutional,,,,,,,
regnety_064_classification,crsa,0.2685224109888077,0.25072634875774386,0.2914497619867325,5,Fig2 architecture,Convolutional,#e69f00,7.0,-0.38,32.38,0.25382560804937826,0.23398237704575967,0.27080905617276824,regnety_064,regnety_064_classification,RegNetY-64,classification,imagenet,regnety_064,Convolutional,Semantic,Convolutional,,,,,,,
hardcorenas_a_classification,crsa,0.2744822216033936,0.2581726908683777,0.29291463255882266,5,Fig2 architecture,Convolutional,#e69f00,8.0,-0.38,32.38,0.25382560804937826,0.23398237704575967,0.27080905617276824,hardcorenas_a,hardcorenas_a_classification,HardCoreNAS-A,classification,imagenet,hardcorenas_a,Convolutional,Semantic,Convolutional,,,,,,,
resnet18_classification,crsa,0.2724632453918457,0.265203104019165,0.2796540367603302,5,Fig2 architecture,Convolutional,#e69f00,9.0,-0.38,32.38,0.25382560804937826,0.23398237704575967,0.27080905617276824,resnet18,resnet18_classification,ResNet18,classification,imagenet,resnet18,Convolutional,Semantic,Convolutional,,,,,,,
