model,eval_type,n_subjects_total,n_subjects_test,n_nan_test,mean_test_score,median_test_score,sem_test_score,std_test_score,mean_train_score,median_selected_layer_index,median_selected_layer_fraction,model_class,train_type,train_data,model_source,task_cluster,comparison_group
ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,5,5,0,0.2992986482381821,0.3035403311252594,0.019436026421944703,0.04346027629195037,0.2879533839225769,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,srpr,5,5,0,0.46452119127809877,0.4635761348389821,0.007479909453877675,0.016725586004413803,0.4649308708840484,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,wrsa,5,5,0,0.535695869922638,0.5415701270103455,0.0203787445646702,0.045568258142706944,0.37729475378990174,9.0,0.75,,,,,,
ResNet50/ClusterFit/16K/RotNet_selfsupervised,crsa,5,5,0,0.215720077753067,0.20744886100292206,0.006807722247142629,0.015222529716548553,0.2102730816602707,12.0,1.0,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,srpr,5,5,0,0.44264511842561705,0.44768488085040764,0.008356927464730789,0.018686657894173016,0.44477590118148613,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,wrsa,5,5,0,0.45848694324493405,0.45631261467933654,0.02167976578261419,0.04847743002619928,0.34047084212303164,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,crsa,5,5,0,0.37028401136398315,0.3602805733680725,0.012822409369508153,0.02867177898555046,0.34514947891235354,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,srpr,5,5,0,0.4642530568307823,0.47160751734564715,0.00902754566441777,0.020186205775621646,0.463715199392811,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,wrsa,5,5,0,0.49922860264778135,0.4993391215801239,0.0245837935367092,0.05497103349290176,0.3749170088768005,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/Goyal19_selfsupervised,crsa,5,5,0,0.15687724381685256,0.14621085226535796,0.011326298273129152,0.025326372872155264,0.15414046227931977,3.0,0.25,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,srpr,5,5,0,0.40219638444206235,0.40099444440330484,0.009577266928281878,0.021415419890298885,0.4025650261037703,3.0,0.25,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,wrsa,5,5,0,0.4325771403312683,0.44791809320449827,0.021880739375331134,0.048926820641196696,0.3156615352630615,3.0,0.25,,,,,,
ResNet50/JigSaw/P100_selfsupervised,crsa,5,5,0,0.20662976622581483,0.2036757081747055,0.012980731731936788,0.02902579855029924,0.19372741401195526,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/P100_selfsupervised,srpr,5,5,0,0.4054301295669007,0.4029396265566022,0.008949993636845946,0.020012794170178108,0.40584716938410714,11.0,0.9166666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/P100_selfsupervised,wrsa,5,5,0,0.41341245412826544,0.43377957344055174,0.023420073862129985,0.05236887719378868,0.31754254937171933,11.0,0.9166666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/MoCoV2/BS256_selfsupervised,crsa,5,5,0,0.2697134846448898,0.2679416388273239,0.011016985179256152,0.024634727767924438,0.2507749634981155,9.0,0.75,,,,,,
ResNet50/MoCoV2/BS256_selfsupervised,srpr,5,5,0,0.4580212543755152,0.46005722019390777,0.009726052148076137,0.02174811375580609,0.45836370782445685,9.0,0.75,,,,,,
ResNet50/MoCoV2/BS256_selfsupervised,wrsa,5,5,0,0.49138380050659175,0.5020403981208801,0.023329343676953784,0.052165998332123556,0.37503726363182066,12.0,1.0,,,,,,
ResNet50/PIRL_selfsupervised,crsa,5,5,0,0.2934153950214386,0.2924430131912231,0.0193991422256325,0.043377800721700846,0.29277422189712526,12.0,1.0,,,,,,
ResNet50/PIRL_selfsupervised,srpr,5,5,0,0.4523138433211664,0.45213071090425166,0.008808901476700557,0.01969730250900073,0.4498383155006648,9.0,0.75,,,,,,
ResNet50/PIRL_selfsupervised,wrsa,5,5,0,0.5109096789360047,0.4919464588165283,0.01750461925964826,0.03914151858482556,0.3655990076065064,9.0,0.75,,,,,,
ResNet50/RotNet_selfsupervised,crsa,5,5,0,0.18562487244606019,0.18003832995891572,0.006859350706307849,0.015337974460815548,0.18247839987277986,9.0,0.75,,,,,,
ResNet50/RotNet_selfsupervised,srpr,5,5,0,0.41004946511090345,0.41256260054249944,0.00886094815456972,0.01981368241871921,0.41121129508089227,9.0,0.75,,,,,,
ResNet50/RotNet_selfsupervised,wrsa,5,5,0,0.3999731934070587,0.4003785252571106,0.020910769026926176,0.04675790100600406,0.332470920085907,12.0,1.0,,,,,,
ResNet50/SimCLR_selfsupervised,crsa,5,5,0,0.31039486825466156,0.31987392604351045,0.016460820119809552,0.03680751275329039,0.2953221732378006,5.0,0.4166666666666667,,,,,,
ResNet50/SimCLR_selfsupervised,srpr,5,5,0,0.46500302264555443,0.4686582546242021,0.007889571262652205,0.01764161765661918,0.4642207712283145,9.0,0.75,,,,,,
ResNet50/SimCLR_selfsupervised,wrsa,5,5,0,0.5119954121112824,0.5186884820461273,0.022992987781133546,0.05141388368443667,0.37903775215148927,9.0,0.75,,,,,,
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,crsa,5,5,0,0.2670655870437622,0.263854855298996,0.009302531709003805,0.020801093264179792,0.257243093252182,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,srpr,5,5,0,0.46197046418394405,0.4644691073692179,0.008061650302573468,0.018026398087386018,0.4630324034258771,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,wrsa,5,5,0,0.48235601544380186,0.4970968127250671,0.030844751901752933,0.06897096200143546,0.37417587280273434,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ViT/B/CLIP_slip,crsa,5,5,0,0.07040082948282361,0.07828022353351116,0.014078874020502109,0.03148131935649849,0.0811494954675436,11.0,0.9166666666666666,,,,,,
ViT/B/CLIP_slip,srpr,5,5,0,0.4497421755041403,0.4500233252069311,0.007532599776683593,0.016843405147964247,0.44601515231347555,7.0,0.5833333333333334,,,,,,
ViT/B/CLIP_slip,wrsa,5,5,0,0.4765018427371979,0.47902406454086305,0.019383839660230995,0.043343583145232935,0.340181587934494,8.0,0.6666666666666666,,,,,,
ViT/B/SLIP_slip,crsa,5,5,0,0.06026076469570398,0.055883273109793664,0.007979278605916698,0.017842209374239495,0.08529668211936951,7.0,0.5833333333333334,,,,,,
ViT/B/SLIP_slip,srpr,5,5,0,0.4447976476224076,0.44859401531794846,0.008977378245461012,0.02007402801657861,0.44209647599544033,6.0,0.5,,,,,,
ViT/B/SLIP_slip,wrsa,5,5,0,0.5012207603454589,0.5052546322345733,0.01778215606968577,0.03976210975832789,0.3513544428348541,6.0,0.5,,,,,,
ViT/B/SimCLR_slip,crsa,5,5,0,0.09957630898803473,0.10643422529101372,0.011116090730786721,0.024856334518094422,0.09835665345191955,6.0,0.5,,,,,,
ViT/B/SimCLR_slip,srpr,5,5,0,0.4429531186905419,0.4419694770408585,0.006332176236464076,0.014159176510242453,0.4381275008379536,6.0,0.5,,,,,,
ViT/B/SimCLR_slip,wrsa,5,5,0,0.4754987585544586,0.4753296792507172,0.016346737316581064,0.036552415850207756,0.3408843147754669,6.0,0.5,,,,,,
ViT/L/CLIP_slip,crsa,5,5,0,0.09948074460146017,0.09836829900741577,0.0038926489794172967,0.008704227730522257,0.10982108056545256,7.0,0.6363636363636364,,,,,,
ViT/L/CLIP_slip,srpr,5,5,0,0.4284847232606504,0.42003789145877635,0.007739434567702436,0.017305901800794343,0.42525304707579564,2.0,0.18181818181818182,,,,,,
ViT/L/CLIP_slip,wrsa,5,5,0,0.48306858777999884,0.48223581314086916,0.013719130414935369,0.030676908199980382,0.33290624618530273,4.0,0.36363636363636365,,,,,,
ViT/L/SLIP_slip,crsa,5,5,0,0.22980110704898835,0.23280744552612304,0.004971542677458108,0.011116707379837642,0.23321665048599244,11.0,1.0,,,,,,
ViT/L/SLIP_slip,srpr,5,5,0,0.44304822843884384,0.4501194905416349,0.008601820297243918,0.019234254914874852,0.44147709578944133,5.0,0.45454545454545453,,,,,,
ViT/L/SLIP_slip,wrsa,5,5,0,0.5224815702438355,0.5064136564731598,0.01509900757508739,0.033762407330679665,0.35744900107383726,11.0,1.0,,,,,,
ViT/L/SimCLR_slip,crsa,5,5,0,0.17609591722488402,0.18238877654075622,0.009601992468537032,0.021470707879089817,0.18411970257759094,9.0,0.8181818181818182,,,,,,
ViT/L/SimCLR_slip,srpr,5,5,0,0.43815995433983373,0.43962775017091016,0.0089851156384494,0.020091329353269283,0.43422455186541997,8.0,0.7272727272727273,,,,,,
ViT/L/SimCLR_slip,wrsa,5,5,0,0.5026783025264739,0.4904167354106903,0.01745409967583894,0.039028553361232905,0.3317705976963043,10.0,0.9090909090909091,,,,,,
ViT/S/CLIP_slip,crsa,5,5,0,0.09945145517587661,0.10769594088196754,0.010112265411790234,0.02261171286728287,0.13363102406263352,10.0,0.8333333333333334,,,,,,
ViT/S/CLIP_slip,srpr,5,5,0,0.4447441399132284,0.44693995706137085,0.007787250727854772,0.01741282198531798,0.4410129867635607,8.0,0.6666666666666666,,,,,,
ViT/S/CLIP_slip,wrsa,5,5,0,0.4814898276329041,0.47323223352432253,0.019268852755863437,0.04308646461054482,0.3460041177272796,8.0,0.6666666666666666,,,,,,
ViT/S/SLIP_slip,crsa,5,5,0,0.13154962837696077,0.12869318425655366,0.010410299490679025,0.023278137327289745,0.1472787156701088,9.0,0.75,,,,,,
ViT/S/SLIP_slip,srpr,5,5,0,0.44323488140784456,0.4434567327781478,0.0077956453194295075,0.01743159286272243,0.4427323817968249,9.0,0.75,,,,,,
ViT/S/SLIP_slip,wrsa,5,5,0,0.494073623418808,0.47846999764442444,0.021165156041318,0.047326727662777394,0.34773191690444943,6.0,0.5,,,,,,
ViT/S/SimCLR_slip,crsa,5,5,0,0.1427660247683525,0.13862620294094086,0.02343775107245791,0.052408404637734496,0.14476696252822877,6.0,0.5,,,,,,
ViT/S/SimCLR_slip,srpr,5,5,0,0.44705605991177677,0.4445318765172905,0.006461660403037274,0.014448711908710036,0.4423268775739043,10.0,0.8333333333333334,,,,,,
ViT/S/SimCLR_slip,wrsa,5,5,0,0.5155811774730682,0.5022119820117951,0.015914976540864992,0.03558696940568863,0.3414962434768677,11.0,0.9166666666666666,,,,,,
alexnet_classification,crsa,5,5,0,0.2694874930381775,0.26357479095458985,0.006160611145464319,0.013775545304201078,0.2628034234046936,4.0,0.5,,,,,,
alexnet_classification,srpr,5,5,0,0.4279421343025689,0.43024616134547083,0.008165440859090461,0.01825848082718056,0.4267449647338061,4.0,0.5,,,,,,
alexnet_classification,wrsa,5,5,0,0.4377155983448029,0.4546384572982788,0.018990476912711503,0.042463997301963256,0.32342605471611025,8.0,1.0,,,,,,
alexnet_gn_ipcl_imagenet,crsa,5,5,0,0.3203645330667496,0.3206102788448334,0.030066572991699368,0.067230901059899,0.2879770666360855,3.0,0.25,Convolutional,ipcl,imagenet,open_ipcl,Self-Supervised,input_ipcl
alexnet_gn_ipcl_imagenet,srpr,5,5,0,0.4020336984864599,0.40605468465093714,0.006962592568669732,0.015568830283180395,0.4026590003535036,7.0,0.5833333333333334,Convolutional,ipcl,imagenet,open_ipcl,Self-Supervised,input_ipcl
alexnet_gn_ipcl_imagenet,wrsa,5,5,0,0.4430333852767944,0.4339437007904053,0.01973481741906688,0.0441283932725805,0.2774603170156479,11.0,0.9166666666666666,Convolutional,ipcl,imagenet,open_ipcl,Self-Supervised,input_ipcl
