comparison_id,comparison,eval_type,level,n_obs,n_subjects,n_models,mean,median,std,sem
architecture,CNNs versus Transformers,crsa,Convolutional,165,5,33,0.25382560804937826,0.2655437588691711,0.05901541994015549,0.004594344211265994
architecture,CNNs versus Transformers,crsa,Transformer,105,5,21,0.17361441339410477,0.1640058662742376,0.059406005994338255,0.00579743255834557
architecture,CNNs versus Transformers,wrsa,Convolutional,165,5,33,0.4780753953167886,0.4778823018074035,0.05700839046409275,0.004438097178464404
architecture,CNNs versus Transformers,wrsa,Transformer,105,5,21,0.496444652619816,0.4976512670516967,0.055153130828823504,0.005382394439918886
taskonomy_tasks,Taskonomy Encoders,crsa,denoising,5,5,1,0.12171111404895778,0.1294367358088493,0.018941186848830047,0.008470756273701804
taskonomy_tasks,Taskonomy Encoders,crsa,autoencoding,5,5,1,0.053411217629909455,0.0524343352764844,0.006929978438682359,0.0030991805743003226
taskonomy_tasks,Taskonomy Encoders,crsa,class_object,5,5,1,0.11811766281723972,0.1129731073975563,0.031474804457461335,0.014075960469079385
taskonomy_tasks,Taskonomy Encoders,crsa,class_scene,5,5,1,0.08879625678062436,0.0848848469555378,0.022161152846273968,0.009910768844806307
taskonomy_tasks,Taskonomy Encoders,crsa,curvature,5,5,1,0.10914390453137454,0.1114625677466392,0.03030118008852723,0.013551099695281996
taskonomy_tasks,Taskonomy Encoders,crsa,depth_euclidean,5,5,1,0.09456884965300556,0.0956618689000606,0.020584496251511254,0.009205666580193754
taskonomy_tasks,Taskonomy Encoders,crsa,depth_zbuffer,5,5,1,0.11697044104337688,0.1044932529330253,0.01963057395804787,0.008779059561506427
taskonomy_tasks,Taskonomy Encoders,crsa,edge_occlusion,5,5,1,0.062100581869017304,0.0634553536772728,0.02299293615233584,0.01028275364778708
taskonomy_tasks,Taskonomy Encoders,crsa,edge_texture,5,5,1,0.2288602358102798,0.2141569346189498,0.04053575523472741,0.018128140844828687
taskonomy_tasks,Taskonomy Encoders,crsa,egomotion,5,5,1,0.10805149197578427,0.1001598551869392,0.01618569062305928,0.0072384608991882945
taskonomy_tasks,Taskonomy Encoders,crsa,fixated_pose,5,5,1,0.0884103265404701,0.0839553132653236,0.017930647553094252,0.008018829361861803
taskonomy_tasks,Taskonomy Encoders,crsa,inpainting,5,5,1,0.07463015928864476,0.0696541503071785,0.010797612770448977,0.004828839229888748
taskonomy_tasks,Taskonomy Encoders,crsa,jigsaw,5,5,1,0.12972912728786468,0.1400666907429695,0.018333450761536633,0.00819896843298824
taskonomy_tasks,Taskonomy Encoders,crsa,keypoints2d,5,5,1,0.1605104008316993,0.1490662679076194,0.030772440685549286,0.013761853841293687
taskonomy_tasks,Taskonomy Encoders,crsa,keypoints3d,5,5,1,0.13400008320808404,0.121568252146244,0.020971481905199797,0.00937873182578671
taskonomy_tasks,Taskonomy Encoders,crsa,nonfixated_pose,5,5,1,0.12212037414312356,0.1294574782252311,0.01593761503014473,0.007127518121325195
taskonomy_tasks,Taskonomy Encoders,crsa,normal,5,5,1,0.09095420271158215,0.0845699869096279,0.020397271689490605,0.009121937210646594
taskonomy_tasks,Taskonomy Encoders,crsa,point_matching,5,5,1,0.1861995700001716,0.1708101525902748,0.036748056960929656,0.016434230681134608
taskonomy_tasks,Taskonomy Encoders,crsa,random_weights,5,5,1,0.06791397998109457,0.0711562767624855,0.017988596790619846,0.008044745048732106
taskonomy_tasks,Taskonomy Encoders,crsa,reshading,5,5,1,0.14572884768247601,0.1429916158318519,0.03174447120506897,0.014196559104863777
taskonomy_tasks,Taskonomy Encoders,crsa,room_layout,5,5,1,0.0540251579228788,0.0600632935762405,0.016898072634848067,0.007557047820049852
taskonomy_tasks,Taskonomy Encoders,crsa,segment_semantic,5,5,1,0.09867458827793595,0.1110180228948593,0.025531156006270074,0.011417880074834385
taskonomy_tasks,Taskonomy Encoders,crsa,segment_unsup25d,5,5,1,0.11990344703197472,0.117075315117836,0.020887429050764843,0.009341142246542818
taskonomy_tasks,Taskonomy Encoders,crsa,segment_unsup2d,5,5,1,0.19526229053735727,0.1939990431070327,0.027341972731779383,0.012227701933440865
taskonomy_tasks,Taskonomy Encoders,crsa,vanishing_point,5,5,1,0.020897306409897242,0.0203374348173383,0.010525182456293776,0.004707004689572219
taskonomy_tasks,Taskonomy Encoders,wrsa,denoising,5,5,1,0.20570980370044706,0.2256156906485557,0.05189437314670434,0.023207869201154113
taskonomy_tasks,Taskonomy Encoders,wrsa,autoencoding,5,5,1,-0.04229422304779284,-0.0463741408661007,0.014810093615765449,0.006623275215597439
taskonomy_tasks,Taskonomy Encoders,wrsa,class_object,5,5,1,0.32539594590663906,0.3091863334178925,0.07191526602658932,0.03216148469108698
taskonomy_tasks,Taskonomy Encoders,wrsa,class_scene,5,5,1,0.3199123263359069,0.3052683055400848,0.046515150303822604,0.020802207612593465
taskonomy_tasks,Taskonomy Encoders,wrsa,curvature,5,5,1,0.0111005750671029,0.0207132942974567,0.02336832115729214,0.010450630925550356
taskonomy_tasks,Taskonomy Encoders,wrsa,depth_euclidean,5,5,1,0.2652589654922485,0.2577510327100754,0.042738351904402234,0.0191131720209102
taskonomy_tasks,Taskonomy Encoders,wrsa,depth_zbuffer,5,5,1,0.26700343310832975,0.2524917602539062,0.046594338256402495,0.020837621541587
taskonomy_tasks,Taskonomy Encoders,wrsa,edge_occlusion,5,5,1,0.25782614409923554,0.2574049055576324,0.05311615831678921,0.023754268139996294
taskonomy_tasks,Taskonomy Encoders,wrsa,edge_texture,5,5,1,0.18947829540469682,0.2209117695689201,0.10525135412593968,0.04706983650990081
