model,score,rank
levit_128_classification,0.5465446841716767,1
swin_tiny_patch4_window7_224_classification,0.5450695145130158,2
gmlp_s16_224_classification,0.5449710690975189,3
resmlp_big_24_224_in22ft1k_classification,0.5389218163490296,4
poolformer_s36_classification,0.5387129449844361,5
ResNet50/BarlowTwins/BS2048_selfsupervised,0.535695869922638,6
jx_nest_tiny_classification,0.5287400686740875,7
convnext_base_classification,0.52450643658638,8
cspresnet50_classification,0.523218456506729,9
ViT/L/SLIP_slip,0.5224815702438355,10
mobilenet_v2_classification,0.5222749674320222,11
vit_large_patch16_224_classification,0.5211383366584779,12
hardcorenas_f_classification,0.5196814548969269,13
mixer_l16_224_classification,0.518621277809143,14
mixer_l16_224_in21k_classification,0.518621277809143,15
pit_b_224_classification,0.5174361228942871,16
convnext_base_in22k_classification,0.5170301759243012,17
swin_base_patch4_window7_224_classification,0.5167263257503509,18
ViT/S/SimCLR_slip,0.5155811774730682,19
pit_ti_224_classification,0.5131114649772643,20
ResNet50/SimCLR_selfsupervised,0.5119954121112823,21
mixer_b16_224_in21k_classification,0.511606559753418,22
mixer_b16_224_classification,0.511606559753418,23
ResNet50/PIRL_selfsupervised,0.5109096789360047,24
mnasnet1_0_classification,0.5093464052677155,25
gmixer_24_224_classification,0.5087606847286225,26
vit_large_patch16_224_in21k_classification,0.5077590560913086,27
resmlp_big_24_224_classification,0.5064405369758606,28
eca_nfnet_l0_classification,0.5052504289150238,29
mobilenetv3_large_100_classification,0.5042303931713104,30
ViT/L/SimCLR_slip,0.5026783025264739,31
vit_small_patch32_224_classification,0.5019259905815124,32
skresnext50_32x4d_classification,0.5012697076797485,33
ViT/B/SLIP_slip,0.5012207603454589,34
inception_v3_classification,0.5011885559558868,35
visformer_small_classification,0.5011482906341553,36
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,0.49922860264778135,37
deit_base_patch16_224_classification,0.49909789681434635,38
ghostnet_100_classification,0.4983527195453643,39
vit_base_patch16_224_in21k_classification,0.49733791708946223,40
vit_small_patch32_224_in21k_classification,0.4969975936412811,41
vit_base_patch16_224_classification,0.49637889027595516,42
efficientnet_b3_classification,0.4955131936073303,43
vit_small_patch16_224_classification,0.4942262125015258,44
ViT/S/SLIP_slip,0.494073623418808,45
ResNet50/MoCoV2/BS256_selfsupervised,0.49138380050659175,46
xception_classification,0.491106116771698,47
swin_large_patch4_window7_224_classification,0.4871630918979644,48
vit_base_patch32_224_classification,0.4864800930023193,49
vit_base_patch32_224_in21k_classification,0.48541199207305913,50
shufflenet_v2_x1_0_classification,0.4852705144882202,51
vit_small_patch16_224_in21k_classification,0.4843555426597595,52
ViT/L/CLIP_slip,0.48306858777999884,53
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,0.48235601544380186,54
ViT/S/CLIP_slip,0.481489827632904,55
semnasnet_100_classification,0.47891545057296747,56
coat_lite_tiny_classification,0.4788125681877136,57
resnet101_classification,0.47694336056709286,58
ViT/B/CLIP_slip,0.4765018427371978,59
nf_resnet50_classification,0.4763379228115082,60
resnet50_classification,0.47584989905357367,61
ViT/B/SimCLR_slip,0.4754987585544586,62
tnt_s_patch16_224_classification,0.4742255842685699,63
googlenet_classification,0.47400589466094967,64
convnext_large_classification,0.473689603805542,65
seresnext50_32x4d_classification,0.47285404801368713,66
nfnet_l0_classification,0.4675427484512329,67
resnet18_classification,0.4665818786621093,68
crossvit_base_240_classification,0.4596234250068664,69
ResNet50/ClusterFit/16K/RotNet_selfsupervised,0.45848694324493405,70
swin_base_patch4_window7_224_in22k_classification,0.45066836893558493,71
hardcorenas_a_classification,0.4505008637905121,72
convnext_large_in22k_classification,0.4496339499950409,73
regnety_064_classification,0.4478223586082459,74
regnetx_064_classification,0.4477542150020599,75
xcit_nano_12_p16_224_classification,0.44437858223915094,76
alexnet_gn_ipcl_imagenet,0.4430333852767944,77
