model,eval_type,mean,ci_lo,ci_hi,n_subjects,panel,group_label,group_color,x,x_start,x_end,mean_group,ci_lo_group,ci_hi_group,deepnsd_model,model_string,model_display_name,train_type,train_data,architecture,model_class,task_cluster,compare_architecture,compare_goal_slip,compare_goal_taskonomy_tasks,compare_goal_taskonomy_cluster,compare_diet_ipcl,compare_goal_selfsupervised,compare_goal_contrastive,compare_diet_imagenetsize
vgg16_classification,crsa,0.33715693950653075,0.3145208418369293,0.3597930371761322,5,Fig2 architecture,Convolutional,#e69f00,0.0,-0.38,32.38,0.22430557266555048,0.20362290023910729,0.24306511832514044,vgg16,vgg16_classification,VGG16,classification,imagenet,vgg16,Convolutional,Semantic,Convolutional,,,,,,,
dla34_classification,crsa,0.19110310673713685,0.15182120203971863,0.23881690502166747,5,Fig2 architecture,Convolutional,#e69f00,1.0,-0.38,32.38,0.22430557266555048,0.20362290023910729,0.24306511832514044,dla34,dla34_classification,DLA34,classification,imagenet,dla34,Convolutional,Semantic,Convolutional,,,,,,,
squeezenet1_0_classification,crsa,0.2952362895011902,0.27605621218681337,0.3134992778301239,5,Fig2 architecture,Convolutional,#e69f00,2.0,-0.38,32.38,0.22430557266555048,0.20362290023910729,0.24306511832514044,squeezenet1_0,squeezenet1_0_classification,SqueezeNet1.0,classification,imagenet,squeezenet1_0,Convolutional,Semantic,Convolutional,,,,,,,
densenet121_classification,crsa,0.20285096764564514,0.160641610622406,0.23959533870220184,5,Fig2 architecture,Convolutional,#e69f00,3.0,-0.38,32.38,0.22430557266555048,0.20362290023910729,0.24306511832514044,densenet121,densenet121_classification,DenseNet121,classification,imagenet,densenet121,Convolutional,Semantic,Convolutional,,,,,,,
resnet18_classification,crsa,0.23785245716571807,0.21194652020931243,0.2637583941221237,5,Fig2 architecture,Convolutional,#e69f00,4.0,-0.38,32.38,0.22430557266555048,0.20362290023910729,0.24306511832514044,resnet18,resnet18_classification,ResNet18,classification,imagenet,resnet18,Convolutional,Semantic,Convolutional,,,,,,,
seresnext50_32x4d_classification,crsa,0.20390723943710326,0.1598610460758209,0.2479534327983856,5,Fig2 architecture,Convolutional,#e69f00,5.0,-0.38,32.38,0.22430557266555048,0.20362290023910729,0.24306511832514044,seresnext50_32x4d,seresnext50_32x4d_classification,SEResNext50-32x4D,classification,imagenet,seresnext50_32x4d,Convolutional,Semantic,Convolutional,,,,,,,
resnet152_classification,crsa,0.1387363150715828,0.06489859074354172,0.1976910799741745,5,Fig2 architecture,Convolutional,#e69f00,6.0,-0.38,32.38,0.22430557266555048,0.20362290023910729,0.24306511832514044,resnet152,resnet152_classification,ResNet152,classification,imagenet,resnet152,Convolutional,Semantic,Convolutional,,,,,,,
hardcorenas_a_classification,crsa,0.2554169863462448,0.23380351066589355,0.27574330270290376,5,Fig2 architecture,Convolutional,#e69f00,7.0,-0.38,32.38,0.22430557266555048,0.20362290023910729,0.24306511832514044,hardcorenas_a,hardcorenas_a_classification,HardCoreNAS-A,classification,imagenet,hardcorenas_a,Convolutional,Semantic,Convolutional,,,,,,,
alexnet_classification,crsa,0.27531912326812746,0.2657302677631378,0.2849079787731171,5,Fig2 architecture,Convolutional,#e69f00,8.0,-0.38,32.38,0.22430557266555048,0.20362290023910729,0.24306511832514044,alexnet,alexnet_classification,AlexNet,classification,imagenet,alexnet,Convolutional,Semantic,Convolutional,,,,,,,
semnasnet_100_classification,crsa,0.23872496783733368,0.21871683597564698,0.2700086832046509,5,Fig2 architecture,Convolutional,#e69f00,9.0,-0.38,32.38,0.22430557266555048,0.20362290023910729,0.24306511832514044,semnasnet_100,semnasnet_100_classification,SemNASNet100,classification,imagenet,semnasnet_100,Convolutional,Semantic,Convolutional,,,,,,,
regnetx_064_classification,crsa,0.2412598192691803,0.21478609442710878,0.25869292616844175,5,Fig2 architecture,Convolutional,#e69f00,10.0,-0.38,32.38,0.22430557266555048,0.20362290023910729,0.24306511832514044,regnetx_064,regnetx_064_classification,RegNetX-64,classification,imagenet,regnetx_064,Convolutional,Semantic,Convolutional,,,,,,,
