model,eval_type,n_subjects_total,n_subjects_test,n_nan_test,mean_test_score,median_test_score,sem_test_score,std_test_score,mean_train_score,median_selected_layer_index,median_selected_layer_fraction,model_class,train_type,train_data,model_source,task_cluster,comparison_group
ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,5,5,0,0.2985028803348541,0.28892654180526733,0.015832662480906902,0.03540290957211831,0.28934400975704194,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,srpr,5,5,0,0.4445971630555136,0.453577961140187,0.008359067582407433,0.01869144334277785,0.47013333569963134,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,wrsa,5,5,0,0.4597478449344635,0.4687289893627167,0.04626556037409963,0.10345293801360737,0.38277068734169006,9.0,0.75,,,,,,
ResNet50/ClusterFit/16K/RotNet_selfsupervised,crsa,5,5,0,0.18301320374011992,0.1576060801744461,0.019690881440814635,0.04403014943855053,0.21270063817501067,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,srpr,5,5,0,0.43614970362161776,0.44600441655771356,0.007897422090993938,0.017659172642470976,0.4466455013733279,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,wrsa,5,5,0,0.4593613088130951,0.4602409303188324,0.057835717315538375,0.12932459544500546,0.34120942950248717,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,crsa,5,5,0,0.34867088198661805,0.3529266119003296,0.00920218076545302,0.020576701732793995,0.35202074646949766,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,srpr,5,5,0,0.4468545132397496,0.45367207848071084,0.010718490003960133,0.023967272265006848,0.467433453903393,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,wrsa,5,5,0,0.42411797642707827,0.4531663954257965,0.04692056373643299,0.1049175700572757,0.3798519968986511,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/Goyal19_selfsupervised,crsa,5,5,0,0.1238647758960724,0.1069357693195343,0.01457054714865866,0.0325807338937665,0.1603100121021271,3.0,0.25,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,srpr,5,5,0,0.3843932676657874,0.395922663789516,0.013187801372248906,0.02948882034211355,0.4067338456341026,3.0,0.25,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,wrsa,5,5,0,0.3463433802127838,0.37489229440689087,0.033524632632965,0.07496335748801751,0.3204936385154724,3.0,0.25,,,,,,
ResNet50/JigSaw/P100_selfsupervised,crsa,5,5,0,0.19456306993961334,0.17438200116157532,0.017265386413029136,0.03860657767733441,0.19785533845424652,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/P100_selfsupervised,srpr,5,5,0,0.3814071373997197,0.39588191290594743,0.011219211015754476,0.025086918485141482,0.41121921174826304,11.0,0.9166666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/P100_selfsupervised,wrsa,5,5,0,0.30888243913650515,0.325324147939682,0.03824474207901541,0.0855178430706251,0.3246975660324097,11.0,0.9166666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/MoCoV2/BS256_selfsupervised,crsa,5,5,0,0.24977726638317108,0.25140559673309326,0.01013203769437438,0.022655925035211348,0.25652596056461335,9.0,0.75,,,,,,
ResNet50/MoCoV2/BS256_selfsupervised,srpr,5,5,0,0.4439198038141033,0.45252831881908545,0.009031265374148945,0.020194523299437092,0.4618578852785905,9.0,0.75,,,,,,
ResNet50/MoCoV2/BS256_selfsupervised,wrsa,5,5,0,0.44587759375572206,0.4984319806098938,0.05173308400227729,0.11567869251479893,0.37857003808021544,12.0,1.0,,,,,,
