comparison_id,comparison,eval_type,level,n_obs,n_subjects,n_models,mean,median,std,sem
architecture,CNNs versus Transformers,crsa,Convolutional,165,5,33,0.22430557266555048,0.2368878573179245,0.07147725306149025,0.005564496603993614
architecture,CNNs versus Transformers,crsa,Transformer,105,5,21,0.16501457396717298,0.1646660566329956,0.0742118853736495,0.007242338434979274
architecture,CNNs versus Transformers,wrsa,Convolutional,165,5,33,0.42775149643421173,0.4280569851398468,0.08696692867977131,0.006770366215417243
architecture,CNNs versus Transformers,wrsa,Transformer,105,5,21,0.46349621273222424,0.4746168255805969,0.09459003843769537,0.009231042541155147
taskonomy_tasks,Taskonomy Encoders,crsa,denoising,5,5,1,0.11538746953010556,0.1102534309029579,0.015109172209644554,0.006757027228903185
taskonomy_tasks,Taskonomy Encoders,crsa,autoencoding,5,5,1,0.05901518240571017,0.0633316338062286,0.010223222022544746,0.0045719638782965874
taskonomy_tasks,Taskonomy Encoders,crsa,class_object,5,5,1,0.12101329416036599,0.1147346273064613,0.02258972191197152,0.010102430757596967
taskonomy_tasks,Taskonomy Encoders,crsa,class_scene,5,5,1,0.11704110801219939,0.1212520822882652,0.019956348588732745,0.008924750405417682
taskonomy_tasks,Taskonomy Encoders,crsa,curvature,5,5,1,0.04437878550961608,0.0514754988253116,0.027212074559283296,0.012169609704670016
taskonomy_tasks,Taskonomy Encoders,crsa,depth_euclidean,5,5,1,0.11266621649265282,0.1123089045286178,0.019364662615048576,0.008660140393719491
taskonomy_tasks,Taskonomy Encoders,crsa,depth_zbuffer,5,5,1,0.15428789556026457,0.1539976745843887,0.014868943273022834,0.006649593582413454
taskonomy_tasks,Taskonomy Encoders,crsa,edge_occlusion,5,5,1,0.012342813517898281,0.0062577878125011,0.022169232950442503,0.009914382377243533
taskonomy_tasks,Taskonomy Encoders,crsa,edge_texture,5,5,1,0.24672094583511353,0.2399584800004959,0.037329156471918395,0.016694106282787148
taskonomy_tasks,Taskonomy Encoders,crsa,egomotion,5,5,1,0.050784981250762876,0.0576703548431396,0.020442128929125163,0.009141997978067768
taskonomy_tasks,Taskonomy Encoders,crsa,fixated_pose,5,5,1,0.05757596492767332,0.0726710259914398,0.06148735844011241,0.027497982645797354
taskonomy_tasks,Taskonomy Encoders,crsa,inpainting,5,5,1,0.07503744736313817,0.0788480192422866,0.013711281093665222,0.006131871316808619
taskonomy_tasks,Taskonomy Encoders,crsa,jigsaw,5,5,1,0.1541270554065704,0.1583806574344635,0.027175788723543596,0.012153382185603143
taskonomy_tasks,Taskonomy Encoders,crsa,keypoints2d,5,5,1,0.11026573404669757,0.1479415297508239,0.08625438828054663,0.03857413511059269
taskonomy_tasks,Taskonomy Encoders,crsa,keypoints3d,5,5,1,0.16685278415679927,0.1691691726446151,0.012207579074225747,0.0054593953301345435
taskonomy_tasks,Taskonomy Encoders,crsa,nonfixated_pose,5,5,1,0.055227009952068286,0.0553434826433658,0.01514819981694819,0.006774480905489205
taskonomy_tasks,Taskonomy Encoders,crsa,normal,5,5,1,0.12417660653591152,0.1252529919147491,0.022354971029466222,0.009997446971384985
taskonomy_tasks,Taskonomy Encoders,crsa,point_matching,5,5,1,0.1305927456356585,0.1754010766744613,0.0827021748653439,0.03698553697719669
taskonomy_tasks,Taskonomy Encoders,crsa,random_weights,5,5,1,0.03772959900088606,0.0429071485996246,0.032632781285132556,0.014593823449687867
taskonomy_tasks,Taskonomy Encoders,crsa,reshading,5,5,1,0.17112556397914883,0.1693308651447296,0.018883591318451066,0.008444998769476292
taskonomy_tasks,Taskonomy Encoders,crsa,room_layout,5,5,1,0.046288244798779445,0.0457096248865127,0.01774024692162015,0.007933679610874806
taskonomy_tasks,Taskonomy Encoders,crsa,segment_semantic,5,5,1,0.15452906191349028,0.1563506871461868,0.0169219141366364,0.00756771006378673
taskonomy_tasks,Taskonomy Encoders,crsa,segment_unsup25d,5,5,1,0.11256659179925914,0.1175634562969207,0.012554506068375692,0.005614545798564334
taskonomy_tasks,Taskonomy Encoders,crsa,segment_unsup2d,5,5,1,0.20018596649169917,0.209670752286911,0.02394096192218446,0.010706723660947697
taskonomy_tasks,Taskonomy Encoders,crsa,vanishing_point,5,5,1,0.0031326366588472813,0.0164638590067625,0.0382551119238086,0.017108206149699757
taskonomy_tasks,Taskonomy Encoders,wrsa,denoising,5,5,1,0.1887488335371017,0.2152751982212066,0.08116997579228279,0.03630031672071133
taskonomy_tasks,Taskonomy Encoders,wrsa,autoencoding,5,5,1,-0.01964269420132036,-0.0201872326433658,0.021549749266623622,0.009637340851649332
taskonomy_tasks,Taskonomy Encoders,wrsa,class_object,5,5,1,0.25045054852962495,0.2244462221860885,0.11050384602360297,0.04941882229678921
taskonomy_tasks,Taskonomy Encoders,wrsa,class_scene,5,5,1,0.2905040144920349,0.2908703088760376,0.08588809277001233,0.038410322778311155
taskonomy_tasks,Taskonomy Encoders,wrsa,curvature,5,5,1,-0.02616936862468716,-0.0252480320632457,0.007513416183311035,0.0033601018658260986
taskonomy_tasks,Taskonomy Encoders,wrsa,depth_euclidean,5,5,1,0.26108614206314085,0.2772443890571594,0.05119712135919182,0.022896048722291867
taskonomy_tasks,Taskonomy Encoders,wrsa,depth_zbuffer,5,5,1,0.22257971465587612,0.2076133340597152,0.06268471883220755,0.028033458491855463
taskonomy_tasks,Taskonomy Encoders,wrsa,edge_occlusion,5,5,1,0.18140217959880825,0.1602782756090164,0.056912428460400746,0.025452011760409954
taskonomy_tasks,Taskonomy Encoders,wrsa,edge_texture,5,5,1,0.21927498281002045,0.2135399878025055,0.11584711341417497,0.0518084041182446
taskonomy_tasks,Taskonomy Encoders,wrsa,egomotion,5,5,1,0.1429230153560638,0.1500436961650848,0.05559116050953094,0.024861122769482605
taskonomy_tasks,Taskonomy Encoders,wrsa,fixated_pose,5,5,1,0.20376317054033274,0.1882218271493911,0.07729340181353232,0.034566660133452755
taskonomy_tasks,Taskonomy Encoders,wrsa,inpainting,5,5,1,0.16275467723608017,0.1427158862352371,0.06642624252382019,0.029706718754629827
taskonomy_tasks,Taskonomy Encoders,wrsa,jigsaw,5,5,1,0.12810888737440104,0.1313673853874206,0.04602538562997778,0.02058317819185446
taskonomy_tasks,Taskonomy Encoders,wrsa,keypoints2d,5,5,1,0.08371568971779193,0.0782252550125122,0.07040789315421773,0.03148736704907459
taskonomy_tasks,Taskonomy Encoders,wrsa,keypoints3d,5,5,1,0.302431532740593,0.2921106517314911,0.10604547574616668,0.047424978494946785
taskonomy_tasks,Taskonomy Encoders,wrsa,nonfixated_pose,5,5,1,0.16226722002029415,0.1691145598888397,0.05661527459853209,0.025319120513426975
taskonomy_tasks,Taskonomy Encoders,wrsa,normal,5,5,1,0.20683131217956538,0.1773327440023422,0.09866338548353229,0.04412360736628883
taskonomy_tasks,Taskonomy Encoders,wrsa,point_matching,5,5,1,0.2436952471733093,0.1815898567438125,0.10589884323269447,0.04735940244137968
taskonomy_tasks,Taskonomy Encoders,wrsa,random_weights,5,5,1,0.03319741538725792,0.0373187027871608,0.04613527117802104,0.02063232050288837
taskonomy_tasks,Taskonomy Encoders,wrsa,reshading,5,5,1,0.28441577553749087,0.2830849587917328,0.07551110572613484,0.03376959309196222
taskonomy_tasks,Taskonomy Encoders,wrsa,room_layout,5,5,1,0.2190881252288818,0.2187723219394683,0.05175415649148962,0.023145162406626563
taskonomy_tasks,Taskonomy Encoders,wrsa,segment_semantic,5,5,1,0.24634652733802792,0.2328366488218307,0.06790772986745172,0.030369260036262963
taskonomy_tasks,Taskonomy Encoders,wrsa,segment_unsup25d,5,5,1,0.20291445255279536,0.21861632168293,0.053020285543694604,0.023711392532430105
taskonomy_tasks,Taskonomy Encoders,wrsa,segment_unsup2d,5,5,1,0.3219012051820755,0.2739378213882446,0.10545739902451762,0.04716198258982828
taskonomy_tasks,Taskonomy Encoders,wrsa,vanishing_point,5,5,1,0.035770537098869626,0.0215689241886138,0.04162524140140912,0.01861537387067788
contrastive_self_supervised,Contrastive Self-Supervised Learning,crsa,Non-Contrastive,20,5,4,0.16879687830805773,0.16075435280799866,0.045989970895478634,0.01028367012055271
contrastive_self_supervised,Contrastive Self-Supervised Learning,crsa,Contrastive,30,5,6,0.3000838354229927,0.28985571861267084,0.04797592646972486,0.008759165714892499
contrastive_self_supervised,Contrastive Self-Supervised Learning,wrsa,Non-Contrastive,20,5,4,0.3663958556950092,0.35855768620967865,0.10922117250238854,0.024422596629757157
contrastive_self_supervised,Contrastive Self-Supervised Learning,wrsa,Contrastive,30,5,6,0.44598728120326997,0.46771982312202454,0.10081603774376449,0.018406406010184014
language_alignment,Language Alignment,crsa,SimCLR,15,5,3,0.06092645289997257,0.0721873939037323,0.05827392301082778,0.015046262222607278
