model,score,rank
vit_large_patch16_224_classification,0.549121356010437,1
gmlp_s16_224_classification,0.5265992820262909,2
mixer_l16_224_in21k_classification,0.5156649053096771,3
mixer_l16_224_classification,0.5156649053096771,4
ViT/L/SLIP_slip,0.5134059906005859,5
swin_tiny_patch4_window7_224_classification,0.5126476764678956,6
vit_large_patch16_224_in21k_classification,0.5106323599815369,7
swin_base_patch4_window7_224_classification,0.5030019342899322,8
mixer_b16_224_classification,0.5003681778907776,9
mixer_b16_224_in21k_classification,0.5003681778907776,10
pit_b_224_classification,0.49403232932090757,11
vit_small_patch32_224_classification,0.4918231666088104,12
levit_128_classification,0.49019184708595276,13
vit_base_patch16_224_classification,0.48567095398902893,14
convnext_base_classification,0.4838911950588226,15
resmlp_big_24_224_in22ft1k_classification,0.48255943655967715,16
swin_large_patch4_window7_224_classification,0.48222042322158815,17
mobilenetv3_large_100_classification,0.48096213936805726,18
poolformer_s36_classification,0.48084859251976014,19
mobilenet_v2_classification,0.48010092973709106,20
vit_small_patch16_224_classification,0.47991819977760314,21
ViT/L/CLIP_slip,0.4795572221279144,22
hardcorenas_f_classification,0.4780230700969696,23
ViT/S/SimCLR_slip,0.4774553418159485,24
pit_ti_224_classification,0.4739494204521179,25
ViT/S/CLIP_slip,0.46625242829322816,26
jx_nest_tiny_classification,0.4662425100803375,27
ResNet50/PIRL_selfsupervised,0.4656442224979401,28
vit_small_patch32_224_in21k_classification,0.46472975611686707,29
efficientnet_b3_classification,0.4645542562007904,30
vit_small_patch16_224_in21k_classification,0.4639963090419769,31
eca_nfnet_l0_classification,0.46305962204933165,32
convnext_base_in22k_classification,0.4626122236251831,33
mnasnet1_0_classification,0.4601656377315521,34
ResNet50/BarlowTwins/BS2048_selfsupervised,0.4597478449344635,35
ResNet50/ClusterFit/16K/RotNet_selfsupervised,0.4593613088130951,36
ViT/S/SLIP_slip,0.4585713863372803,37
gmixer_24_224_classification,0.45740697979927064,38
deit_base_patch16_224_classification,0.45592295527458193,39
resmlp_big_24_224_classification,0.4551510989665985,40
ViT/L/SimCLR_slip,0.4538011074066162,41
xception_classification,0.4500378131866455,42
crossvit_base_240_classification,0.4465400993824005,43
ResNet50/MoCoV2/BS256_selfsupervised,0.44587759375572206,44
resnet50_classification,0.44431914687156676,45
xcit_nano_12_p16_224_classification,0.44412173628807067,46
googlenet_classification,0.4437249183654785,47
shufflenet_v2_x1_0_classification,0.4430228114128113,48
ghostnet_100_classification,0.4428705334663391,49
ResNet50/SimCLR_selfsupervised,0.44285705089569094,50
ViT/B/CLIP_slip,0.4398823261260986,51
resnet101_classification,0.4393391251564026,52
visformer_small_classification,0.43864843249320984,53
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,0.43767899870872495,54
cspresnet50_classification,0.4362323820590973,55
alexnet_gn_ipcl_imagenet,0.432810378074646,56
tnt_s_patch16_224_classification,0.43125246167182923,57
regnety_064_classification,0.4290013790130615,58
vit_base_patch16_224_in21k_classification,0.4281261324882507,59
ViT/B/SimCLR_slip,0.42810078859329226,60
nfnet_l0_classification,0.4278177201747894,61
convnext_large_classification,0.4264425277709961,62
skresnext50_32x4d_classification,0.4262330412864685,63
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,0.42411797642707827,64
ViT/B/SLIP_slip,0.4185344159603119,65
vit_base_patch32_224_in21k_classification,0.4167445659637451,66
