model,eval_type,n_subjects_total,n_subjects_test,n_nan_test,mean_test_score,median_test_score,sem_test_score,std_test_score,mean_train_score,median_selected_layer_index,median_selected_layer_fraction,model_class,train_type,train_data,model_source,task_cluster,comparison_group
ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,5,5,0,0.25246210396289825,0.22730427980422974,0.022709706007444343,0.0507804463816809,0.26329927146434784,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,srpr,5,5,0,0.3647399699160452,0.358888914061195,0.006269751231633865,0.014019589955946354,0.41714248299286283,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,wrsa,5,5,0,0.46014328598976134,0.4452979862689972,0.029900167243004195,0.06685880649396986,0.34642537236213683,9.0,0.75,,,,,,
ResNet50/ClusterFit/16K/RotNet_selfsupervised,crsa,5,5,0,0.1629714086651802,0.1677641123533249,0.024543132568162224,0.054880112803199724,0.19601201713085176,12.0,1.0,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,srpr,5,5,0,0.34903811321058376,0.34641865122274507,0.005472654318287243,0.012237227073048054,0.4015953495037879,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,wrsa,5,5,0,0.3981117904186249,0.40069252252578735,0.026834132211417384,0.060002943741946035,0.32175193130970003,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,crsa,5,5,0,0.3011938214302063,0.2941691279411316,0.022856671404436955,0.051109070999696624,0.29986568689346316,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,srpr,5,5,0,0.3627664690635874,0.3620297909349765,0.006722999940210983,0.015033084879038773,0.4154047517197209,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,wrsa,5,5,0,0.4385670065879822,0.4226021468639374,0.028489745712258638,0.06370500807429348,0.34441232681274414,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/Goyal19_selfsupervised,crsa,5,5,0,0.15786398351192474,0.17008374631404877,0.010117062083189852,0.02262243855059814,0.17409466207027435,3.0,0.25,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,srpr,5,5,0,0.3042682489923172,0.30194650644258264,0.008090513199434253,0.01809093748679431,0.3661592100111327,3.0,0.25,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,wrsa,5,5,0,0.39081287384033203,0.37209635972976685,0.023096852463395046,0.0516461321744348,0.29886485636234283,3.0,0.25,,,,,,
ResNet50/JigSaw/P100_selfsupervised,crsa,5,5,0,0.19107480347156525,0.18840646743774414,0.006877270567996295,0.015378044489698305,0.19979557693004607,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/P100_selfsupervised,srpr,5,5,0,0.30773436550772815,0.3050708936029732,0.007389625810079556,0.01652370563962485,0.36736860738763666,8.0,0.6666666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/P100_selfsupervised,wrsa,5,5,0,0.3696567714214325,0.36827704310417175,0.027447860131022187,0.0613752810898719,0.29621621370315554,11.0,0.9166666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/MoCoV2/BS256_selfsupervised,crsa,5,5,0,0.24369094371795655,0.2203218638896942,0.026102908654699494,0.058367878162375667,0.22561156749725342,9.0,0.75,,,,,,
ResNet50/MoCoV2/BS256_selfsupervised,srpr,5,5,0,0.3543201858641492,0.35218310227465277,0.006665493372215376,0.014904496283847888,0.4119437733371104,5.0,0.4166666666666667,,,,,,
ResNet50/MoCoV2/BS256_selfsupervised,wrsa,5,5,0,0.4102341055870056,0.39816799759864807,0.02076277498862126,0.046426976276089556,0.34055835008621216,9.0,0.75,,,,,,
ResNet50/PIRL_selfsupervised,crsa,5,5,0,0.2821172773838043,0.2608252167701721,0.01875875668722287,0.0419458551260091,0.27327086627483366,12.0,1.0,,,,,,
ResNet50/PIRL_selfsupervised,srpr,5,5,0,0.35214314003682295,0.3474066910720545,0.0071501362087344625,0.015988190611112892,0.4058619022777571,9.0,0.75,,,,,,
ResNet50/PIRL_selfsupervised,wrsa,5,5,0,0.4427269399166107,0.41792649030685425,0.026908643470033983,0.06016955598130182,0.33991349339485166,9.0,0.75,,,,,,
ResNet50/RotNet_selfsupervised,crsa,5,5,0,0.15829542577266692,0.16304315626621246,0.009065992452316419,0.02027217540687953,0.19434842765331267,4.0,0.3333333333333333,,,,,,
ResNet50/RotNet_selfsupervised,srpr,5,5,0,0.31943852200112866,0.32099583306187157,0.006286373811538739,0.014056759174575072,0.3738620976019602,9.0,0.75,,,,,,
ResNet50/RotNet_selfsupervised,wrsa,5,5,0,0.34087594151496886,0.33891561627388,0.023731489656620593,0.05306522407953678,0.31003926396369935,12.0,1.0,,,,,,
ResNet50/SimCLR_selfsupervised,crsa,5,5,0,0.23797376453876495,0.24290154874324799,0.016426215210794747,0.03673013382437809,0.23934738636016845,9.0,0.75,,,,,,
ResNet50/SimCLR_selfsupervised,srpr,5,5,0,0.36484580266928013,0.3619021694706362,0.0071815271645090445,0.016058382922103535,0.4154516638218763,9.0,0.75,,,,,,
ResNet50/SimCLR_selfsupervised,wrsa,5,5,0,0.4365882217884064,0.42330193519592285,0.02965659480333318,0.06631416196142,0.34654768109321593,9.0,0.75,,,,,,
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,crsa,5,5,0,0.2045798510313034,0.1867707222700119,0.023498208562425512,0.052543591695051066,0.20381939709186553,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,srpr,5,5,0,0.35980010486760705,0.35645999895824826,0.006941238208368334,0.015521080481930436,0.4133338943285292,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,wrsa,5,5,0,0.3832245707511902,0.39750543236732483,0.05717593177190351,0.12784927011886624,0.3439110517501831,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ViT/B/CLIP_slip,crsa,5,5,0,0.020695478143170475,0.022244751453399658,0.014506249857218125,0.032436960779336346,0.03975153231440345,0.0,0.0,,,,,,
ViT/B/CLIP_slip,srpr,5,5,0,0.34430468942095604,0.3401356948778546,0.007670859620433529,0.01715256355714761,0.4000215833439908,7.0,0.5833333333333334,,,,,,
ViT/B/CLIP_slip,wrsa,5,5,0,0.4283343553543091,0.4302281439304352,0.0325053829882291,0.07268424599634553,0.32055358290672303,5.0,0.4166666666666667,,,,,,
ViT/B/SLIP_slip,crsa,5,5,0,0.07820111028850078,0.08455663174390793,0.016131957273949817,0.036072153074673985,0.10127441138029099,7.0,0.5833333333333334,,,,,,
ViT/B/SLIP_slip,srpr,5,5,0,0.34529758595992766,0.33946137314022323,0.006765941435675046,0.015129104981951925,0.4030303545412327,6.0,0.5,,,,,,
ViT/B/SLIP_slip,wrsa,5,5,0,0.4400190770626068,0.44206157326698303,0.03029872422281859,0.06775000699374185,0.3334871709346771,6.0,0.5,,,,,,
