model,eval_type,mean,ci_lo,ci_hi,n_subjects,panel,group_label,group_color,x,x_start,x_end,mean_group,ci_lo_group,ci_hi_group,deepnsd_model,model_string,model_display_name,train_type,train_data,architecture,model_class,task_cluster,compare_architecture,compare_goal_slip,compare_goal_taskonomy_tasks,compare_goal_taskonomy_cluster,compare_diet_ipcl,compare_goal_selfsupervised,compare_goal_contrastive,compare_diet_imagenetsize
vgg16_classification,crsa,0.2905556684732437,0.2653709101676941,0.3157404267787933,5,Fig2 architecture,Convolutional,#e69f00,0.0,-0.38,32.38,0.21097205137213074,0.19721433347548273,0.2234408641713248,vgg16,vgg16_classification,VGG16,classification,imagenet,vgg16,Convolutional,Semantic,Convolutional,,,,,,,
densenet121_classification,crsa,0.18052964746952055,0.17005944430828093,0.1909998506307602,5,Fig2 architecture,Convolutional,#e69f00,1.0,-0.38,32.38,0.21097205137213074,0.19721433347548273,0.2234408641713248,densenet121,densenet121_classification,DenseNet121,classification,imagenet,densenet121,Convolutional,Semantic,Convolutional,,,,,,,
alexnet_classification,crsa,0.239612894654274,0.2284839129447937,0.2509770065546036,5,Fig2 architecture,Convolutional,#e69f00,2.0,-0.38,32.38,0.21097205137213074,0.19721433347548273,0.2234408641713248,alexnet,alexnet_classification,AlexNet,classification,imagenet,alexnet,Convolutional,Semantic,Convolutional,,,,,,,
squeezenet1_0_classification,crsa,0.2765013927221298,0.25608899831771853,0.29691378712654115,5,Fig2 architecture,Convolutional,#e69f00,3.0,-0.38,32.38,0.21097205137213074,0.19721433347548273,0.2234408641713248,squeezenet1_0,squeezenet1_0_classification,SqueezeNet1.0,classification,imagenet,squeezenet1_0,Convolutional,Semantic,Convolutional,,,,,,,
ghostnet_100_classification,crsa,0.16410547018051147,0.14071126878261567,0.1874996715784073,5,Fig2 architecture,Convolutional,#e69f00,4.0,-0.38,32.38,0.21097205137213074,0.19721433347548273,0.2234408641713248,ghostnet_100,ghostnet_100_classification,GhostNet100,classification,imagenet,ghostnet_100,Convolutional,Semantic,Convolutional,,,,,,,
skresnext50_32x4d_classification,crsa,0.2088401085138321,0.19238584727048874,0.23306036084890366,5,Fig2 architecture,Convolutional,#e69f00,5.0,-0.38,32.38,0.21097205137213074,0.19721433347548273,0.2234408641713248,skresnext50_32x4d,skresnext50_32x4d_classification,SKResNext50-32x4D,classification,imagenet,skresnext50_32x4d,Convolutional,Semantic,Convolutional,,,,,,,
seresnext50_32x4d_classification,crsa,0.21217620998620984,0.18593722432851792,0.23835827708244325,5,Fig2 architecture,Convolutional,#e69f00,6.0,-0.38,32.38,0.21097205137213074,0.19721433347548273,0.2234408641713248,seresnext50_32x4d,seresnext50_32x4d_classification,SEResNext50-32x4D,classification,imagenet,seresnext50_32x4d,Convolutional,Semantic,Convolutional,,,,,,,
regnety_064_classification,crsa,0.1907325220108032,0.16763944685459137,0.21817699909210206,5,Fig2 architecture,Convolutional,#e69f00,7.0,-0.38,32.38,0.21097205137213074,0.19721433347548273,0.2234408641713248,regnety_064,regnety_064_classification,RegNetY-64,classification,imagenet,regnety_064,Convolutional,Semantic,Convolutional,,,,,,,
mobilenetv3_large_100_classification,crsa,0.24131208062171935,0.21986902356147767,0.2637834614515304,5,Fig2 architecture,Convolutional,#e69f00,8.0,-0.38,32.38,0.21097205137213074,0.19721433347548273,0.2234408641713248,mobilenetv3_large_100,mobilenetv3_large_100_classification,MobileNet-V3-Large,classification,imagenet,mobilenetv3_large_100,Convolutional,Semantic,Convolutional,,,,,,,
convnext_large_classification,crsa,0.18794186770915983,0.16010193556547164,0.2127598389983177,5,Fig2 architecture,Convolutional,#e69f00,9.0,-0.38,32.38,0.21097205137213074,0.19721433347548273,0.2234408641713248,convnext_large,convnext_large_classification,ConvNext-L,classification,imagenet,convnext_large,Convolutional,Semantic,Convolutional,,,,,,,imagenet
hardcorenas_a_classification,crsa,0.23908447623252868,0.22358897387981413,0.25804101288318637,5,Fig2 architecture,Convolutional,#e69f00,10.0,-0.38,32.38,0.21097205137213074,0.19721433347548273,0.2234408641713248,hardcorenas_a,hardcorenas_a_classification,HardCoreNAS-A,classification,imagenet,hardcorenas_a,Convolutional,Semantic,Convolutional,,,,,,,
dla34_classification,crsa,0.20513241708278657,0.17678613007068633,0.23666715919971468,5,Fig2 architecture,Convolutional,#e69f00,11.0,-0.38,32.38,0.21097205137213074,0.19721433347548273,0.2234408641713248,dla34,dla34_classification,DLA34,classification,imagenet,dla34,Convolutional,Semantic,Convolutional,,,,,,,
semnasnet_100_classification,crsa,0.20761659502983093,0.18353591203689576,0.23829191148281098,5,Fig2 architecture,Convolutional,#e69f00,12.0,-0.38,32.38,0.21097205137213074,0.19721433347548273,0.2234408641713248,semnasnet_100,semnasnet_100_classification,SemNASNet100,classification,imagenet,semnasnet_100,Convolutional,Semantic,Convolutional,,,,,,,
resnet18_classification,crsa,0.21474869489669798,0.20393439650535583,0.22438330471515655,5,Fig2 architecture,Convolutional,#e69f00,13.0,-0.38,32.38,0.21097205137213074,0.19721433347548273,0.2234408641713248,resnet18,resnet18_classification,ResNet18,classification,imagenet,resnet18,Convolutional,Semantic,Convolutional,,,,,,,
nfnet_l0_classification,crsa,0.24664198815822602,0.2108880966901779,0.2823958796262741,5,Fig2 architecture,Convolutional,#e69f00,14.0,-0.38,32.38,0.21097205137213074,0.19721433347548273,0.2234408641713248,nfnet_l0,nfnet_l0_classification,NF-Net-L0,classification,imagenet,nfnet_l0,Convolutional,Semantic,Convolutional,,,,,,,
googlenet_classification,crsa,0.20135390937328337,0.1741854590177536,0.2257774555683136,5,Fig2 architecture,Convolutional,#e69f00,15.0,-0.38,32.38,0.21097205137213074,0.19721433347548273,0.2234408641713248,googlenet,googlenet_classification,GoogleNet,classification,imagenet,googlenet,Convolutional,Semantic,Convolutional,,,,,,,
