model,eval_type,n_subjects_total,n_subjects_test,n_nan_test,mean_test_score,median_test_score,sem_test_score,std_test_score,mean_train_score,median_selected_layer_index,median_selected_layer_fraction,model_class,train_type,train_data,model_source,task_cluster,comparison_group
ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,5,5,0,0.2546901148557663,0.2648446083068848,0.01712961720404719,0.0383029884967994,0.26062783718109134,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,srpr,5,5,0,0.3500572812095796,0.34443228972517026,0.005474276503702572,0.012240854389908828,0.41686278412395134,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,wrsa,5,5,0,0.4486710798740387,0.4716701090335846,0.02737249510383504,0.06120675976595533,0.34718677699565886,9.0,0.75,,,,,,
ResNet50/ClusterFit/16K/RotNet_selfsupervised,crsa,5,5,0,0.19215517103672028,0.19056841731071472,0.00788633195065322,0.017634374334789114,0.19287519693374633,12.0,1.0,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,srpr,5,5,0,0.3342788162213768,0.33302634735322945,0.004197051015441809,0.009384891375562407,0.4012166389408443,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,wrsa,5,5,0,0.3900884473323822,0.4024673581123352,0.02487712599135803,0.0556269448015034,0.32248441517353055,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,crsa,5,5,0,0.28882972478866575,0.31021120846271516,0.01439055659392524,0.03217826277807466,0.3015806269645691,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,srpr,5,5,0,0.3504351428908218,0.34690486192585757,0.0048212610874848886,0.010780667528890772,0.41501995934634095,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,wrsa,5,5,0,0.41485373973846434,0.42862324714660643,0.02758872955355478,0.061690274694605925,0.345437678694725,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/Goyal19_selfsupervised,crsa,5,5,0,0.15373257011175157,0.1471153661608696,0.012413666390704433,0.027757801899619586,0.1737119844555855,3.0,0.25,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,srpr,5,5,0,0.2927750332564504,0.2904640836590713,0.004152049682721498,0.009284265336521704,0.36480296790767425,3.0,0.25,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,wrsa,5,5,0,0.36338374495506287,0.3695932269096375,0.02077822141594437,0.04646151553759355,0.29892473816871645,3.0,0.25,,,,,,
