comparison_id,comparison,eval_type,level,n_obs,n_subjects,n_models,mean,median,std,sem
architecture,CNNs versus Transformers,crsa,Convolutional,165,5,33,0.21097205137213065,0.2139809012413024,0.04636965944147119,0.003609873091631471
architecture,CNNs versus Transformers,crsa,Transformer,105,5,21,0.16785424421585737,0.1622466206550598,0.04865235321546651,0.004747983505209157
architecture,CNNs versus Transformers,wrsa,Convolutional,165,5,33,0.3752125212369543,0.3742776691913604,0.06062239826205594,0.0047194473039549895
architecture,CNNs versus Transformers,wrsa,Transformer,105,5,21,0.3957444869904291,0.4130784690380096,0.06040797293509251,0.00589521451940298
taskonomy_tasks,Taskonomy Encoders,crsa,denoising,5,5,1,0.0871395697630941,0.0781951837241649,0.016827218894977444,0.007525361064287692
taskonomy_tasks,Taskonomy Encoders,crsa,autoencoding,5,5,1,0.042348754368722416,0.0412578456103801,0.007376835230763125,0.0032990210069603386
taskonomy_tasks,Taskonomy Encoders,crsa,class_object,5,5,1,0.13638253867626185,0.1383593812584877,0.023021117571635503,0.010295356761638374
taskonomy_tasks,Taskonomy Encoders,crsa,class_scene,5,5,1,0.10728296443819998,0.1047277674078941,0.01886061957048342,0.008434725491472762
taskonomy_tasks,Taskonomy Encoders,crsa,curvature,5,5,1,0.10430811360478398,0.0987444415688514,0.020314334698247515,0.009084846660592824
taskonomy_tasks,Taskonomy Encoders,crsa,depth_euclidean,5,5,1,0.10374422430992122,0.0995064944028854,0.01663219579990709,0.007438144084735749
taskonomy_tasks,Taskonomy Encoders,crsa,depth_zbuffer,5,5,1,0.12643667116761204,0.122284634411335,0.017233802874194154,0.007707190947505877
taskonomy_tasks,Taskonomy Encoders,crsa,edge_occlusion,5,5,1,0.07800379274412986,0.0748507874086499,0.015749349753886588,0.007043323330221998
taskonomy_tasks,Taskonomy Encoders,crsa,edge_texture,5,5,1,0.20787864118814467,0.1816291093826293,0.038253891829131456,0.01710766050677234
taskonomy_tasks,Taskonomy Encoders,crsa,egomotion,5,5,1,0.09780841752886768,0.0903770923614502,0.019897684718931864,0.00889851512527809
taskonomy_tasks,Taskonomy Encoders,crsa,fixated_pose,5,5,1,0.09495743900537486,0.090077306330204,0.02125741572430468,0.009506605317103638
taskonomy_tasks,Taskonomy Encoders,crsa,inpainting,5,5,1,0.0491696006059646,0.0506413154304027,0.0049393073711413455,0.002208925408727566
taskonomy_tasks,Taskonomy Encoders,crsa,jigsaw,5,5,1,0.13687796920537948,0.1347624510526657,0.025814592575971244,0.01154463676226662
taskonomy_tasks,Taskonomy Encoders,crsa,keypoints2d,5,5,1,0.12897539973258967,0.1160203009843826,0.022211222665632833,0.009933160748747819
taskonomy_tasks,Taskonomy Encoders,crsa,keypoints3d,5,5,1,0.14540348231792444,0.1318371057510376,0.022958206508552247,0.010267222078920186
taskonomy_tasks,Taskonomy Encoders,crsa,nonfixated_pose,5,5,1,0.11307549327611918,0.1052112147212028,0.016360282248397827,0.007316540647700128
taskonomy_tasks,Taskonomy Encoders,crsa,normal,5,5,1,0.10937704011797902,0.1059388816356659,0.010013904844565834,0.004478354390532734
taskonomy_tasks,Taskonomy Encoders,crsa,point_matching,5,5,1,0.1612677466869354,0.1392432406544685,0.03253787758012405,0.014551381222544747
taskonomy_tasks,Taskonomy Encoders,crsa,random_weights,5,5,1,0.07468549706041808,0.0749058984220027,0.017420254092221383,0.00779057446710518
taskonomy_tasks,Taskonomy Encoders,crsa,reshading,5,5,1,0.14324083268642424,0.1306362956762314,0.03215971138155826,0.014382260157187587
taskonomy_tasks,Taskonomy Encoders,crsa,room_layout,5,5,1,0.07238474614918228,0.0728197291493415,0.020564198515520823,0.009196589156700965
taskonomy_tasks,Taskonomy Encoders,crsa,segment_semantic,5,5,1,0.09621856742538507,0.0974776059389114,0.019162850500146288,0.008569887272198588
taskonomy_tasks,Taskonomy Encoders,crsa,segment_unsup25d,5,5,1,0.11336174517869943,0.101671490073204,0.01719022290650737,0.007687701393464899
taskonomy_tasks,Taskonomy Encoders,crsa,segment_unsup2d,5,5,1,0.1817607372999191,0.164487874507904,0.025599052003680546,0.01144824408795638
taskonomy_tasks,Taskonomy Encoders,crsa,vanishing_point,5,5,1,0.0104084915487328,0.0107053820043802,0.003559818926014139,0.0015919994212315817
taskonomy_tasks,Taskonomy Encoders,wrsa,denoising,5,5,1,0.16322107851505274,0.144229981303215,0.03674716685405716,0.01643383261323978
