model,score,rank
ResNet50/BarlowTwins/BS2048_selfsupervised,0.4486710798740387,1
swin_tiny_patch4_window7_224_classification,0.43696133732795717,2
ViT/S/SimCLR_slip,0.431575653553009,3
gmlp_s16_224_classification,0.4295242917537688,4
ViT/L/SLIP_slip,0.4293921840190887,5
convnext_base_in22k_classification,0.42776458740234374,6
ResNet50/PIRL_selfsupervised,0.42715090036392206,7
convnext_base_classification,0.4257887518405914,8
resmlp_big_24_224_in22ft1k_classification,0.425723807811737,9
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,0.42396398782730105,10
levit_128_classification,0.4237458109855652,11
ViT/L/SimCLR_slip,0.4224626290798187,12
ResNet50/SimCLR_selfsupervised,0.42225178718566897,13
hardcorenas_f_classification,0.421831122636795,14
jx_nest_tiny_classification,0.4208257925510407,15
ViT/B/SLIP_slip,0.4183876574039459,16
swin_base_patch4_window7_224_classification,0.41703572392463684,17
crossvit_base_240_classification,0.416688927412033,18
poolformer_s36_classification,0.4150251948833465,19
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,0.41485373973846434,20
mnasnet1_0_classification,0.4108080959320068,21
mixer_l16_224_classification,0.4107754123210906,22
mixer_l16_224_in21k_classification,0.4107754123210906,23
mobilenet_v2_classification,0.41004114627838134,24
ResNet50/MoCoV2/BS256_selfsupervised,0.4092252779006958,25
ViT/B/CLIP_slip,0.4084196734428406,26
pit_b_224_classification,0.4082097911834717,27
pit_ti_224_classification,0.4080490231513977,28
vit_large_patch16_224_classification,0.40667818784713744,29
vit_small_patch16_224_classification,0.40452544331550594,30
ViT/S/SLIP_slip,0.40428697943687436,31
cspresnet50_classification,0.40328723192214966,32
mixer_b16_224_classification,0.4031736505031585,33
mixer_b16_224_in21k_classification,0.4031736505031585,34
vit_base_patch16_224_classification,0.4012416768074035,35
vit_base_patch16_224_in21k_classification,0.40019101977348326,36
ViT/B/SimCLR_slip,0.3998935186862945,37
resnet101_classification,0.3991230964660645,38
deit_base_patch16_224_classification,0.3983660733699798,39
vit_base_patch32_224_classification,0.3978331065177917,40
regnetx_064_classification,0.39729909896850585,41
ViT/S/CLIP_slip,0.3970676505565643,42
gmixer_24_224_classification,0.396292815208435,43
xception_classification,0.3933053660392761,44
resmlp_big_24_224_classification,0.39268435478210445,45
inception_v3_classification,0.3923909592628479,46
coat_lite_tiny_classification,0.39162794649600985,47
ResNet50/ClusterFit/16K/RotNet_selfsupervised,0.3900884473323821,48
tnt_s_patch16_224_classification,0.39007906556129457,49
resnet152_classification,0.38928077459335325,50
vit_small_patch32_224_classification,0.38924093723297115,51
visformer_small_classification,0.3883991646766662,52
nf_resnet50_classification,0.38698837041854856,53
shufflenet_v2_x1_0_classification,0.3861090099811554,54
efficientnet_b3_classification,0.38560923337936404,55
ResNet50/JigSaw/P100_selfsupervised,0.38489468216896056,56
eca_nfnet_l0_classification,0.38415801525115967,57
ViT/L/CLIP_slip,0.38341370582580564,58
resnet50_classification,0.38307967543601984,59
vit_small_patch16_224_in21k_classification,0.3816941726207733,60
googlenet_classification,0.3811385273933411,61
vit_small_patch32_224_in21k_classification,0.3806035983562469,62
nfnet_l0_classification,0.37930787801742555,63
resnet18_classification,0.37813614487648006,64
alexnet_gn_ipcl_imagenet,0.3764307141304016,65
vit_base_patch32_224_in21k_classification,0.37569098234176634,66
swin_large_patch4_window7_224_classification,0.3746483790874481,67
vit_large_patch16_224_in21k_classification,0.3728329068422317,68
semnasnet_100_classification,0.3720802354812622,69
vit_tiny_patch16_224_classification,0.3654583418369293,70
ResNet50/JigSaw/Goyal19_selfsupervised,0.36338374495506287,71
dla34_classification,0.3619518756866455,72
hardcorenas_a_classification,0.36132988214492795,73
convnext_large_classification,0.36107599675655366,74
mobilenetv3_large_100_classification,0.35819184660911557,75
alexnet_gn_ipcl_openimages,0.3548139846324921,76
regnety_064_classification,0.3525672262907028,77
seresnext50_32x4d_classification,0.3523763138055801,78
skresnext50_32x4d_classification,0.3517485809326172,79
convnext_large_in22k_classification,0.34813508927822107,80
swin_base_patch4_window7_224_in22k_classification,0.3470782548189163,81
ghostnet_100_classification,0.3380161297321319,82
xcit_nano_12_p8_224_classification,0.33491733670234675,83
ResNet50/RotNet_selfsupervised,0.3342951667308807,84
alexnet_gn_ipcl_places256,0.32363965868949884,85
squeezenet1_0_classification,0.3223519098758697,86
xcit_nano_12_p16_224_classification,0.32107696592807766,87
swin_large_patch4_window7_224_in22k_classification,0.31970612704753876,88
alexnet_gn_ipcl_vggface2,0.31663259506225583,89
alexnet_classification,0.3150077825784683,90
densenet121_classification,0.3043676301836967,91
vgg16_classification,0.29744818508625026,92
class_scene_taskonomy,0.2764018642902374,93
class_object_taskonomy,0.25917067110538483,94
keypoints3d_taskonomy,0.25646642804145814,95
segment_unsup2d_taskonomy,0.2557613351941108,96
reshading_taskonomy,0.23904549032449723,97
edge_occlusion_taskonomy,0.2366354417800903,98
depth_zbuffer_taskonomy,0.23629027366638175,99
segment_unsup25d_taskonomy,0.23396071732044216,100
segment_semantic_taskonomy,0.23387217730283733,101
depth_euclidean_taskonomy,0.23204870641231534,102
point_matching_taskonomy,0.23031546026468278,103
room_layout_taskonomy,0.22348030924797055,104
fixated_pose_taskonomy,0.2087791326642036,105
egomotion_taskonomy,0.20270873963832853,106
normal_taskonomy,0.2016326668858528,107
edge_texture_taskonomy,0.19425585538148876,108
denoising_taskonomy,0.16322107851505277,109
inpainting_taskonomy,0.15547144174575803,110
nonfixated_pose_taskonomy,0.15499158501625057,111
jigsaw_taskonomy,0.15095822021365163,112
keypoints2d_taskonomy,0.12402498283423477,113
random_weights_taskonomy,0.08104234039783474,114
curvature_taskonomy,0.03736136859282847,115
vanishing_point_taskonomy,0.034867281294427774,116
autoencoding_taskonomy,-0.0048867230117320805,117
