model,eval_type,mean,ci_lo,ci_hi,n_subjects,panel,group_label,group_color,x,x_start,x_end,mean_group,ci_lo_group,ci_hi_group,deepnsd_model,model_string,model_display_name,train_type,train_data,architecture,model_class,task_cluster,compare_architecture,compare_goal_slip,compare_goal_taskonomy_tasks,compare_goal_taskonomy_cluster,compare_diet_ipcl,compare_goal_selfsupervised,compare_goal_contrastive,compare_diet_imagenetsize
vgg16_classification,crsa,0.29825927317142487,0.21563459932804108,0.3796569466590881,5,Fig2 architecture,Convolutional,#e69f00,0.0,-0.38,32.38,0.10261377579970005,0.06916476829388446,0.13627729753789025,vgg16,vgg16_classification,VGG16,classification,imagenet,vgg16,Convolutional,Semantic,Convolutional,,,,,,,
mobilenetv3_large_100_classification,crsa,0.1414961390197277,0.07043225318193436,0.21256002485752107,5,Fig2 architecture,Convolutional,#e69f00,1.0,-0.38,32.38,0.10261377579970005,0.06916476829388446,0.13627729753789025,mobilenetv3_large_100,mobilenetv3_large_100_classification,MobileNet-V3-Large,classification,imagenet,mobilenetv3_large_100,Convolutional,Semantic,Convolutional,,,,,,,
alexnet_classification,crsa,0.17021454423666,0.1167805090546608,0.2164658099412918,5,Fig2 architecture,Convolutional,#e69f00,2.0,-0.38,32.38,0.10261377579970005,0.06916476829388446,0.13627729753789025,alexnet,alexnet_classification,AlexNet,classification,imagenet,alexnet,Convolutional,Semantic,Convolutional,,,,,,,
densenet121_classification,crsa,-0.026694440469145774,-0.10297353640198709,0.03657532595098019,5,Fig2 architecture,Convolutional,#e69f00,3.0,-0.38,32.38,0.10261377579970005,0.06916476829388446,0.13627729753789025,densenet121,densenet121_classification,DenseNet121,classification,imagenet,densenet121,Convolutional,Semantic,Convolutional,,,,,,,
squeezenet1_0_classification,crsa,0.2590514987707138,0.20298413932323456,0.3026928842067719,5,Fig2 architecture,Convolutional,#e69f00,4.0,-0.38,32.38,0.10261377579970005,0.06916476829388446,0.13627729753789025,squeezenet1_0,squeezenet1_0_classification,SqueezeNet1.0,classification,imagenet,squeezenet1_0,Convolutional,Semantic,Convolutional,,,,,,,
semnasnet_100_classification,crsa,0.06516698189079762,-0.006150328740477565,0.1321963205933571,5,Fig2 architecture,Convolutional,#e69f00,5.0,-0.38,32.38,0.10261377579970005,0.06916476829388446,0.13627729753789025,semnasnet_100,semnasnet_100_classification,SemNASNet100,classification,imagenet,semnasnet_100,Convolutional,Semantic,Convolutional,,,,,,,
seresnext50_32x4d_classification,crsa,0.102394799888134,0.08600560128688813,0.12432105541229248,5,Fig2 architecture,Convolutional,#e69f00,6.0,-0.38,32.38,0.10261377579970005,0.06916476829388446,0.13627729753789025,seresnext50_32x4d,seresnext50_32x4d_classification,SEResNext50-32x4D,classification,imagenet,seresnext50_32x4d,Convolutional,Semantic,Convolutional,,,,,,,
cspresnet50_classification,crsa,0.15171931460499763,0.07629319876432418,0.2271454304456711,5,Fig2 architecture,Convolutional,#e69f00,7.0,-0.38,32.38,0.10261377579970005,0.06916476829388446,0.13627729753789025,cspresnet50,cspresnet50_classification,CSP-ResNet50,classification,imagenet,cspresnet50,Convolutional,Semantic,Convolutional,,,,,,,
hardcorenas_a_classification,crsa,0.15309909731149673,0.12018191963434219,0.18398415744304658,5,Fig2 architecture,Convolutional,#e69f00,8.0,-0.38,32.38,0.10261377579970005,0.06916476829388446,0.13627729753789025,hardcorenas_a,hardcorenas_a_classification,HardCoreNAS-A,classification,imagenet,hardcorenas_a,Convolutional,Semantic,Convolutional,,,,,,,
eca_nfnet_l0_classification,crsa,0.1235275810584426,0.048459632880985745,0.19349035620689392,5,Fig2 architecture,Convolutional,#e69f00,9.0,-0.38,32.38,0.10261377579970005,0.06916476829388446,0.13627729753789025,eca_nfnet_l0,eca_nfnet_l0_classification,ECA-NFNeT-L0,classification,imagenet,eca_nfnet_l0,Convolutional,Semantic,Convolutional,,,,,,,
nf_resnet50_classification,crsa,0.17664431482553483,0.10435576885938644,0.24874744415283204,5,Fig2 architecture,Convolutional,#e69f00,10.0,-0.38,32.38,0.10261377579970005,0.06916476829388446,0.13627729753789025,nf_resnet50,nf_resnet50_classification,NF-ResNet50,classification,imagenet,nf_resnet50,Convolutional,Semantic,Convolutional,,,,,,,
gmixer_24_224_classification,crsa,-0.14293048530817032,-0.20422709882259368,-0.08163387179374695,5,Fig2 architecture,Convolutional,#e69f00,11.0,-0.38,32.38,0.10261377579970005,0.06916476829388446,0.13627729753789025,gmixer_24_224,gmixer_24_224_classification,GMixer-24,classification,imagenet,gmixer_24_224,Convolutional,Semantic,Convolutional,,,,,,,
