model,eval_type,n_subjects_total,n_subjects_test,n_nan_test,mean_test_score,median_test_score,sem_test_score,std_test_score,mean_train_score,median_selected_layer_index,median_selected_layer_fraction,model_class,train_type,train_data,model_source,task_cluster,comparison_group
ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,5,5,0,0.2015553370118141,0.24797895550727844,0.033802133985451614,0.0755838693760257,0.2583279609680176,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,srpr,5,5,0,0.39834636492039044,0.3884442083327564,0.011929390420437258,0.0266749279102325,0.42429947316391575,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,wrsa,5,5,0,0.4223116308450699,0.4594407081604004,0.06395608795875633,0.14301016025073493,0.3519727408885956,9.0,0.75,,,,,,
ResNet50/ClusterFit/16K/RotNet_selfsupervised,crsa,5,5,0,0.06415466517210007,0.08740921318531036,0.028042732320671882,0.06270545574385276,0.19029170274734497,12.0,1.0,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,srpr,5,5,0,0.3866671981551616,0.3805123699922043,0.008049894082271658,0.018000110379632714,0.40865456311950393,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,wrsa,5,5,0,0.19792532548308372,0.2256123274564743,0.05681494447133091,0.12704207797577177,0.32718884348869326,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,crsa,5,5,0,0.15926750786602498,0.22690725326538086,0.04726893049401889,0.10569654180833896,0.30171883702278135,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,srpr,5,5,0,0.3947876706293517,0.38879008251620195,0.010132954194087253,0.022657974390870705,0.42260652382931047,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,wrsa,5,5,0,0.21677452698349953,0.26989415287971497,0.05267866826944706,0.11779308321464484,0.3504515767097473,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/Goyal19_selfsupervised,crsa,5,5,0,-0.07580933831632138,-0.062457673251628876,0.035631041076797494,0.0796734299568065,0.17439215183258056,3.0,0.25,,,,,,
