model,score,rank
alexnet_gn_ipcl_vggface2,0.48647719621658325,1
inpainting_taskonomy,0.45413621664047243,2
ResNet50/BarlowTwins/BS2048_selfsupervised,0.4223116308450699,3
keypoints3d_taskonomy,0.4069930374622345,4
alexnet_gn_ipcl_places256,0.3659514427185059,5
segment_unsup2d_taskonomy,0.36168296039104464,6
ViT/L/SimCLR_slip,0.3580605059862137,7
ViT/S/CLIP_slip,0.3473654091358184,8
alexnet_gn_ipcl_openimages,0.34431975781917573,9
ViT/L/CLIP_slip,0.34256711006164553,10
pit_b_224_classification,0.32575114369392394,11
mobilenet_v2_classification,0.32244913578033446,12
edge_texture_taskonomy,0.31850519180297854,13
ViT/B/CLIP_slip,0.31759380400180814,14
ViT/L/SLIP_slip,0.30845268070697784,15
ResNet50/PIRL_selfsupervised,0.30753683447837826,16
coat_lite_tiny_classification,0.3057600766420364,17
vit_small_patch32_224_classification,0.29581954628229135,18
reshading_taskonomy,0.2919797837734222,19
alexnet_gn_ipcl_imagenet,0.2889030158519744,20
ViT/S/SimCLR_slip,0.2851826563477516,21
resnet152_classification,0.2810872137546539,22
mixer_b16_224_in21k_classification,0.2790413111448288,23
mixer_b16_224_classification,0.2790413111448288,24
ResNet50/JigSaw/P100_selfsupervised,0.2781409740447998,25
resmlp_big_24_224_classification,0.2769282029941678,26
pit_ti_224_classification,0.2736515790224075,27
swin_tiny_patch4_window7_224_classification,0.26957067549228664,28
vit_large_patch16_224_classification,0.26722647100687025,29
ViT/S/SLIP_slip,0.26660622507333753,30
ViT/B/SLIP_slip,0.266117937862873,31
gmlp_s16_224_classification,0.263493400812149,32
class_scene_taskonomy,0.2608100593090057,33
levit_128_classification,0.25874531567096704,34
ViT/B/SimCLR_slip,0.25838532000780107,35
swin_base_patch4_window7_224_classification,0.25810942649841306,36
segment_unsup25d_taskonomy,0.2549883812665939,37
convnext_base_classification,0.25337542742490765,38
vit_base_patch32_224_in21k_classification,0.25328034460544585,39
vit_base_patch32_224_classification,0.2520036831498146,40
vit_small_patch16_224_in21k_classification,0.25014111101627345,41
denoising_taskonomy,0.24870076477527614,42
swin_large_patch4_window7_224_classification,0.24839910119771957,43
crossvit_base_240_classification,0.2467246517539024,44
regnetx_064_classification,0.24636611044406892,45
resnet101_classification,0.2451145634055137,46
edge_occlusion_taskonomy,0.24387676417827606,47
convnext_base_in22k_classification,0.2427993685007095,48
vit_small_patch16_224_classification,0.2390519395470619,49
poolformer_s36_classification,0.2376639917492866,50
room_layout_taskonomy,0.2373043909668922,51
xception_classification,0.23472478985786432,52
googlenet_classification,0.23335190415382384,53
vit_small_patch32_224_in21k_classification,0.23296335637569424,54
efficientnet_b3_classification,0.23072940409183498,55
inception_v3_classification,0.2306066483259201,56
mixer_l16_224_in21k_classification,0.2298650220036506,57
mixer_l16_224_classification,0.2298650220036506,58
egomotion_taskonomy,0.22981139868497844,59
vit_base_patch16_224_classification,0.22735275253653525,60
jx_nest_tiny_classification,0.22607930600643159,61
skresnext50_32x4d_classification,0.22563886195421218,62
vit_base_patch16_224_in21k_classification,0.22413462325930592,63
nfnet_l0_classification,0.2240930594503879,64
random_weights_taskonomy,0.2236767172813415,65
resmlp_big_24_224_in22ft1k_classification,0.22180305197834965,66
ResNet50/JigSaw/Goyal19_selfsupervised,0.22146300673484798,67
shufflenet_v2_x1_0_classification,0.22137071862816807,68
resnet18_classification,0.22048418819904322,69
mnasnet1_0_classification,0.21980192512273788,70
point_matching_taskonomy,0.21887496411800383,71
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,0.21677452698349947,72
vit_large_patch16_224_in21k_classification,0.21574995815753933,73
convnext_large_in22k_classification,0.21495359987020488,74
hardcorenas_f_classification,0.21094585210084915,75
normal_taskonomy,0.20977016985416413,76
regnety_064_classification,0.207512816786766,77
resnet50_classification,0.20547556504607195,78
ResNet50/SimCLR_selfsupervised,0.2049212016165256,79
convnext_large_classification,0.2039709433913231,80
ghostnet_100_classification,0.20053600966930385,81
dla34_classification,0.19997605383396147,82
depth_zbuffer_taskonomy,0.19916936457157128,83
ResNet50/ClusterFit/16K/RotNet_selfsupervised,0.19792532548308367,84
deit_base_patch16_224_classification,0.1925922930240631,85
gmixer_24_224_classification,0.19241529703140253,86
visformer_small_classification,0.1889901533722877,87
vit_tiny_patch16_224_classification,0.186175861954689,88
nf_resnet50_classification,0.18402305543422695,89
eca_nfnet_l0_classification,0.1837014246731996,90
class_object_taskonomy,0.1809192821383476,91
hardcorenas_a_classification,0.17630304917693135,92
cspresnet50_classification,0.1737745184451341,93
xcit_nano_12_p16_224_classification,0.17316551301628347,94
swin_base_patch4_window7_224_in22k_classification,0.169297469779849,95
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,0.1677887327969074,96
seresnext50_32x4d_classification,0.16760063394904134,97
tnt_s_patch16_224_classification,0.16472831070423122,98
ResNet50/MoCoV2/BS256_selfsupervised,0.16085435301065437,99
segment_semantic_taskonomy,0.1599891141057014,100
depth_euclidean_taskonomy,0.15712020471692084,101
semnasnet_100_classification,0.1562819771468639,102
squeezenet1_0_classification,0.15615503787994384,103
swin_large_patch4_window7_224_in22k_classification,0.1550980099709704,104
densenet121_classification,0.14902504831552504,105
alexnet_classification,0.14721282273530956,106
mobilenetv3_large_100_classification,0.12542407587170595,107
fixated_pose_taskonomy,0.12522066980600355,108
xcit_nano_12_p8_224_classification,0.11924404895398762,109
jigsaw_taskonomy,0.11728816926479335,110
vgg16_classification,0.09540897589176892,111
autoencoding_taskonomy,0.0930990874767303,112
ResNet50/RotNet_selfsupervised,0.08626746125519275,113
keypoints2d_taskonomy,0.08563388586044306,114
curvature_taskonomy,0.05000836206600068,115
nonfixated_pose_taskonomy,0.036530882213264705,116
vanishing_point_taskonomy,0.010943360207602419,117
