model,eval_type,mean,ci_lo,ci_hi,n_subjects,panel,group_label,group_color,x,x_start,x_end,mean_group,ci_lo_group,ci_hi_group,deepnsd_model,model_string,model_display_name,train_type,train_data,architecture,model_class,task_cluster,compare_architecture,compare_goal_slip,compare_goal_taskonomy_tasks,compare_goal_taskonomy_cluster,compare_diet_ipcl,compare_goal_selfsupervised,compare_goal_contrastive,compare_diet_imagenetsize
vgg16_classification,crsa,0.27306429445743563,0.24788816273212433,0.2960474967956543,5,Fig2 architecture,Convolutional,#e69f00,0.0,-0.38,32.38,0.22136201826911983,0.20703917046162215,0.23410160641891486,vgg16,vgg16_classification,VGG16,classification,imagenet,vgg16,Convolutional,Semantic,Convolutional,,,,,,,
densenet121_classification,crsa,0.1795179843902588,0.15806953012943267,0.20367754399776458,5,Fig2 architecture,Convolutional,#e69f00,1.0,-0.38,32.38,0.22136201826911983,0.20703917046162215,0.23410160641891486,densenet121,densenet121_classification,DenseNet121,classification,imagenet,densenet121,Convolutional,Semantic,Convolutional,,,,,,,
alexnet_classification,crsa,0.2467720627784729,0.23161661326885224,0.2616353571414948,5,Fig2 architecture,Convolutional,#e69f00,2.0,-0.38,32.38,0.22136201826911983,0.20703917046162215,0.23410160641891486,alexnet,alexnet_classification,AlexNet,classification,imagenet,alexnet,Convolutional,Semantic,Convolutional,,,,,,,
squeezenet1_0_classification,crsa,0.25633926689624786,0.23059168756008147,0.27921229004859927,5,Fig2 architecture,Convolutional,#e69f00,3.0,-0.38,32.38,0.22136201826911983,0.20703917046162215,0.23410160641891486,squeezenet1_0,squeezenet1_0_classification,SqueezeNet1.0,classification,imagenet,squeezenet1_0,Convolutional,Semantic,Convolutional,,,,,,,
semnasnet_100_classification,crsa,0.26006166636943817,0.23089722394943238,0.29587575793266296,5,Fig2 architecture,Convolutional,#e69f00,4.0,-0.38,32.38,0.22136201826911983,0.20703917046162215,0.23410160641891486,semnasnet_100,semnasnet_100_classification,SemNASNet100,classification,imagenet,semnasnet_100,Convolutional,Semantic,Convolutional,,,,,,,
mobilenetv3_large_100_classification,crsa,0.22567432522773742,0.19687101244926453,0.2529671132564545,5,Fig2 architecture,Convolutional,#e69f00,5.0,-0.38,32.38,0.22136201826911983,0.20703917046162215,0.23410160641891486,mobilenetv3_large_100,mobilenetv3_large_100_classification,MobileNet-V3-Large,classification,imagenet,mobilenetv3_large_100,Convolutional,Semantic,Convolutional,,,,,,,
ghostnet_100_classification,crsa,0.16950685977935792,0.14334730803966522,0.19655672013759612,5,Fig2 architecture,Convolutional,#e69f00,6.0,-0.38,32.38,0.22136201826911983,0.20703917046162215,0.23410160641891486,ghostnet_100,ghostnet_100_classification,GhostNet100,classification,imagenet,ghostnet_100,Convolutional,Semantic,Convolutional,,,,,,,
hardcorenas_a_classification,crsa,0.262722373008728,0.24392287135124208,0.28412669599056245,5,Fig2 architecture,Convolutional,#e69f00,7.0,-0.38,32.38,0.22136201826911983,0.20703917046162215,0.23410160641891486,hardcorenas_a,hardcorenas_a_classification,HardCoreNAS-A,classification,imagenet,hardcorenas_a,Convolutional,Semantic,Convolutional,,,,,,,
dla34_classification,crsa,0.20845725238323212,0.19067271649837494,0.22979779541492462,5,Fig2 architecture,Convolutional,#e69f00,8.0,-0.38,32.38,0.22136201826911983,0.20703917046162215,0.23410160641891486,dla34,dla34_classification,DLA34,classification,imagenet,dla34,Convolutional,Semantic,Convolutional,,,,,,,
skresnext50_32x4d_classification,crsa,0.2373461365699768,0.21507664322853087,0.2650805860757828,5,Fig2 architecture,Convolutional,#e69f00,9.0,-0.38,32.38,0.22136201826911983,0.20703917046162215,0.23410160641891486,skresnext50_32x4d,skresnext50_32x4d_classification,SKResNext50-32x4D,classification,imagenet,skresnext50_32x4d,Convolutional,Semantic,Convolutional,,,,,,,
seresnext50_32x4d_classification,crsa,0.20704438388347626,0.18479477763175964,0.22710145115852357,5,Fig2 architecture,Convolutional,#e69f00,10.0,-0.38,32.38,0.22136201826911983,0.20703917046162215,0.23410160641891486,seresnext50_32x4d,seresnext50_32x4d_classification,SEResNext50-32x4D,classification,imagenet,seresnext50_32x4d,Convolutional,Semantic,Convolutional,,,,,,,
resnet18_classification,crsa,0.23966639637947082,0.22551407516002656,0.2538187175989151,5,Fig2 architecture,Convolutional,#e69f00,11.0,-0.38,32.38,0.22136201826911983,0.20703917046162215,0.23410160641891486,resnet18,resnet18_classification,ResNet18,classification,imagenet,resnet18,Convolutional,Semantic,Convolutional,,,,,,,
regnety_064_classification,crsa,0.21504972577095033,0.18531888723373413,0.251486212015152,5,Fig2 architecture,Convolutional,#e69f00,12.0,-0.38,32.38,0.22136201826911983,0.20703917046162215,0.23410160641891486,regnety_064,regnety_064_classification,RegNetY-64,classification,imagenet,regnety_064,Convolutional,Semantic,Convolutional,,,,,,,
efficientnet_b3_classification,crsa,0.2135435402393341,0.18280068337917327,0.24208303093910216,5,Fig2 architecture,Convolutional,#e69f00,13.0,-0.38,32.38,0.22136201826911983,0.20703917046162215,0.23410160641891486,efficientnet_b3,efficientnet_b3_classification,EfficientNet-B3,classification,imagenet,efficientnet_b3,Convolutional,Semantic,Convolutional,,,,,,,
googlenet_classification,crsa,0.23753677904605866,0.20161446034908295,0.2729446828365326,5,Fig2 architecture,Convolutional,#e69f00,14.0,-0.38,32.38,0.22136201826911983,0.20703917046162215,0.23410160641891486,googlenet,googlenet_classification,GoogleNet,classification,imagenet,googlenet,Convolutional,Semantic,Convolutional,,,,,,,
convnext_large_classification,crsa,0.18662324249744416,0.15815337598323823,0.21509310901165007,5,Fig2 architecture,Convolutional,#e69f00,15.0,-0.38,32.38,0.22136201826911983,0.20703917046162215,0.23410160641891486,convnext_large,convnext_large_classification,ConvNext-L,classification,imagenet,convnext_large,Convolutional,Semantic,Convolutional,,,,,,,imagenet
regnetx_064_classification,crsa,0.23291447162628173,0.2072081595659256,0.2565582603216171,5,Fig2 architecture,Convolutional,#e69f00,16.0,-0.38,32.38,0.22136201826911983,0.20703917046162215,0.23410160641891486,regnetx_064,regnetx_064_classification,RegNetX-64,classification,imagenet,regnetx_064,Convolutional,Semantic,Convolutional,,,,,,,
nfnet_l0_classification,crsa,0.26757104992866515,0.23191360235214234,0.303228497505188,5,Fig2 architecture,Convolutional,#e69f00,17.0,-0.38,32.38,0.22136201826911983,0.20703917046162215,0.23410160641891486,nfnet_l0,nfnet_l0_classification,NF-Net-L0,classification,imagenet,nfnet_l0,Convolutional,Semantic,Convolutional,,,,,,,
shufflenet_v2_x1_0_classification,crsa,0.26386748552322387,0.23794739246368407,0.29617489576339723,5,Fig2 architecture,Convolutional,#e69f00,18.0,-0.38,32.38,0.22136201826911983,0.20703917046162215,0.23410160641891486,shufflenet_v2_x1_0,shufflenet_v2_x1_0_classification,ShuffleNet-V2-x1.0,classification,imagenet,shufflenet_v2_x1_0,Convolutional,Semantic,Convolutional,,,,,,,
eca_nfnet_l0_classification,crsa,0.22020827531814574,0.1969065934419632,0.23989706933498384,5,Fig2 architecture,Convolutional,#e69f00,19.0,-0.38,32.38,0.22136201826911983,0.20703917046162215,0.23410160641891486,eca_nfnet_l0,eca_nfnet_l0_classification,ECA-NFNeT-L0,classification,imagenet,eca_nfnet_l0,Convolutional,Semantic,Convolutional,,,,,,,
resnet50_classification,crsa,0.23692651093006134,0.2089114099740982,0.2631152868270874,5,Fig2 architecture,Convolutional,#e69f00,20.0,-0.38,32.38,0.22136201826911983,0.20703917046162215,0.23410160641891486,resnet50,resnet50_classification,ResNet50,classification,imagenet,resnet50,Convolutional,Semantic,Convolutional,,,,,,,
resnet152_classification,crsa,0.1815351665019989,0.15426112711429596,0.21703309416770936,5,Fig2 architecture,Convolutional,#e69f00,21.0,-0.38,32.38,0.22136201826911983,0.20703917046162215,0.23410160641891486,resnet152,resnet152_classification,ResNet152,classification,imagenet,resnet152,Convolutional,Semantic,Convolutional,,,,,,,
xception_classification,crsa,0.2143533170223236,0.18925836086273193,0.24213008880615233,5,Fig2 architecture,Convolutional,#e69f00,22.0,-0.38,32.38,0.22136201826911983,0.20703917046162215,0.23410160641891486,xception,xception_classification,XCeption,classification,imagenet,xception,Convolutional,Semantic,Convolutional,,,,,,,
resnet101_classification,crsa,0.24046804308891295,0.2130173623561859,0.2644654631614685,5,Fig2 architecture,Convolutional,#e69f00,23.0,-0.38,32.38,0.22136201826911983,0.20703917046162215,0.23410160641891486,resnet101,resnet101_classification,ResNet101,classification,imagenet,resnet101,Convolutional,Semantic,Convolutional,,,,,,,
inception_v3_classification,crsa,0.22700046598911286,0.20107847452163696,0.2576903849840164,5,Fig2 architecture,Convolutional,#e69f00,24.0,-0.38,32.38,0.22136201826911983,0.20703917046162215,0.23410160641891486,inception_v3,inception_v3_classification,Inception-V3,classification,imagenet,inception_v3,Convolutional,Semantic,Convolutional,,,,,,,
nf_resnet50_classification,crsa,0.2467511624097824,0.2237906664609909,0.2697116583585739,5,Fig2 architecture,Convolutional,#e69f00,25.0,-0.38,32.38,0.22136201826911983,0.20703917046162215,0.23410160641891486,nf_resnet50,nf_resnet50_classification,NF-ResNet50,classification,imagenet,nf_resnet50,Convolutional,Semantic,Convolutional,,,,,,,
gmixer_24_224_classification,crsa,0.08697674423456192,0.05934912003576756,0.11506046056747436,5,Fig2 architecture,Convolutional,#e69f00,26.0,-0.38,32.38,0.22136201826911983,0.20703917046162215,0.23410160641891486,gmixer_24_224,gmixer_24_224_classification,GMixer-24,classification,imagenet,gmixer_24_224,Convolutional,Semantic,Convolutional,,,,,,,
cspresnet50_classification,crsa,0.261085769534111,0.22605449259281157,0.2949095606803894,5,Fig2 architecture,Convolutional,#e69f00,27.0,-0.38,32.38,0.22136201826911983,0.20703917046162215,0.23410160641891486,cspresnet50,cspresnet50_classification,CSP-ResNet50,classification,imagenet,cspresnet50,Convolutional,Semantic,Convolutional,,,,,,,
mobilenet_v2_classification,crsa,0.1677112579345703,0.15434308350086212,0.18096382319927215,5,Fig2 architecture,Convolutional,#e69f00,28.0,-0.38,32.38,0.22136201826911983,0.20703917046162215,0.23410160641891486,mobilenet_v2,mobilenet_v2_classification,MobileNet-V2,classification,imagenet,mobilenet_v2,Convolutional,Semantic,Convolutional,,,,,,,
