model,eval_type,n_subjects_total,n_subjects_test,n_nan_test,mean_test_score,median_test_score,sem_test_score,std_test_score,mean_train_score,median_selected_layer_index,median_selected_layer_fraction,model_class,train_type,train_data,model_source,task_cluster,comparison_group
ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,5,5,0,0.26599332094192507,0.27101200819015503,0.026124254668740386,0.05841560930081975,0.2569349378347397,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,srpr,5,5,0,0.4201851936521777,0.4185695264255212,0.0051282113758344995,0.011467029239353664,0.42088617889458463,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,wrsa,5,5,0,0.5206887662410736,0.5227179527282715,0.02591898215592705,0.057956606008256945,0.35373942255973817,9.0,0.75,,,,,,
ResNet50/ClusterFit/16K/RotNet_selfsupervised,crsa,5,5,0,0.1907536953687668,0.19542177021503448,0.012563489415646552,0.028092816367984802,0.19024283289909363,12.0,1.0,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,srpr,5,5,0,0.4041020683479499,0.4045549967840107,0.005550934358940018,0.012412266565229096,0.4052152166805184,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,wrsa,5,5,0,0.45572165846824647,0.4483969509601593,0.02370309646604435,0.053001734975310195,0.3282688736915588,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,crsa,5,5,0,0.2965803235769272,0.3260484039783478,0.020982271314812017,0.04691778498226356,0.3034923136234283,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,srpr,5,5,0,0.4185477499564965,0.4177809148971133,0.00573614012171893,0.012826399240627446,0.41895549266460613,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,wrsa,5,5,0,0.49113876819610597,0.4795074462890625,0.02541218387211772,0.05682337059477905,0.3519269645214081,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/Goyal19_selfsupervised,crsa,5,5,0,0.16547825038433076,0.15976999700069427,0.00966006121727611,0.021600553548638747,0.17688346803188323,3.0,0.25,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,srpr,5,5,0,0.36840273650128336,0.3700972545483197,0.006300573540563938,0.014088510733937503,0.3685703696906608,3.0,0.25,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,wrsa,5,5,0,0.4386660814285278,0.4189547896385193,0.019736626133429656,0.044132437680847555,0.3019552767276764,3.0,0.25,,,,,,
ResNet50/JigSaw/P100_selfsupervised,crsa,5,5,0,0.18138296902179718,0.1929926872253418,0.011961873012004779,0.02674756119306285,0.19899900257587433,11.0,0.9166666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/P100_selfsupervised,srpr,5,5,0,0.36703277906174286,0.36989429122516826,0.005972171822895082,0.013354182169302242,0.3709864603566964,11.0,0.9166666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/P100_selfsupervised,wrsa,5,5,0,0.43844693899154663,0.43363523483276367,0.012580225219805386,0.02813023876374208,0.29795596599578855,0.0,0.0,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/MoCoV2/BS256_selfsupervised,crsa,5,5,0,0.22306110262870787,0.23381684720516205,0.01546519762908724,0.03458123318410765,0.22279456853866578,9.0,0.75,,,,,,
ResNet50/MoCoV2/BS256_selfsupervised,srpr,5,5,0,0.41300243493169414,0.41646981214512324,0.005420849597965134,0.012121388196852446,0.41504086293148107,9.0,0.75,,,,,,
ResNet50/MoCoV2/BS256_selfsupervised,wrsa,5,5,0,0.47228228449821474,0.43872326612472534,0.022076073261483517,0.049363600488942644,0.34853109121322634,12.0,1.0,,,,,,
ResNet50/PIRL_selfsupervised,crsa,5,5,0,0.2591837704181671,0.2653396725654602,0.01818132701002547,0.040654683115569946,0.27184517979621886,12.0,1.0,,,,,,
ResNet50/PIRL_selfsupervised,srpr,5,5,0,0.4093262640063916,0.40719762941811594,0.005161052167960175,0.011540463482981623,0.40922536608633153,9.0,0.75,,,,,,
ResNet50/PIRL_selfsupervised,wrsa,5,5,0,0.4958163022994995,0.4863393306732178,0.02315777002081753,0.05178234797385473,0.34691829681396485,9.0,0.75,,,,,,
ResNet50/RotNet_selfsupervised,crsa,5,5,0,0.1932470828294754,0.18514829874038696,0.008909389712550531,0.019922001035300303,0.19419563114643096,4.0,0.3333333333333333,,,,,,
ResNet50/RotNet_selfsupervised,srpr,5,5,0,0.37625630783092107,0.38367096881244195,0.007670695605921577,0.01715219680954959,0.37744182882160626,9.0,0.75,,,,,,
ResNet50/RotNet_selfsupervised,wrsa,5,5,0,0.4242351591587067,0.4175170361995697,0.02130177366350634,0.04763221395291491,0.317972868680954,12.0,1.0,,,,,,
