subject,model,eval_type,region,model_layer,model_layer_index,test_score,train_score,max_model_layer_index,selected_layer_fraction,model_class,train_type,train_data,model_source,task_cluster,comparison_group
sub-01,ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,otc,Conv2d-49,9,0.3019183278083801,0.275099515914917,12,0.75,,,,,,
sub-01,ResNet50/BarlowTwins/BS2048_selfsupervised,srpr,otc,Conv2d-49,9,0.41299660180907005,0.40311618757142575,12,0.75,,,,,,
sub-01,ResNet50/BarlowTwins/BS2048_selfsupervised,wrsa,otc,Conv2d-49,9,0.5479601621627808,0.31880268454551697,12,0.75,,,,,,
sub-01,ResNet50/ClusterFit/16K/RotNet_selfsupervised,crsa,otc,ReLU-49,12,0.20331436395645142,0.20316293835639954,12,1.0,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
sub-01,ResNet50/ClusterFit/16K/RotNet_selfsupervised,srpr,otc,Conv2d-49,9,0.39189405003042527,0.3865439588762093,12,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
sub-01,ResNet50/ClusterFit/16K/RotNet_selfsupervised,wrsa,otc,BatchNorm2d-51,5,0.4558883011341095,0.2888258695602417,12,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
sub-01,ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,crsa,otc,BatchNorm2d-51,5,0.3628115952014923,0.33119499683380127,12,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
sub-01,ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,srpr,otc,Conv2d-49,9,0.40826592855203,0.40262614157242954,12,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
sub-01,ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,wrsa,otc,Conv2d-49,9,0.490969181060791,0.3099694550037384,12,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
sub-01,ResNet50/JigSaw/Goyal19_selfsupervised,crsa,otc,Conv2d-30,6,0.16448023915290833,0.16688068211078644,12,0.5,,,,,,
sub-01,ResNet50/JigSaw/Goyal19_selfsupervised,srpr,otc,BatchNorm2d-39,3,0.3585731327516667,0.3480707922423635,12,0.25,,,,,,
sub-01,ResNet50/JigSaw/Goyal19_selfsupervised,wrsa,otc,BatchNorm2d-39,3,0.45373502373695374,0.27192988991737366,12,0.25,,,,,,
sub-01,ResNet50/JigSaw/P100_selfsupervised,crsa,otc,Conv2d-49,9,0.2732272446155548,0.2148444652557373,12,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
sub-01,ResNet50/JigSaw/P100_selfsupervised,srpr,otc,Conv2d-44,8,0.3558819098359296,0.3521384190694191,12,0.6666666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
sub-01,ResNet50/JigSaw/P100_selfsupervised,wrsa,otc,Conv2d-44,8,0.4819086492061615,0.2669433653354645,12,0.6666666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
sub-01,ResNet50/MoCoV2/BS256_selfsupervised,crsa,otc,Conv2d-49,9,0.2611903250217438,0.23415043950080872,12,0.75,,,,,,
sub-01,ResNet50/MoCoV2/BS256_selfsupervised,srpr,otc,Conv2d-49,9,0.4026809403940105,0.3967406036033365,12,0.75,,,,,,
sub-01,ResNet50/MoCoV2/BS256_selfsupervised,wrsa,otc,Conv2d-49,9,0.50734943151474,0.3074926435947418,12,0.75,,,,,,
sub-01,ResNet50/PIRL_selfsupervised,crsa,otc,ReLU-49,12,0.31426069140434265,0.28790441155433655,12,1.0,,,,,,
sub-01,ResNet50/PIRL_selfsupervised,srpr,otc,Conv2d-49,9,0.4008899111462451,0.39549936222493215,12,0.75,,,,,,
sub-01,ResNet50/PIRL_selfsupervised,wrsa,otc,Conv2d-49,9,0.5054222345352173,0.31304290890693665,12,0.75,,,,,,
sub-01,ResNet50/RotNet_selfsupervised,crsa,otc,BatchNorm2d-46,4,0.18918998539447784,0.17785540223121643,12,0.3333333333333333,,,,,,
sub-01,ResNet50/RotNet_selfsupervised,srpr,otc,Conv2d-49,9,0.3571276213338107,0.3557961735951582,12,0.75,,,,,,
sub-01,ResNet50/RotNet_selfsupervised,wrsa,otc,ReLU-49,12,0.3974069058895111,0.28543925285339355,12,1.0,,,,,,
sub-01,ResNet50/SimCLR_selfsupervised,crsa,otc,BatchNorm2d-51,5,0.2965145707130432,0.27219313383102417,12,0.4166666666666667,,,,,,
sub-01,ResNet50/SimCLR_selfsupervised,srpr,otc,Conv2d-49,9,0.4075622951868542,0.40380539937675697,12,0.75,,,,,,
sub-01,ResNet50/SimCLR_selfsupervised,wrsa,otc,Conv2d-49,9,0.4929836392402649,0.3146444261074066,12,0.75,,,,,,
sub-01,ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,crsa,otc,BatchNorm2d-51,5,0.2337769716978073,0.21792510151863098,12,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
sub-01,ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,srpr,otc,Conv2d-49,9,0.4097785213590339,0.4012287249330809,12,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
sub-01,ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,wrsa,otc,Conv2d-49,9,0.5138686895370483,0.3105696737766266,12,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
sub-01,ViT/B/CLIP_slip,crsa,otc,LayerNorm-13,0,0.02519582398235798,0.02299332618713379,12,0.0,,,,,,
sub-01,ViT/B/CLIP_slip,srpr,otc,Linear-27,7,0.3967315120182437,0.38388136062598854,12,0.5833333333333334,,,,,,
sub-01,ViT/B/CLIP_slip,wrsa,otc,LayerNorm-23,5,0.4891021251678467,0.2931268811225891,12,0.4166666666666667,,,,,,
sub-01,ViT/B/SLIP_slip,crsa,otc,Linear-27,7,0.09302487224340439,0.09486676752567291,12,0.5833333333333334,,,,,,
sub-01,ViT/B/SLIP_slip,srpr,otc,LayerNorm-25,6,0.40533164919123915,0.38960813204678185,12,0.5,,,,,,
sub-01,ViT/B/SLIP_slip,wrsa,otc,LayerNorm-25,6,0.5255998373031616,0.3020898103713989,12,0.5,,,,,,
sub-01,ViT/B/SimCLR_slip,crsa,otc,Linear-43,11,0.13921327888965607,0.11579311639070511,12,0.9166666666666666,,,,,,
sub-01,ViT/B/SimCLR_slip,srpr,otc,LayerNorm-25,6,0.3966307272179501,0.3855696127251466,12,0.5,,,,,,
sub-01,ViT/B/SimCLR_slip,wrsa,otc,LayerNorm-25,6,0.48528799414634705,0.29366788268089294,12,0.5,,,,,,
sub-01,ViT/L/CLIP_slip,crsa,otc,Linear-58,7,0.09230668842792511,0.09427592158317566,11,0.6363636363636364,,,,,,
sub-01,ViT/L/CLIP_slip,srpr,otc,LayerNorm-43,4,0.38504627244542816,0.37778996788429337,11,0.36363636363636365,,,,,,
sub-01,ViT/L/CLIP_slip,wrsa,otc,LayerNorm-43,4,0.48221832513809204,0.29023638367652893,11,0.36363636363636365,,,,,,
sub-01,ViT/L/SLIP_slip,crsa,otc,Linear-94,11,0.21302323043346405,0.19701524078845978,11,1.0,,,,,,
sub-01,ViT/L/SLIP_slip,srpr,otc,Linear-94,11,0.3999559701228776,0.39548356024113923,11,1.0,,,,,,
sub-01,ViT/L/SLIP_slip,wrsa,otc,Linear-94,11,0.48597386479377747,0.30647337436676025,11,1.0,,,,,,
sub-01,ViT/L/SimCLR_slip,crsa,otc,Linear-94,11,0.1534351110458374,0.15381014347076416,11,1.0,,,,,,
sub-01,ViT/L/SimCLR_slip,srpr,otc,Linear-89,10,0.394820427695131,0.38420913656527655,11,0.9090909090909091,,,,,,
sub-01,ViT/L/SimCLR_slip,wrsa,otc,Linear-89,10,0.5282213687896729,0.2951321005821228,11,0.9090909090909091,,,,,,
sub-01,ViT/S/CLIP_slip,crsa,otc,LayerNorm-17,2,0.08664945513010025,0.0852682963013649,12,0.16666666666666666,,,,,,
sub-01,ViT/S/CLIP_slip,srpr,otc,Linear-31,8,0.3911311899148838,0.3780307823694802,12,0.6666666666666666,,,,,,
sub-01,ViT/S/CLIP_slip,wrsa,otc,LayerNorm-23,5,0.4885885417461395,0.2914000153541565,12,0.4166666666666667,,,,,,
sub-01,ViT/S/SLIP_slip,crsa,otc,Linear-31,8,0.1307634711265564,0.1252644956111908,12,0.6666666666666666,,,,,,
sub-01,ViT/S/SLIP_slip,srpr,otc,LayerNorm-21,4,0.3962482454250191,0.3869798683288223,12,0.3333333333333333,,,,,,
sub-01,ViT/S/SLIP_slip,wrsa,otc,LayerNorm-25,6,0.5145210027694702,0.295261412858963,12,0.5,,,,,,
sub-01,ViT/S/SimCLR_slip,crsa,otc,LayerNorm-25,6,0.18964728713035583,0.16177453100681305,12,0.5,,,,,,
sub-01,ViT/S/SimCLR_slip,srpr,otc,Linear-43,11,0.400696967683142,0.38641982918927403,12,0.9166666666666666,,,,,,
sub-01,ViT/S/SimCLR_slip,wrsa,otc,Linear-43,11,0.5349876880645752,0.2960440516471863,12,0.9166666666666666,,,,,,
sub-01,alexnet_classification,crsa,otc,MaxPool2d-3,4,0.27114927768707275,0.26130491495132446,8,0.5,,,,,,
sub-01,alexnet_classification,srpr,otc,Linear-1,1,0.36490837354245154,0.36405587786241317,8,0.125,,,,,,
sub-01,alexnet_classification,wrsa,otc,ReLU-7,8,0.37698420882225037,0.2728056311607361,8,1.0,,,,,,
sub-01,alexnet_gn_ipcl_imagenet,crsa,otc,GroupNorm-5,3,0.334764689207077,0.31677907705307007,12,0.25,Convolutional,ipcl,imagenet,open_ipcl,Self-Supervised,input_ipcl
sub-01,alexnet_gn_ipcl_imagenet,srpr,otc,ReLU-6,11,0.3530151249562102,0.3521581996518574,12,0.9166666666666666,Convolutional,ipcl,imagenet,open_ipcl,Self-Supervised,input_ipcl
sub-01,alexnet_gn_ipcl_imagenet,wrsa,otc,Linear-1,4,0.4977182149887085,0.2645993232727051,12,0.3333333333333333,Convolutional,ipcl,imagenet,open_ipcl,Self-Supervised,input_ipcl
sub-01,alexnet_gn_ipcl_openimages,crsa,otc,GroupNorm-5,3,0.3174646198749542,0.2951957881450653,12,0.25,Convolutional,ipcl,openimages,open_ipcl,Self-Supervised,input_ipcl
sub-01,alexnet_gn_ipcl_openimages,srpr,otc,BatchNorm1d-1,0,0.3343087659299967,0.33618780026529393,12,0.0,Convolutional,ipcl,openimages,open_ipcl,Self-Supervised,input_ipcl
sub-01,alexnet_gn_ipcl_openimages,wrsa,otc,Linear-1,4,0.4592922329902649,0.24876558780670166,12,0.3333333333333333,Convolutional,ipcl,openimages,open_ipcl,Self-Supervised,input_ipcl
sub-01,alexnet_gn_ipcl_places256,crsa,otc,GroupNorm-5,3,0.24383050203323364,0.23221148550510406,12,0.25,Convolutional,ipcl,places256,open_ipcl,Self-Supervised,input_ipcl
sub-01,alexnet_gn_ipcl_places256,srpr,otc,MaxPool2d-3,7,0.3170101773478896,0.32208673908766355,12,0.5833333333333334,Convolutional,ipcl,places256,open_ipcl,Self-Supervised,input_ipcl
sub-01,alexnet_gn_ipcl_places256,wrsa,otc,Linear-1,4,0.42229196429252625,0.22790542244911194,12,0.3333333333333333,Convolutional,ipcl,places256,open_ipcl,Self-Supervised,input_ipcl
sub-01,alexnet_gn_ipcl_vggface2,crsa,otc,ReLU-4,9,0.35877394676208496,0.29860320687294006,12,0.75,Convolutional,ipcl,vggface2,open_ipcl,Self-Supervised,input_ipcl
sub-01,alexnet_gn_ipcl_vggface2,srpr,otc,ReLU-6,11,0.26241398065833105,0.2635636015004484,12,0.9166666666666666,Convolutional,ipcl,vggface2,open_ipcl,Self-Supervised,input_ipcl
sub-01,alexnet_gn_ipcl_vggface2,wrsa,otc,ReLU-4,9,0.43782344460487366,0.18984360992908478,12,0.75,Convolutional,ipcl,vggface2,open_ipcl,Self-Supervised,input_ipcl
sub-01,autoencoding_taskonomy,crsa,otc,Conv2d-28,3,0.03310258686542511,0.04207315668463707,10,0.3,Convolutional,taskonomy,taskonomy,taskonomy,2D,task_taskonomy
sub-01,autoencoding_taskonomy,srpr,otc,Conv2d-28,3,0.14383122676472282,0.14024737381302943,10,0.3,Convolutional,taskonomy,taskonomy,taskonomy,2D,task_taskonomy
sub-01,autoencoding_taskonomy,wrsa,otc,ReLU-45,10,0.001028478262014687,0.07312613725662231,10,1.0,Convolutional,taskonomy,taskonomy,taskonomy,2D,task_taskonomy
sub-01,class_object_taskonomy,crsa,otc,Conv2d-28,3,0.15658695995807648,0.14384198188781738,10,0.3,Convolutional,taskonomy,taskonomy,taskonomy,Semantic,task_taskonomy
sub-01,class_object_taskonomy,srpr,otc,Conv2d-44,5,0.30957959407832303,0.30958406005280625,10,0.5,Convolutional,taskonomy,taskonomy,taskonomy,Semantic,task_taskonomy
sub-01,class_object_taskonomy,wrsa,otc,Conv2d-47,6,0.386855810880661,0.1994704157114029,10,0.6,Convolutional,taskonomy,taskonomy,taskonomy,Semantic,task_taskonomy
