model,eval_type,mean,ci_lo,ci_hi,n_subjects,panel,group_label,group_color,x,x_start,x_end,mean_group,ci_lo_group,ci_hi_group,deepnsd_model,model_string,model_display_name,train_type,train_data,architecture,model_class,task_cluster,compare_architecture,compare_goal_slip,compare_goal_taskonomy_tasks,compare_goal_taskonomy_cluster,compare_diet_ipcl,compare_goal_selfsupervised,compare_goal_contrastive,compare_diet_imagenetsize
vgg16_classification,crsa,0.27715946435928346,0.25465046763420107,0.2987034857273102,5,Fig2 architecture,Convolutional,#e69f00,0.0,-0.38,32.38,0.22736762396765478,0.2118431064563267,0.2410743788656863,vgg16,vgg16_classification,VGG16,classification,imagenet,vgg16,Convolutional,Semantic,Convolutional,,,,,,,
densenet121_classification,crsa,0.18830023825168613,0.1678686034679413,0.21253378450870514,5,Fig2 architecture,Convolutional,#e69f00,1.0,-0.38,32.38,0.22736762396765478,0.2118431064563267,0.2410743788656863,densenet121,densenet121_classification,DenseNet121,classification,imagenet,densenet121,Convolutional,Semantic,Convolutional,,,,,,,
alexnet_classification,crsa,0.25519356429576867,0.24104688346385955,0.27062906086444855,5,Fig2 architecture,Convolutional,#e69f00,2.0,-0.38,32.38,0.22736762396765478,0.2118431064563267,0.2410743788656863,alexnet,alexnet_classification,AlexNet,classification,imagenet,alexnet,Convolutional,Semantic,Convolutional,,,,,,,
mobilenetv3_large_100_classification,crsa,0.23379990696907046,0.2129433363676071,0.2534290701150894,5,Fig2 architecture,Convolutional,#e69f00,3.0,-0.38,32.38,0.22736762396765478,0.2118431064563267,0.2410743788656863,mobilenetv3_large_100,mobilenetv3_large_100_classification,MobileNet-V3-Large,classification,imagenet,mobilenetv3_large_100,Convolutional,Semantic,Convolutional,,,,,,,
squeezenet1_0_classification,crsa,0.2664493811130524,0.24627744078636168,0.2886066508293152,5,Fig2 architecture,Convolutional,#e69f00,4.0,-0.38,32.38,0.22736762396765478,0.2118431064563267,0.2410743788656863,squeezenet1_0,squeezenet1_0_classification,SqueezeNet1.0,classification,imagenet,squeezenet1_0,Convolutional,Semantic,Convolutional,,,,,,,
ghostnet_100_classification,crsa,0.1742311716079712,0.1563817650079727,0.19187683880329132,5,Fig2 architecture,Convolutional,#e69f00,5.0,-0.38,32.38,0.22736762396765478,0.2118431064563267,0.2410743788656863,ghostnet_100,ghostnet_100_classification,GhostNet100,classification,imagenet,ghostnet_100,Convolutional,Semantic,Convolutional,,,,,,,
dla34_classification,crsa,0.21643006503582002,0.20262720167636872,0.23276886224746704,5,Fig2 architecture,Convolutional,#e69f00,6.0,-0.38,32.38,0.22736762396765478,0.2118431064563267,0.2410743788656863,dla34,dla34_classification,DLA34,classification,imagenet,dla34,Convolutional,Semantic,Convolutional,,,,,,,
semnasnet_100_classification,crsa,0.26973077058792116,0.24887531280517577,0.29912704408168794,5,Fig2 architecture,Convolutional,#e69f00,7.0,-0.38,32.38,0.22736762396765478,0.2118431064563267,0.2410743788656863,semnasnet_100,semnasnet_100_classification,SemNASNet100,classification,imagenet,semnasnet_100,Convolutional,Semantic,Convolutional,,,,,,,
skresnext50_32x4d_classification,crsa,0.24884777545928954,0.23051344096660614,0.2783411365747452,5,Fig2 architecture,Convolutional,#e69f00,8.0,-0.38,32.38,0.22736762396765478,0.2118431064563267,0.2410743788656863,skresnext50_32x4d,skresnext50_32x4d_classification,SKResNext50-32x4D,classification,imagenet,skresnext50_32x4d,Convolutional,Semantic,Convolutional,,,,,,,
seresnext50_32x4d_classification,crsa,0.213866925239563,0.19672349750995635,0.2295898115634918,5,Fig2 architecture,Convolutional,#e69f00,9.0,-0.38,32.38,0.22736762396765478,0.2118431064563267,0.2410743788656863,seresnext50_32x4d,seresnext50_32x4d_classification,SEResNext50-32x4D,classification,imagenet,seresnext50_32x4d,Convolutional,Semantic,Convolutional,,,,,,,
hardcorenas_a_classification,crsa,0.2685205060243606,0.25409662783145903,0.28831026852130887,5,Fig2 architecture,Convolutional,#e69f00,10.0,-0.38,32.38,0.22736762396765478,0.2118431064563267,0.2410743788656863,hardcorenas_a,hardcorenas_a_classification,HardCoreNAS-A,classification,imagenet,hardcorenas_a,Convolutional,Semantic,Convolutional,,,,,,,
resnet18_classification,crsa,0.24502754926681516,0.2337877196073532,0.255066699385643,5,Fig2 architecture,Convolutional,#e69f00,11.0,-0.38,32.38,0.22736762396765478,0.2118431064563267,0.2410743788656863,resnet18,resnet18_classification,ResNet18,classification,imagenet,resnet18,Convolutional,Semantic,Convolutional,,,,,,,
regnety_064_classification,crsa,0.2317133557796478,0.20728596091270446,0.2612249505519867,5,Fig2 architecture,Convolutional,#e69f00,12.0,-0.38,32.38,0.22736762396765478,0.2118431064563267,0.2410743788656863,regnety_064,regnety_064_classification,RegNetY-64,classification,imagenet,regnety_064,Convolutional,Semantic,Convolutional,,,,,,,
