model,eval_type,n_subjects_total,n_subjects_test,n_nan_test,mean_test_score,median_test_score,sem_test_score,std_test_score,mean_train_score,median_selected_layer_index,median_selected_layer_fraction,model_class,train_type,train_data,model_source,task_cluster,comparison_group
ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,5,5,0,0.26411704063415525,0.26966753602027893,0.01678572806655217,0.03753402900863677,0.25695620954036713,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,srpr,5,5,0,0.42017708293156836,0.4187855716034701,0.006071228949311273,0.01357568063762463,0.42091047244264806,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,wrsa,5,5,0,0.5269819450378417,0.5257604241371154,0.027527715274889435,0.06155384261991208,0.3516417050361633,9.0,0.75,,,,,,
ResNet50/ClusterFit/16K/RotNet_selfsupervised,crsa,5,5,0,0.19370824337005615,0.190372970700264,0.007479492601899974,0.01672465389505513,0.1894120979309082,12.0,1.0,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,srpr,5,5,0,0.4045009466356661,0.403900643401251,0.00610054052240404,0.013641223307587505,0.40530112785521577,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,wrsa,5,5,0,0.4780971276760101,0.4736498773097992,0.025148405403468646,0.056233544007878916,0.3267586147785187,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,crsa,5,5,0,0.304466912150383,0.3142213046550751,0.01622098327983204,0.036271221275591965,0.30102482438087463,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,srpr,5,5,0,0.41800866100161577,0.4153097564797313,0.006318147213864966,0.014127806662052975,0.4191673084081383,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,wrsa,5,5,0,0.5019015884399415,0.4967814028263092,0.02737982026569227,0.0612231393258143,0.35015987515449526,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/Goyal19_selfsupervised,crsa,5,5,0,0.1756387609243393,0.1681901693344116,0.007988497127867682,0.01786282261597397,0.1741615790128708,3.0,0.25,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,srpr,5,5,0,0.3687905152995159,0.36702934761682793,0.0065571025151623654,0.014662126959337897,0.3686662540446279,3.0,0.25,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,wrsa,5,5,0,0.44608819484710693,0.42937840819358825,0.02170333016108645,0.04853012157831076,0.30014579415321346,3.0,0.25,,,,,,
ResNet50/JigSaw/P100_selfsupervised,crsa,5,5,0,0.19953426539897917,0.18835734724998474,0.0106167720478041,0.023739824000509613,0.19426994979381562,11.0,0.9166666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/P100_selfsupervised,srpr,5,5,0,0.3690742548009393,0.3700110468801854,0.006477422477507469,0.014483956978691804,0.3705250746763522,11.0,0.9166666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/P100_selfsupervised,wrsa,5,5,0,0.44798775672912594,0.43508275747299197,0.01640780865148207,0.03668897550652308,0.29611527621746064,0.0,0.0,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/MoCoV2/BS256_selfsupervised,crsa,5,5,0,0.22355916261672976,0.2267426908016205,0.010162461744371487,0.02272395527915573,0.2222174417972565,9.0,0.75,,,,,,
ResNet50/MoCoV2/BS256_selfsupervised,srpr,5,5,0,0.4141009779259298,0.4149403593814579,0.006258336927774035,0.013994066796599926,0.41480885020906727,9.0,0.75,,,,,,
ResNet50/MoCoV2/BS256_selfsupervised,wrsa,5,5,0,0.48438819527626037,0.4580243110656738,0.023385890533747997,0.052292440947829345,0.3467636513710022,12.0,1.0,,,,,,
ResNet50/PIRL_selfsupervised,crsa,5,5,0,0.2730794608592987,0.2763892114162445,0.013105445210801274,0.02930466636675069,0.2679610568284988,12.0,1.0,,,,,,
ResNet50/PIRL_selfsupervised,srpr,5,5,0,0.40777984689025104,0.4033387351110923,0.006076607463179862,0.01358770736025272,0.4095230729023074,9.0,0.75,,,,,,
ResNet50/PIRL_selfsupervised,wrsa,5,5,0,0.5083815157413483,0.50038942694664,0.02353152899409928,0.05261809844531328,0.34488436341285705,9.0,0.75,,,,,,
ResNet50/RotNet_selfsupervised,crsa,5,5,0,0.19943055987358094,0.19214214086532594,0.00926872137493774,0.020725491058866112,0.19267792224884034,4.0,0.3333333333333333,,,,,,
ResNet50/RotNet_selfsupervised,srpr,5,5,0,0.37624585865688387,0.38090416376797087,0.007117772530517652,0.01591582322661817,0.37758248903826086,9.0,0.75,,,,,,
ResNet50/RotNet_selfsupervised,wrsa,5,5,0,0.4276628863811493,0.4114635348320007,0.019800441404786276,0.04427513296560356,0.31603196382522586,12.0,1.0,,,,,,
ResNet50/SimCLR_selfsupervised,crsa,5,5,0,0.2412716233730316,0.23995129764080048,0.01593908064348949,0.03564086781769358,0.23672030031681063,5.0,0.4166666666666667,,,,,,
ResNet50/SimCLR_selfsupervised,srpr,5,5,0,0.41853292725137986,0.4150701839852232,0.006633382101819117,0.014832693300397973,0.4196583612186293,9.0,0.75,,,,,,
ResNet50/SimCLR_selfsupervised,wrsa,5,5,0,0.5080846464633941,0.49660239219665525,0.02684057382847682,0.06001734763557595,0.3525223398208618,9.0,0.75,,,,,,
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,crsa,5,5,0,0.2021322637796402,0.21732746958732604,0.016865868222884065,0.03771322784592234,0.1953943759202957,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,srpr,5,5,0,0.4163990238205357,0.4123615904099422,0.00642669769324496,0.014370532912936818,0.41704460613433536,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
