model,score,rank
swin_tiny_patch4_window7_224_classification,0.5287981009483337,1
ResNet50/BarlowTwins/BS2048_selfsupervised,0.5269819450378417,2
convnext_base_classification,0.5255776107311249,3
gmlp_s16_224_classification,0.5247043395042419,4
convnext_base_in22k_classification,0.5242826461791992,5
resmlp_big_24_224_in22ft1k_classification,0.5210919702053071,6
ViT/L/SLIP_slip,0.5159755146503449,7
levit_128_classification,0.5157173979282379,8
ViT/B/SLIP_slip,0.512735732793808,9
mixer_l16_224_in21k_classification,0.5123299992084502,10
mixer_l16_224_classification,0.5123299992084502,11
poolformer_s36_classification,0.5101186454296112,12
mixer_b16_224_in21k_classification,0.5085604465007781,13
mixer_b16_224_classification,0.5085604465007781,14
hardcorenas_f_classification,0.5085461795330047,15
ResNet50/PIRL_selfsupervised,0.5083815157413483,16
ResNet50/SimCLR_selfsupervised,0.5080846464633941,17
ViT/S/SimCLR_slip,0.5070774483680724,18
mnasnet1_0_classification,0.507077021598816,19
jx_nest_tiny_classification,0.5068289613723754,20
ViT/L/SimCLR_slip,0.5062878668308258,21
pit_b_224_classification,0.5053706169128418,22
vit_large_patch16_224_classification,0.5039589869976043,23
resmlp_big_24_224_classification,0.5026442778110505,24
cspresnet50_classification,0.5020960628986358,25
mobilenet_v2_classification,0.5019179952144623,26
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,0.5019015884399414,27
gmixer_24_224_classification,0.501697906255722,28
pit_ti_224_classification,0.500958741903305,29
swin_base_patch4_window7_224_classification,0.5000881743431091,30
ViT/S/SLIP_slip,0.49772886633872987,31
vit_base_patch16_224_classification,0.4915980017185211,32
ViT/B/SimCLR_slip,0.4911220133304596,33
inception_v3_classification,0.4907801067829132,34
vit_small_patch16_224_classification,0.4901773977279663,35
ViT/B/CLIP_slip,0.4901676547527313,36
deit_base_patch16_224_classification,0.4898787105083465,37
resnet101_classification,0.4896737742424011,38
vit_base_patch32_224_classification,0.48949176669120786,39
resnet50_classification,0.48930612087249753,40
vit_small_patch32_224_classification,0.4867671918869019,41
eca_nfnet_l0_classification,0.4866102147102356,42
vit_large_patch16_224_in21k_classification,0.48588986873626705,43
crossvit_base_240_classification,0.4849552631378174,44
visformer_small_classification,0.4847075247764587,45
xception_classification,0.4845879924297332,46
ResNet50/MoCoV2/BS256_selfsupervised,0.48438819527626037,47
regnetx_064_classification,0.48414810657501217,48
efficientnet_b3_classification,0.4839175617694854,49
vit_base_patch16_224_in21k_classification,0.4838027608394623,50
vit_small_patch16_224_in21k_classification,0.4819996654987335,51
vit_small_patch32_224_in21k_classification,0.4817765557765961,52
googlenet_classification,0.4813264799118041,53
shufflenet_v2_x1_0_classification,0.4811840283870697,54
swin_large_patch4_window7_224_classification,0.48078982472419735,55
nfnet_l0_classification,0.4806068384647369,56
ViT/S/CLIP_slip,0.4802377331256866,57
ResNet50/ClusterFit/16K/RotNet_selfsupervised,0.4780971276760101,58
resnet152_classification,0.4779199182987213,59
nf_resnet50_classification,0.47747152924537656,60
convnext_large_classification,0.47546583056449887,61
coat_lite_tiny_classification,0.4743333327770233,62
swin_base_patch4_window7_224_in22k_classification,0.474175455570221,63
ViT/L/CLIP_slip,0.4732692468166351,64
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,0.4728179085254669,65
regnety_064_classification,0.47237373828887935,66
tnt_s_patch16_224_classification,0.4723503243923187,67
vit_base_patch32_224_in21k_classification,0.4686533117294311,68
resnet18_classification,0.4673565363883972,69
hardcorenas_a_classification,0.46569675087928764,70
seresnext50_32x4d_classification,0.4636953186988831,71
