model,eval_type,mean,ci_lo,ci_hi,n_subjects,panel,group_label,group_color,x,x_start,x_end,mean_group,ci_lo_group,ci_hi_group,deepnsd_model,model_string,model_display_name,train_type,train_data,architecture,model_class,task_cluster,compare_architecture,compare_goal_slip,compare_goal_taskonomy_tasks,compare_goal_taskonomy_cluster,compare_diet_ipcl,compare_goal_selfsupervised,compare_goal_contrastive,compare_diet_imagenetsize
squeezenet1_0_classification,crsa,0.2590368390083313,0.2320302277803421,0.2914948701858521,5,Fig2 architecture,Convolutional,#e69f00,0.0,-0.38,32.38,0.22738682081302006,0.2118898427384821,0.24109136170397202,squeezenet1_0,squeezenet1_0_classification,SqueezeNet1.0,classification,imagenet,squeezenet1_0,Convolutional,Semantic,Convolutional,,,,,,,
densenet121_classification,crsa,0.18397228121757508,0.1592479795217514,0.21442857682704924,5,Fig2 architecture,Convolutional,#e69f00,1.0,-0.38,32.38,0.22738682081302006,0.2118898427384821,0.24109136170397202,densenet121,densenet121_classification,DenseNet121,classification,imagenet,densenet121,Convolutional,Semantic,Convolutional,,,,,,,
vgg16_classification,crsa,0.2753870069980621,0.2459450602531433,0.30584450960159304,5,Fig2 architecture,Convolutional,#e69f00,2.0,-0.38,32.38,0.22738682081302006,0.2118898427384821,0.24109136170397202,vgg16,vgg16_classification,VGG16,classification,imagenet,vgg16,Convolutional,Semantic,Convolutional,,,,,,,
alexnet_classification,crsa,0.25342469215393065,0.23832349479198456,0.2711578100919724,5,Fig2 architecture,Convolutional,#e69f00,3.0,-0.38,32.38,0.22738682081302006,0.2118898427384821,0.24109136170397202,alexnet,alexnet_classification,AlexNet,classification,imagenet,alexnet,Convolutional,Semantic,Convolutional,,,,,,,
mobilenetv3_large_100_classification,crsa,0.22854370772838592,0.2062391757965088,0.24845207631587982,5,Fig2 architecture,Convolutional,#e69f00,4.0,-0.38,32.38,0.22738682081302006,0.2118898427384821,0.24109136170397202,mobilenetv3_large_100,mobilenetv3_large_100_classification,MobileNet-V3-Large,classification,imagenet,mobilenetv3_large_100,Convolutional,Semantic,Convolutional,,,,,,,
ghostnet_100_classification,crsa,0.17664866149425507,0.1606662541627884,0.1919744610786438,5,Fig2 architecture,Convolutional,#e69f00,5.0,-0.38,32.38,0.22738682081302006,0.2118898427384821,0.24109136170397202,ghostnet_100,ghostnet_100_classification,GhostNet100,classification,imagenet,ghostnet_100,Convolutional,Semantic,Convolutional,,,,,,,
dla34_classification,crsa,0.20655546486377716,0.19560412764549256,0.22009235322475434,5,Fig2 architecture,Convolutional,#e69f00,6.0,-0.38,32.38,0.22738682081302006,0.2118898427384821,0.24109136170397202,dla34,dla34_classification,DLA34,classification,imagenet,dla34,Convolutional,Semantic,Convolutional,,,,,,,
semnasnet_100_classification,crsa,0.271440589427948,0.2597691178321838,0.2904257714748383,5,Fig2 architecture,Convolutional,#e69f00,7.0,-0.38,32.38,0.22738682081302006,0.2118898427384821,0.24109136170397202,semnasnet_100,semnasnet_100_classification,SemNASNet100,classification,imagenet,semnasnet_100,Convolutional,Semantic,Convolutional,,,,,,,
skresnext50_32x4d_classification,crsa,0.26392886936664584,0.2372824102640152,0.29866116046905516,5,Fig2 architecture,Convolutional,#e69f00,8.0,-0.38,32.38,0.22738682081302006,0.2118898427384821,0.24109136170397202,skresnext50_32x4d,skresnext50_32x4d_classification,SKResNext50-32x4D,classification,imagenet,skresnext50_32x4d,Convolutional,Semantic,Convolutional,,,,,,,
seresnext50_32x4d_classification,crsa,0.21213893592357635,0.19805088341236116,0.22622698843479155,5,Fig2 architecture,Convolutional,#e69f00,9.0,-0.38,32.38,0.22738682081302006,0.2118898427384821,0.24109136170397202,seresnext50_32x4d,seresnext50_32x4d_classification,SEResNext50-32x4D,classification,imagenet,seresnext50_32x4d,Convolutional,Semantic,Convolutional,,,,,,,
