model,eval_type,n_subjects_total,n_subjects_test,n_nan_test,mean_test_score,median_test_score,sem_test_score,std_test_score,mean_train_score,median_selected_layer_index,median_selected_layer_fraction,model_class,train_type,train_data,model_source,task_cluster,comparison_group
ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,5,5,0,0.265385040640831,0.2777540385723114,0.015223730154659828,0.034041295496932765,0.2568062901496887,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,srpr,5,5,0,0.42176506969367794,0.4189574458718984,0.004762432001804269,0.01064912169425475,0.4207042544961196,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,wrsa,5,5,0,0.5141718029975891,0.5097802877426147,0.031129947930968807,0.0696086797096752,0.3506980359554291,9.0,0.75,,,,,,
ResNet50/ClusterFit/16K/RotNet_selfsupervised,crsa,5,5,0,0.18872420191764833,0.18226106464862823,0.008036552436998133,0.01797027755386943,0.19059273302555085,12.0,1.0,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,srpr,5,5,0,0.4054325640043701,0.4029571788774161,0.005233184462781923,0.011701756197576093,0.4052738529446957,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,wrsa,5,5,0,0.46598310470581056,0.44849759340286255,0.029157633980521753,0.06519845164350442,0.3255405366420746,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,crsa,5,5,0,0.29881408214569094,0.3069392144680023,0.01328907163017012,0.029715267522924336,0.3026757061481476,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,srpr,5,5,0,0.41718587241967525,0.4132810011662738,0.005083169634582972,0.01136631284409029,0.4194431724196983,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,wrsa,5,5,0,0.4860149323940277,0.46468567848205566,0.02800147127753464,0.06261319324657535,0.34921448230743407,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/Goyal19_selfsupervised,crsa,5,5,0,0.17460586726665497,0.16085834801197052,0.010031812956835017,0.02243181570904626,0.17459588646888732,3.0,0.25,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,srpr,5,5,0,0.3680090137716697,0.36838582797045066,0.0052818838490262705,0.01181065133568098,0.36900915755894126,3.0,0.25,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,wrsa,5,5,0,0.42969560623168945,0.4103398621082306,0.02584978864665916,0.057801884617932175,0.3001790404319763,3.0,0.25,,,,,,
ResNet50/JigSaw/P100_selfsupervised,crsa,5,5,0,0.18481036722660066,0.18375904858112335,0.0161798390326091,0.036179219941918396,0.197987362742424,11.0,0.9166666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/P100_selfsupervised,srpr,5,5,0,0.3684148006846347,0.37026554570983883,0.006239413171166941,0.013951751990436802,0.3712786359807317,11.0,0.9166666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/P100_selfsupervised,wrsa,5,5,0,0.41887334585189817,0.3972053527832031,0.026217479404621876,0.05862406614743523,0.2958759546279907,0.0,0.0,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/MoCoV2/BS256_selfsupervised,crsa,5,5,0,0.22008439302444457,0.2254844456911087,0.012795544372182164,0.028611707025314185,0.22339999973773955,9.0,0.75,,,,,,
ResNet50/MoCoV2/BS256_selfsupervised,srpr,5,5,0,0.4145034107722102,0.41303841156172166,0.005471660231923413,0.01223500422836301,0.41499919322908924,5.0,0.4166666666666667,,,,,,
ResNet50/MoCoV2/BS256_selfsupervised,wrsa,5,5,0,0.46938132047653197,0.46174418926239014,0.030050554756976933,0.06719508319818009,0.34565730690956115,12.0,1.0,,,,,,
ResNet50/PIRL_selfsupervised,crsa,5,5,0,0.2712601810693741,0.27376264333724976,0.01160592215809472,0.02595163088707085,0.2685100346803665,12.0,1.0,,,,,,
ResNet50/PIRL_selfsupervised,srpr,5,5,0,0.4096054696134298,0.40717748668501247,0.005430587342441661,0.012143162455449476,0.4093406429202474,9.0,0.75,,,,,,
ResNet50/PIRL_selfsupervised,wrsa,5,5,0,0.49943488240242007,0.48047271370887756,0.027320590154340473,0.06109069677051678,0.34371522068977356,9.0,0.75,,,,,,
ResNet50/RotNet_selfsupervised,crsa,5,5,0,0.1955488622188568,0.18738394975662231,0.011980800403303503,0.02678988412664353,0.193887397646904,4.0,0.3333333333333333,,,,,,
ResNet50/RotNet_selfsupervised,srpr,5,5,0,0.3779990011985619,0.3767306595233005,0.005204343952720588,0.011637266856573179,0.3773060494492639,9.0,0.75,,,,,,
ResNet50/RotNet_selfsupervised,wrsa,5,5,0,0.4122126817703247,0.3967805504798889,0.0262817101986614,0.05876769056915639,0.3156004548072815,12.0,1.0,,,,,,
ResNet50/SimCLR_selfsupervised,crsa,5,5,0,0.24811342656612395,0.24743372201919556,0.020443170828426865,0.04571231964800316,0.2352984994649887,5.0,0.4166666666666667,,,,,,
ResNet50/SimCLR_selfsupervised,srpr,5,5,0,0.418709116615115,0.41448308334119593,0.005370272906712031,0.01200829527713349,0.419727566517411,9.0,0.75,,,,,,
ResNet50/SimCLR_selfsupervised,wrsa,5,5,0,0.4919992446899414,0.46927812695503235,0.028714619743319,0.06420784169411886,0.3516152560710907,9.0,0.75,,,,,,
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,crsa,5,5,0,0.20230573564767837,0.22588491439819336,0.02126487978283577,0.047549716727781736,0.19401368498802185,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,srpr,5,5,0,0.41769709560397034,0.41515779003293657,0.0052776686082224205,0.01180122577070205,0.41689883410264306,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,wrsa,5,5,0,0.46385669708251953,0.42296847701072693,0.031902843012886636,0.07133692565231872,0.3492957592010498,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ViT/B/CLIP_slip,crsa,5,5,0,0.047461871057748795,0.036152493208646774,0.009106281815470083,0.020362265161661303,0.04361448809504509,0.0,0.0,,,,,,
ViT/B/CLIP_slip,srpr,5,5,0,0.40285536886620843,0.4023537767944509,0.006883366182141991,0.01539167469729268,0.40378791463008773,7.0,0.5833333333333334,,,,,,
ViT/B/CLIP_slip,wrsa,5,5,0,0.4822144091129303,0.46042579412460327,0.031100928249142835,0.0695437897284269,0.32459524273872375,5.0,0.4166666666666667,,,,,,
ViT/B/SLIP_slip,crsa,5,5,0,0.07856270745396614,0.08428847789764404,0.010096555375197023,0.02257658415753144,0.0904675155878067,7.0,0.5833333333333334,,,,,,
