comparison_id,comparison,eval_type,level,n_obs,n_subjects,n_models,mean,median,std,sem
architecture,CNNs versus Transformers,crsa,Convolutional,165,5,33,0.22738682081302006,0.2351258844137191,0.049946825005498546,0.0038883550531000973
architecture,CNNs versus Transformers,crsa,Transformer,105,5,21,0.1674812979641415,0.158358559012413,0.05060396444755899,0.00493844125958578
architecture,CNNs versus Transformers,wrsa,Convolutional,165,5,33,0.46546158284852,0.458651453256607,0.06655496905291651,0.005181297313639834
architecture,CNNs versus Transformers,wrsa,Transformer,105,5,21,0.48099936133339294,0.4827489256858825,0.06457940168527285,0.00630230428156304
taskonomy_tasks,Taskonomy Encoders,crsa,denoising,5,5,1,0.07238460034132001,0.0758824944496154,0.02167818733151214,0.009694780100447182
taskonomy_tasks,Taskonomy Encoders,crsa,autoencoding,5,5,1,0.039883831143379164,0.0362046957015991,0.010486213567911113,0.004689577272885971
taskonomy_tasks,Taskonomy Encoders,crsa,class_object,5,5,1,0.11516562104225155,0.1194816976785659,0.029514356689735167,0.0131992215740847
taskonomy_tasks,Taskonomy Encoders,crsa,class_scene,5,5,1,0.09985506087541575,0.1064197346568107,0.014214299384407674,0.006356827935213794
taskonomy_tasks,Taskonomy Encoders,crsa,curvature,5,5,1,0.0891443438827991,0.0932802110910415,0.021366362428210006,0.009555327764275008
taskonomy_tasks,Taskonomy Encoders,crsa,depth_euclidean,5,5,1,0.09104937613010403,0.0916667282581329,0.019824907927719557,0.008865968354811083
taskonomy_tasks,Taskonomy Encoders,crsa,depth_zbuffer,5,5,1,0.11139548420906062,0.1134861931204795,0.022909500013603465,0.01024543987218994
taskonomy_tasks,Taskonomy Encoders,crsa,edge_occlusion,5,5,1,0.06384563073515888,0.0590759925544261,0.02575747747875028,0.011519094114281104
taskonomy_tasks,Taskonomy Encoders,crsa,edge_texture,5,5,1,0.1731880217790603,0.1568650603294372,0.047622993470852956,0.02129765013857117
taskonomy_tasks,Taskonomy Encoders,crsa,egomotion,5,5,1,0.08437623828649518,0.0851968824863433,0.02696530412938855,0.012059250613453717
taskonomy_tasks,Taskonomy Encoders,crsa,fixated_pose,5,5,1,0.07034396976232524,0.0720891654491424,0.022078132487667525,0.009873641011734224
taskonomy_tasks,Taskonomy Encoders,crsa,inpainting,5,5,1,0.050636872649192755,0.0493406802415847,0.007308432616910534,0.0032684304280777266
taskonomy_tasks,Taskonomy Encoders,crsa,jigsaw,5,5,1,0.0971169121563434,0.1064066663384437,0.0334835493403169,0.014974298490583366
taskonomy_tasks,Taskonomy Encoders,crsa,keypoints2d,5,5,1,0.1057072594761848,0.0870151966810226,0.02924000952115256,0.013076529790407639
taskonomy_tasks,Taskonomy Encoders,crsa,keypoints3d,5,5,1,0.12521121352910988,0.1246475726366043,0.027515195172264736,0.012305169363871597
taskonomy_tasks,Taskonomy Encoders,crsa,nonfixated_pose,5,5,1,0.08692411780357356,0.0832583829760551,0.01752936899847744,0.007839372136654593
taskonomy_tasks,Taskonomy Encoders,crsa,normal,5,5,1,0.108399161696434,0.1058832705020904,0.012902440063598374,0.0057701466115645346
taskonomy_tasks,Taskonomy Encoders,crsa,point_matching,5,5,1,0.14103101640939708,0.1301001459360122,0.03877348592389065,0.017340030050090143
taskonomy_tasks,Taskonomy Encoders,crsa,random_weights,5,5,1,0.035929903946816846,0.0355747938156127,0.02403720776628223,0.010749766110938589
taskonomy_tasks,Taskonomy Encoders,crsa,reshading,5,5,1,0.11058579981327052,0.1178532391786575,0.028958486434470927,0.0129506288385965
taskonomy_tasks,Taskonomy Encoders,crsa,room_layout,5,5,1,0.06322327926754946,0.0556406341493129,0.015921973923105535,0.007120523205608597
taskonomy_tasks,Taskonomy Encoders,crsa,segment_semantic,5,5,1,0.10292010456323622,0.1152298822999,0.024498239282916934,0.010955945673131594
taskonomy_tasks,Taskonomy Encoders,crsa,segment_unsup25d,5,5,1,0.10754952281713481,0.1123644858598709,0.01732174475302244,0.007746519751331696
taskonomy_tasks,Taskonomy Encoders,crsa,segment_unsup2d,5,5,1,0.1531153485178947,0.1480109393596649,0.03073392266320998,0.013744628058031777
taskonomy_tasks,Taskonomy Encoders,crsa,vanishing_point,5,5,1,0.01907252389937634,0.0204385984688997,0.003917239699684965,0.0017518428505312884
taskonomy_tasks,Taskonomy Encoders,wrsa,denoising,5,5,1,0.16083176881074898,0.1691744923591613,0.05242693596057836,0.02344603853197629
taskonomy_tasks,Taskonomy Encoders,wrsa,autoencoding,5,5,1,0.0074597503058612,0.0128115564584732,0.017118838138484825,0.007655777154693605
taskonomy_tasks,Taskonomy Encoders,wrsa,class_object,5,5,1,0.2999654233455658,0.3126708567142486,0.040280986966564805,0.01801420501160439
taskonomy_tasks,Taskonomy Encoders,wrsa,class_scene,5,5,1,0.3177461177110672,0.357529729604721,0.07583315988082226,0.03391362008842568
taskonomy_tasks,Taskonomy Encoders,wrsa,curvature,5,5,1,0.0623423054814338,0.0615099631249904,0.020034237677213053,0.008959583464727175
taskonomy_tasks,Taskonomy Encoders,wrsa,depth_euclidean,5,5,1,0.2828982681035995,0.2921783924102783,0.03852678299930763,0.01722970114816702
taskonomy_tasks,Taskonomy Encoders,wrsa,depth_zbuffer,5,5,1,0.28042116165161135,0.2813843786716461,0.045204628834124454,0.020216124594149867
taskonomy_tasks,Taskonomy Encoders,wrsa,edge_occlusion,5,5,1,0.2484601646661758,0.2509161829948425,0.042856767504946956,0.01916612908739309
taskonomy_tasks,Taskonomy Encoders,wrsa,edge_texture,5,5,1,0.17404348105192174,0.1370511651039123,0.08419515421149507,0.03765321763859613
taskonomy_tasks,Taskonomy Encoders,wrsa,egomotion,5,5,1,0.2328098982572555,0.2227821499109268,0.06829400930630943,0.030542009452982223
taskonomy_tasks,Taskonomy Encoders,wrsa,fixated_pose,5,5,1,0.21894633769989008,0.2144294381141662,0.07158418795748112,0.03201342207740992
taskonomy_tasks,Taskonomy Encoders,wrsa,inpainting,5,5,1,0.17930312752723693,0.1767284721136093,0.03855408954339909,0.017241913005930837
taskonomy_tasks,Taskonomy Encoders,wrsa,jigsaw,5,5,1,0.14125138670206067,0.1505306959152221,0.04658541720787824,0.02083363192740084
taskonomy_tasks,Taskonomy Encoders,wrsa,keypoints2d,5,5,1,0.0828083897009491,0.050998318940401,0.09058351524530442,0.04051017954587784
taskonomy_tasks,Taskonomy Encoders,wrsa,keypoints3d,5,5,1,0.29063416421413424,0.3044361770153045,0.06013179612757835,0.02689175675008476
taskonomy_tasks,Taskonomy Encoders,wrsa,nonfixated_pose,5,5,1,0.1811024323105812,0.1739748269319534,0.05186574276100529,0.02319506530342509
taskonomy_tasks,Taskonomy Encoders,wrsa,normal,5,5,1,0.20046336203813553,0.1887140870094299,0.10295318220756319,0.04604206278320663
taskonomy_tasks,Taskonomy Encoders,wrsa,point_matching,5,5,1,0.25366183519363406,0.2396193891763687,0.06845294394773895,0.03061308718542542
taskonomy_tasks,Taskonomy Encoders,wrsa,random_weights,5,5,1,0.11239393725991247,0.128478854894638,0.04444345100997041,0.0198757155225951
taskonomy_tasks,Taskonomy Encoders,wrsa,reshading,5,5,1,0.2751640737056732,0.2759526371955871,0.03514514597897823,0.01571738709762974
taskonomy_tasks,Taskonomy Encoders,wrsa,room_layout,5,5,1,0.25125730931758883,0.2481943368911743,0.06369487270041871,0.028485213035266365
taskonomy_tasks,Taskonomy Encoders,wrsa,segment_semantic,5,5,1,0.2759116798639297,0.2907314002513885,0.03991870699625367,0.01785218848350393
taskonomy_tasks,Taskonomy Encoders,wrsa,segment_unsup25d,5,5,1,0.26284033060073847,0.2688001692295074,0.046486622736603096,0.020789449696686363
taskonomy_tasks,Taskonomy Encoders,wrsa,segment_unsup2d,5,5,1,0.25712096989154815,0.2431955635547638,0.09208262365860877,0.04118060120943592
taskonomy_tasks,Taskonomy Encoders,wrsa,vanishing_point,5,5,1,0.030871344357728904,0.0246539525687694,0.014020451021209994,0.006270136311726378
contrastive_self_supervised,Contrastive Self-Supervised Learning,crsa,Non-Contrastive,20,5,4,0.18592232465744013,0.18498042225837705,0.025711047500626652,0.005749164998412726
contrastive_self_supervised,Contrastive Self-Supervised Learning,crsa,Contrastive,30,5,6,0.2509938098490238,0.25236736238002777,0.04650999420838217,0.008491524325788516
contrastive_self_supervised,Contrastive Self-Supervised Learning,wrsa,Non-Contrastive,20,5,4,0.4316911846399307,0.4044591635465622,0.05918188293880737,0.01323347132876083
contrastive_self_supervised,Contrastive Self-Supervised Learning,wrsa,Contrastive,30,5,6,0.48747648000717164,0.474120631814003,0.06261991723222557,0.011432780405732137
