model,score,rank
swin_tiny_patch4_window7_224_classification,0.5232748031616211,1
gmlp_s16_224_classification,0.5199199020862579,2
ViT/L/SLIP_slip,0.518839156627655,3
convnext_base_classification,0.5152402102947236,4
resmlp_big_24_224_in22ft1k_classification,0.5145138382911683,5
ResNet50/BarlowTwins/BS2048_selfsupervised,0.5141718029975891,6
convnext_base_in22k_classification,0.5126886487007141,7
ViT/L/SimCLR_slip,0.5119564354419708,8
vit_large_patch16_224_classification,0.5096430718898773,9
mixer_l16_224_in21k_classification,0.5078579366207123,10
mixer_l16_224_classification,0.5078579366207123,11
levit_128_classification,0.5071503400802613,12
ViT/B/SLIP_slip,0.5062226057052612,13
hardcorenas_f_classification,0.5054294228553772,14
pit_b_224_classification,0.5038763523101807,15
jx_nest_tiny_classification,0.5036886870861054,16
poolformer_s36_classification,0.5022395968437194,17
ViT/S/SimCLR_slip,0.5020810961723328,18
ResNet50/PIRL_selfsupervised,0.49943488240242007,19
mixer_b16_224_classification,0.4988871574401855,20
mixer_b16_224_in21k_classification,0.4988871574401855,21
resmlp_big_24_224_classification,0.4975236177444458,22
cspresnet50_classification,0.49739386439323424,23
ViT/S/SLIP_slip,0.49573246836662294,24
gmixer_24_224_classification,0.49418548345565794,25
swin_base_patch4_window7_224_classification,0.49357388615608216,26
ResNet50/SimCLR_selfsupervised,0.4919992446899414,27
vit_base_patch16_224_in21k_classification,0.4916470289230347,28
inception_v3_classification,0.48979289531707765,29
pit_ti_224_classification,0.48917570114135744,30
vit_large_patch16_224_in21k_classification,0.4890003800392151,31
eca_nfnet_l0_classification,0.48892653584480283,32
mnasnet1_0_classification,0.48735758662223816,33
deit_base_patch16_224_classification,0.48653740882873536,34
mobilenet_v2_classification,0.4862751364707947,35
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,0.4860149323940277,36
ViT/B/SimCLR_slip,0.48577959537506105,37
resnet101_classification,0.48568753004074094,38
vit_base_patch16_224_classification,0.48530617356300354,39
swin_large_patch4_window7_224_classification,0.48384565114974976,40
vit_small_patch32_224_classification,0.4826418042182922,41
tnt_s_patch16_224_classification,0.4823111057281494,42
ViT/B/CLIP_slip,0.4822144091129303,43
vit_base_patch32_224_classification,0.4810778260231018,44
vit_small_patch32_224_in21k_classification,0.4810033679008484,45
vit_small_patch16_224_classification,0.47993611693382265,46
ViT/S/CLIP_slip,0.4792028725147247,47
vit_small_patch16_224_in21k_classification,0.47817158699035645,48
visformer_small_classification,0.47795599699020386,49
xception_classification,0.47688993215560915,50
efficientnet_b3_classification,0.47490416169166566,51
regnetx_064_classification,0.4746467053890228,52
resnet50_classification,0.47356127500534057,53
googlenet_classification,0.4735561728477478,54
shufflenet_v2_x1_0_classification,0.46973520517349243,55
ResNet50/MoCoV2/BS256_selfsupervised,0.46938132047653197,56
