combo,pool_plot,split,eval_type,n,n_subjects,n_models,mean,median,min,max
shared_cluster_k5_0,shared,cluster_k5_0,crsa,234,2,117,0.182678232512996,0.1849083006381988,-0.0618271976709365,0.4126144647598266
shared_cluster_k5_0,shared,cluster_k5_0,srpr,234,2,117,0.3543504247002285,0.3917140961746328,0.0826040623911295,0.4374297995923974
shared_cluster_k5_0,shared,cluster_k5_0,wrsa,234,2,117,0.39458160487234467,0.43606801331043243,-0.0290579572319984,0.5739328861236572
shared_cluster_k5_1,shared,cluster_k5_1,crsa,234,2,117,0.21789481817161602,0.21599542349576945,-0.0193102266639471,0.4399330914020538
shared_cluster_k5_1,shared,cluster_k5_1,srpr,234,2,117,0.2985471546749675,0.3215179093033306,0.0713263620515001,0.3945704146783454
shared_cluster_k5_1,shared,cluster_k5_1,wrsa,234,2,117,0.36297427512641645,0.38223324716091156,0.0325713902711868,0.5288646817207336
shared_cluster_k5_2,shared,cluster_k5_2,crsa,234,2,117,0.17758522861730208,0.16849185526371,-0.0004203276766929,0.4170570969581604
shared_cluster_k5_2,shared,cluster_k5_2,srpr,234,2,117,0.2996274587424754,0.33360436141872635,0.026374147341837,0.391395107036889
shared_cluster_k5_2,shared,cluster_k5_2,wrsa,234,2,117,0.3318522915375443,0.3622305691242218,-0.1169568225741386,0.5426517128944397
shared_cluster_k5_3,shared,cluster_k5_3,crsa,234,2,117,0.1556241592131075,0.1473526135087013,-0.0440137796103954,0.3685929775238037
shared_cluster_k5_3,shared,cluster_k5_3,srpr,234,2,117,0.27617415648453975,0.31024525587709617,0.0470449329308377,0.366871625328983
shared_cluster_k5_3,shared,cluster_k5_3,wrsa,234,2,117,0.3685238998916605,0.39080080389976496,-0.0333639904856681,0.5874643325805664
shared_cluster_k5_4,shared,cluster_k5_4,crsa,234,2,117,0.18122924642406532,0.17691278457641602,-0.1583965569734573,0.5348353385925293
