model,eval_type,mean,ci_lo,ci_hi,n_subjects,panel,group_label,group_color,x,x_start,x_end,mean_group,ci_lo_group,ci_hi_group,deepnsd_model,model_string,model_display_name,train_type,train_data,architecture,model_class,task_cluster,compare_architecture,compare_goal_slip,compare_goal_taskonomy_tasks,compare_goal_taskonomy_cluster,compare_diet_ipcl,compare_goal_selfsupervised,compare_goal_contrastive,compare_diet_imagenetsize
vgg16_classification,crsa,0.3097217530012131,0.28262069821357727,0.3368228077888489,2,Fig2 architecture,Convolutional,#e69f00,0.0,-0.38,32.38,0.2194123465680715,0.19677534194832497,0.23975446001259665,vgg16,vgg16_classification,VGG16,classification,imagenet,vgg16,Convolutional,Semantic,Convolutional,,,,,,,
squeezenet1_0_classification,crsa,0.32862959802150726,0.2743172347545624,0.38294196128845215,2,Fig2 architecture,Convolutional,#e69f00,1.0,-0.38,32.38,0.2194123465680715,0.19677534194832497,0.23975446001259665,squeezenet1_0,squeezenet1_0_classification,SqueezeNet1.0,classification,imagenet,squeezenet1_0,Convolutional,Semantic,Convolutional,,,,,,,
hardcorenas_a_classification,crsa,0.23100125789642334,0.21281956136226654,0.24918295443058014,2,Fig2 architecture,Convolutional,#e69f00,2.0,-0.38,32.38,0.2194123465680715,0.19677534194832497,0.23975446001259665,hardcorenas_a,hardcorenas_a_classification,HardCoreNAS-A,classification,imagenet,hardcorenas_a,Convolutional,Semantic,Convolutional,,,,,,,
alexnet_classification,crsa,0.2752438113093376,0.24658598005771637,0.30390164256095886,2,Fig2 architecture,Convolutional,#e69f00,3.0,-0.38,32.38,0.2194123465680715,0.19677534194832497,0.23975446001259665,alexnet,alexnet_classification,AlexNet,classification,imagenet,alexnet,Convolutional,Semantic,Convolutional,,,,,,,
regnety_064_classification,crsa,0.26066896319389343,0.22375735640525818,0.2975805699825287,2,Fig2 architecture,Convolutional,#e69f00,4.0,-0.38,32.38,0.2194123465680715,0.19677534194832497,0.23975446001259665,regnety_064,regnety_064_classification,RegNetY-64,classification,imagenet,regnety_064,Convolutional,Semantic,Convolutional,,,,,,,
seresnext50_32x4d_classification,crsa,0.23082365840673447,0.13835294544696808,0.32329437136650085,2,Fig2 architecture,Convolutional,#e69f00,5.0,-0.38,32.38,0.2194123465680715,0.19677534194832497,0.23975446001259665,seresnext50_32x4d,seresnext50_32x4d_classification,SEResNext50-32x4D,classification,imagenet,seresnext50_32x4d,Convolutional,Semantic,Convolutional,,,,,,,
dla34_classification,crsa,0.2225647270679474,0.15471649169921875,0.290412962436676,2,Fig2 architecture,Convolutional,#e69f00,6.0,-0.38,32.38,0.2194123465680715,0.19677534194832497,0.23975446001259665,dla34,dla34_classification,DLA34,classification,imagenet,dla34,Convolutional,Semantic,Convolutional,,,,,,,
resnet152_classification,crsa,0.12281506136059761,0.12090841680765152,0.1247217059135437,2,Fig2 architecture,Convolutional,#e69f00,7.0,-0.38,32.38,0.2194123465680715,0.19677534194832497,0.23975446001259665,resnet152,resnet152_classification,ResNet152,classification,imagenet,resnet152,Convolutional,Semantic,Convolutional,,,,,,,
densenet121_classification,crsa,0.1848529577255249,0.14083385467529297,0.22887206077575684,2,Fig2 architecture,Convolutional,#e69f00,8.0,-0.38,32.38,0.2194123465680715,0.19677534194832497,0.23975446001259665,densenet121,densenet121_classification,DenseNet121,classification,imagenet,densenet121,Convolutional,Semantic,Convolutional,,,,,,,
ghostnet_100_classification,crsa,0.16438626497983932,0.15580254793167114,0.1729699820280075,2,Fig2 architecture,Convolutional,#e69f00,9.0,-0.38,32.38,0.2194123465680715,0.19677534194832497,0.23975446001259665,ghostnet_100,ghostnet_100_classification,GhostNet100,classification,imagenet,ghostnet_100,Convolutional,Semantic,Convolutional,,,,,,,
