model,eval_type,n_subjects_total,n_subjects_test,n_nan_test,mean_test_score,median_test_score,sem_test_score,std_test_score,mean_train_score,median_selected_layer_index,median_selected_layer_fraction,model_class,train_type,train_data,model_source,task_cluster,comparison_group
ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,2,2,0,0.3149397224187851,0.3149397224187851,0.020480766892433163,0.02896417830708085,0.33429813385009766,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,srpr,2,2,0,0.3761813495113626,0.3761813495113626,0.0008472168868391138,0.0011981456116394063,0.4785135274331036,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,wrsa,2,2,0,0.4353893846273422,0.4353893846273422,0.01395629346370697,0.019737179496833377,0.411380335688591,9.0,0.75,,,,,,
ResNet50/ClusterFit/16K/RotNet_selfsupervised,crsa,2,2,0,0.21226508170366287,0.21226508170366287,0.0031276419758796688,0.004423153700536413,0.2308509796857834,12.0,1.0,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,srpr,2,2,0,0.34781424084252877,0.34781424084252877,0.006450305458911814,0.009122109461442318,0.4558173695756508,7.0,0.5833333333333334,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,wrsa,2,2,0,0.2824312895536423,0.2824312895536423,0.014523372054100037,0.02053914973029867,0.37150317430496216,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,crsa,2,2,0,0.3852929472923279,0.3852929472923279,0.008097529411315918,0.011451635915197995,0.3838689476251602,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,srpr,2,2,0,0.3697900226256849,0.3697900226256849,0.0016866185833750436,0.0023852388751594835,0.47606620945440264,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,wrsa,2,2,0,0.3255046308040619,0.3255046308040619,0.004168719053268433,0.0058954590228553466,0.4108758270740509,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/Goyal19_selfsupervised,crsa,2,2,0,0.020137103740125895,0.020137103740125895,0.030116458889096972,0.042591104611612696,0.19697682559490204,3.0,0.25,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,srpr,2,2,0,0.3295740194012242,0.3295740194012242,0.004408019078265796,0.006233880363682818,0.41027121611615713,3.0,0.25,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,wrsa,2,2,0,0.3052367866039276,0.3052367866039276,0.008101612329483032,0.011457410033443988,0.3495510071516037,3.0,0.25,,,,,,
ResNet50/JigSaw/P100_selfsupervised,crsa,2,2,0,0.21174493432044983,0.21174493432044983,0.0846015214920044,0.1196446190913915,0.20533595234155655,10.0,0.8333333333333333,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/P100_selfsupervised,srpr,2,2,0,0.32520735428549874,0.32520735428549874,0.0006418055263573974,0.0009076500797806343,0.4146169471426632,11.0,0.9166666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/P100_selfsupervised,wrsa,2,2,0,0.24788042902946472,0.24788042902946472,0.012226879596710205,0.01729141895117045,0.35565055906772614,11.0,0.9166666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/MoCoV2/BS256_selfsupervised,crsa,2,2,0,0.25862061977386475,0.25862061977386475,0.013235598802566527,0.01871796333271868,0.2775685787200928,9.0,0.75,,,,,,
ResNet50/MoCoV2/BS256_selfsupervised,srpr,2,2,0,0.37134292608908326,0.37134292608908326,0.0021074602116537278,0.0029803988134823557,0.471427745823511,9.0,0.75,,,,,,
ResNet50/MoCoV2/BS256_selfsupervised,wrsa,2,2,0,0.3136715590953827,0.3136715590953827,0.08499467372894287,0.12020062031694721,0.40919674932956696,10.5,0.875,,,,,,
ResNet50/PIRL_selfsupervised,crsa,2,2,0,0.29675446450710297,0.29675446450710297,0.01498545706272125,0.021192636616460078,0.32930710911750793,12.0,1.0,,,,,,
ResNet50/PIRL_selfsupervised,srpr,2,2,0,0.3788623447732795,0.3788623447732795,0.0003616934910835034,0.0005115118405123627,0.462982809539893,9.0,0.75,,,,,,
ResNet50/PIRL_selfsupervised,wrsa,2,2,0,0.4719124734401703,0.4719124734401703,0.04789373278617859,0.06773196645888672,0.3949544429779053,9.0,0.75,,,,,,
ResNet50/RotNet_selfsupervised,crsa,2,2,0,0.10164716839790344,0.10164716839790344,0.07769522070884705,0.10987763485802245,0.21405547112226486,8.0,0.6666666666666667,,,,,,
ResNet50/RotNet_selfsupervised,srpr,2,2,0,0.3286453572812982,0.3286453572812982,0.0023585139730327442,0.0033354424477093783,0.4189690342249188,9.0,0.75,,,,,,
ResNet50/RotNet_selfsupervised,wrsa,2,2,0,0.2579592913389206,0.2579592913389206,0.0219360738992691,0.03102229321356483,0.36368460953235626,12.0,1.0,,,,,,
ResNet50/SimCLR_selfsupervised,crsa,2,2,0,0.39769354462623596,0.39769354462623596,0.023545354604721066,0.03329815981288034,0.31676240265369415,5.0,0.4166666666666667,,,,,,
ResNet50/SimCLR_selfsupervised,srpr,2,2,0,0.3585945565195683,0.3585945565195683,0.012650303592694145,0.01789023090892515,0.4758229778194569,7.0,0.5833333333333334,,,,,,
ResNet50/SimCLR_selfsupervised,wrsa,2,2,0,0.3730241507291794,0.3730241507291794,0.008818253874778746,0.0124708942261612,0.4122983068227768,9.0,0.75,,,,,,
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,crsa,2,2,0,0.32923969626426697,0.32923969626426697,0.0013095438480377195,0.0018519746704171946,0.2809069752693176,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,srpr,2,2,0,0.3735842984643306,0.3735842984643306,0.0006876193187093649,0.0009724405662685315,0.4751463909384515,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,wrsa,2,2,0,0.1924985721707344,0.1924985721707344,0.14242463558912277,0.20141885126618322,0.40670304000377655,10.5,0.875,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ViT/B/CLIP_slip,crsa,2,2,0,-0.08231908455491066,-0.08231908455491066,0.04038995876908302,0.05712002747492733,0.10894491337239742,11.0,0.9166666666666666,,,,,,
ViT/B/CLIP_slip,srpr,2,2,0,0.3604142867284099,0.3604142867284099,0.0034278416178353532,0.004847700105609708,0.45981101730833196,7.0,0.5833333333333334,,,,,,
ViT/B/CLIP_slip,wrsa,2,2,0,0.381291002035141,0.381291002035141,0.06433525681495667,0.09098379272646781,0.3759760409593582,7.0,0.5833333333333334,,,,,,
ViT/B/SLIP_slip,crsa,2,2,0,0.045542290434241295,0.045542290434241295,0.0012705307453870773,0.0017968018115384024,0.1270962990820408,6.5,0.5416666666666667,,,,,,
ViT/B/SLIP_slip,srpr,2,2,0,0.35447364997185493,0.35447364997185493,0.005001764352683652,0.007073562983359525,0.4554723921009294,6.0,0.5,,,,,,
ViT/B/SLIP_slip,wrsa,2,2,0,0.37033821642398834,0.37033821642398834,0.028428629040718075,0.040204152749057136,0.3890291899442673,6.0,0.5,,,,,,
ViT/B/SimCLR_slip,crsa,2,2,0,0.04175960645079613,0.04175960645079613,0.05925543233752251,0.0837998360560056,0.12641948461532593,6.0,0.5,,,,,,
ViT/B/SimCLR_slip,srpr,2,2,0,0.3299912913698696,0.3299912913698696,0.0013008484466544845,0.001839677515850726,0.4542491811820394,6.0,0.5,,,,,,
ViT/B/SimCLR_slip,wrsa,2,2,0,0.32135099172592163,0.32135099172592163,0.05855846405029296,0.08281417405166164,0.3816545456647873,6.0,0.5,,,,,,
ViT/L/CLIP_slip,crsa,2,2,0,0.10450750775635242,0.10450750775635242,0.0779044907540083,0.11017358739408792,0.12296278402209282,9.0,0.8181818181818181,,,,,,
ViT/L/CLIP_slip,srpr,2,2,0,0.34095142868999284,0.34095142868999284,0.000543083767305802,0.0007680364292285196,0.4404984190945794,2.0,0.18181818181818182,,,,,,
ViT/L/CLIP_slip,wrsa,2,2,0,0.3702237606048584,0.3702237606048584,0.03411674499511719,0.04824836347611914,0.3666530102491379,6.0,0.5454545454545454,,,,,,
ViT/L/SLIP_slip,crsa,2,2,0,0.1615399718284607,0.1615399718284607,0.02358320355415344,0.033351686310489174,0.2436911091208458,11.0,1.0,,,,,,
ViT/L/SLIP_slip,srpr,2,2,0,0.33964116828452107,0.33964116828452107,0.007228136878895869,0.010222129204823651,0.44943101865747326,5.0,0.45454545454545453,,,,,,
ViT/L/SLIP_slip,wrsa,2,2,0,0.3911329358816147,0.3911329358816147,0.004210129380226135,0.005954022068861233,0.38621786236763,11.0,1.0,,,,,,
ViT/L/SimCLR_slip,crsa,2,2,0,0.14927810430526733,0.14927810430526733,0.02339547872543335,0.033086203311719055,0.20119621604681015,9.0,0.8181818181818182,,,,,,
ViT/L/SimCLR_slip,srpr,2,2,0,0.33751228726842175,0.33751228726842175,0.0031798183546318803,0.004496942243003305,0.4506528243205081,9.0,0.8181818181818181,,,,,,
ViT/L/SimCLR_slip,wrsa,2,2,0,0.41273707151412964,0.41273707151412964,0.0704948902130127,0.09969482981724492,0.37040776014328003,10.0,0.9090909090909091,,,,,,
ViT/S/CLIP_slip,crsa,2,2,0,-0.11611631140112877,-0.11611631140112877,0.04228024557232857,0.05979329670885206,0.1624385043978691,10.0,0.8333333333333334,,,,,,
ViT/S/CLIP_slip,srpr,2,2,0,0.35758954886777256,0.35758954886777256,0.0013147557162157542,0.0018593453650798718,0.4511258441262898,8.0,0.6666666666666666,,,,,,
ViT/S/CLIP_slip,wrsa,2,2,0,0.29744940996170044,0.29744940996170044,0.044851899147033684,0.0634301640719253,0.38475626707077026,8.5,0.7083333333333333,,,,,,
ViT/S/SLIP_slip,crsa,2,2,0,0.1356455460190773,0.1356455460190773,0.008456073701381683,0.011958694112920434,0.18014992028474808,9.5,0.7916666666666666,,,,,,
ViT/S/SLIP_slip,srpr,2,2,0,0.35151524777171295,0.35151524777171295,0.008816099356805579,0.012467847277623189,0.45672057390693865,7.5,0.625,,,,,,
