model,eval_type,mean,ci_lo,ci_hi,n_subjects,panel,group_label,group_color,x,x_start,x_end,mean_group,ci_lo_group,ci_hi_group,deepnsd_model,model_string,model_display_name,train_type,train_data,architecture,model_class,task_cluster,compare_architecture,compare_goal_slip,compare_goal_taskonomy_tasks,compare_goal_taskonomy_cluster,compare_diet_ipcl,compare_goal_selfsupervised,compare_goal_contrastive,compare_diet_imagenetsize
squeezenet1_0_classification,crsa,0.3234958440065384,0.292173957824707,0.35481773018836976,2,Fig2 architecture,Convolutional,#e69f00,0.0,-0.38,32.38,0.23250059838773626,0.21432310190305792,0.250161876819294,squeezenet1_0,squeezenet1_0_classification,SqueezeNet1.0,classification,imagenet,squeezenet1_0,Convolutional,Semantic,Convolutional,,,,,,,
vgg16_classification,crsa,0.33932301253080366,0.31882346570491793,0.35982255935668944,2,Fig2 architecture,Convolutional,#e69f00,1.0,-0.38,32.38,0.23250059838773626,0.21432310190305792,0.250161876819294,vgg16,vgg16_classification,VGG16,classification,imagenet,vgg16,Convolutional,Semantic,Convolutional,,,,,,,
alexnet_classification,crsa,0.2625800549983978,0.2610765159130096,0.264083594083786,2,Fig2 architecture,Convolutional,#e69f00,2.0,-0.38,32.38,0.23250059838773626,0.21432310190305792,0.250161876819294,alexnet,alexnet_classification,AlexNet,classification,imagenet,alexnet,Convolutional,Semantic,Convolutional,,,,,,,
densenet121_classification,crsa,0.19584673196077346,0.18174872696399688,0.20994473695755006,2,Fig2 architecture,Convolutional,#e69f00,3.0,-0.38,32.38,0.23250059838773626,0.21432310190305792,0.250161876819294,densenet121,densenet121_classification,DenseNet121,classification,imagenet,densenet121,Convolutional,Semantic,Convolutional,,,,,,,
regnety_064_classification,crsa,0.2166113168001175,0.18880451917648317,0.24441811442375183,2,Fig2 architecture,Convolutional,#e69f00,4.0,-0.38,32.38,0.23250059838773626,0.21432310190305792,0.250161876819294,regnety_064,regnety_064_classification,RegNetY-64,classification,imagenet,regnety_064,Convolutional,Semantic,Convolutional,,,,,,,
dla34_classification,crsa,0.24741820245981216,0.18435883820056914,0.3104775667190552,2,Fig2 architecture,Convolutional,#e69f00,5.0,-0.38,32.38,0.23250059838773626,0.21432310190305792,0.250161876819294,dla34,dla34_classification,DLA34,classification,imagenet,dla34,Convolutional,Semantic,Convolutional,,,,,,,
seresnext50_32x4d_classification,crsa,0.2446069732308388,0.19477901458740235,0.2944349318742752,2,Fig2 architecture,Convolutional,#e69f00,6.0,-0.38,32.38,0.23250059838773626,0.21432310190305792,0.250161876819294,seresnext50_32x4d,seresnext50_32x4d_classification,SEResNext50-32x4D,classification,imagenet,seresnext50_32x4d,Convolutional,Semantic,Convolutional,,,,,,,
nf_resnet50_classification,crsa,0.2481010362505913,0.21922751963138581,0.2769745528697968,2,Fig2 architecture,Convolutional,#e69f00,7.0,-0.38,32.38,0.23250059838773626,0.21432310190305792,0.250161876819294,nf_resnet50,nf_resnet50_classification,NF-ResNet50,classification,imagenet,nf_resnet50,Convolutional,Semantic,Convolutional,,,,,,,
hardcorenas_a_classification,crsa,0.24397907108068467,0.22068186700344086,0.26727627515792846,2,Fig2 architecture,Convolutional,#e69f00,8.0,-0.38,32.38,0.23250059838773626,0.21432310190305792,0.250161876819294,hardcorenas_a,hardcorenas_a_classification,HardCoreNAS-A,classification,imagenet,hardcorenas_a,Convolutional,Semantic,Convolutional,,,,,,,
resnet152_classification,crsa,0.17210493460297585,0.16876958757638932,0.17544028162956238,2,Fig2 architecture,Convolutional,#e69f00,9.0,-0.38,32.38,0.23250059838773626,0.21432310190305792,0.250161876819294,resnet152,resnet152_classification,ResNet152,classification,imagenet,resnet152,Convolutional,Semantic,Convolutional,,,,,,,
ghostnet_100_classification,crsa,0.19319817498326303,0.1745224580168724,0.21187389194965361,2,Fig2 architecture,Convolutional,#e69f00,10.0,-0.38,32.38,0.23250059838773626,0.21432310190305792,0.250161876819294,ghostnet_100,ghostnet_100_classification,GhostNet100,classification,imagenet,ghostnet_100,Convolutional,Semantic,Convolutional,,,,,,,
googlenet_classification,crsa,0.19990038722753523,0.18458485901355742,0.21521591544151306,2,Fig2 architecture,Convolutional,#e69f00,11.0,-0.38,32.38,0.23250059838773626,0.21432310190305792,0.250161876819294,googlenet,googlenet_classification,GoogleNet,classification,imagenet,googlenet,Convolutional,Semantic,Convolutional,,,,,,,
semnasnet_100_classification,crsa,0.21456333994865417,0.18814002573490143,0.24098665416240692,2,Fig2 architecture,Convolutional,#e69f00,12.0,-0.38,32.38,0.23250059838773626,0.21432310190305792,0.250161876819294,semnasnet_100,semnasnet_100_classification,SemNASNet100,classification,imagenet,semnasnet_100,Convolutional,Semantic,Convolutional,,,,,,,
