model,eval_type,n_subjects_total,n_subjects_test,n_nan_test,mean_test_score,median_test_score,sem_test_score,std_test_score,mean_train_score,median_selected_layer_index,median_selected_layer_fraction,model_class,train_type,train_data,model_source,task_cluster,comparison_group
ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,2,2,0,0.30261172056198116,0.30261172056198116,0.007520189881324774,0.010635154521790431,0.3323809325695038,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,srpr,2,2,0,0.37457649520915803,0.37457649520915803,0.006299036046453932,0.008908182206772152,0.4626648791656599,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,wrsa,2,2,0,0.47674276530742643,0.47674276530742643,0.021361163258552557,0.0302092467883109,0.39369863271713257,9.0,0.75,,,,,,
ResNet50/ClusterFit/16K/RotNet_selfsupervised,crsa,2,2,0,0.20659514516592026,0.20659514516592026,0.00374284535646438,0.005293182664977088,0.22838082909584045,12.0,1.0,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,srpr,2,2,0,0.3516008223465482,0.3516008223465482,0.006680158646422018,0.009447170956573915,0.4391363674960115,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,wrsa,2,2,0,0.38405588269233704,0.38405588269233704,0.0005545973777770773,0.0007843191333088978,0.35028187185525894,7.0,0.5833333333333334,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,crsa,2,2,0,0.33246370106935497,0.33246370106935497,0.0034020408987998907,0.00481121237883074,0.3752890884876251,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,srpr,2,2,0,0.37233684319305316,0.37233684319305316,0.009576952007823018,0.013543855415659539,0.45940320660527234,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,wrsa,2,2,0,0.4172365844249726,0.4172365844249726,0.04448265433311463,0.06290797304824501,0.3878197818994522,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/Goyal19_selfsupervised,crsa,2,2,0,0.15145522132515907,0.15145522132515907,0.027716403454542154,0.03919691366561802,0.1695690840482712,4.5,0.375,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,srpr,2,2,0,0.3058978981606023,0.3058978981606023,0.011452481075706039,0.01619625406008471,0.39717108088240555,3.0,0.25,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,wrsa,2,2,0,0.33413471281528473,0.33413471281528473,0.025724801421165455,0.03638036305916686,0.3334223732352257,3.0,0.25,,,,,,
ResNet50/JigSaw/P100_selfsupervised,crsa,2,2,0,0.2367879681289196,0.2367879681289196,0.023381117731332775,0.03306589379909287,0.21358808875083923,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/P100_selfsupervised,srpr,2,2,0,0.308030787653114,0.308030787653114,0.009160881274052818,0.012955442541055193,0.3992319964541385,11.0,0.9166666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/P100_selfsupervised,wrsa,2,2,0,0.32362822890281673,0.32362822890281673,0.026247268915176394,0.03711924367509623,0.33520769774913783,11.0,0.9166666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/MoCoV2/BS256_selfsupervised,crsa,2,2,0,0.24712456166744234,0.24712456166744234,0.008546486496925368,0.012086557114590387,0.2789287269115448,9.0,0.75,,,,,,
ResNet50/MoCoV2/BS256_selfsupervised,srpr,2,2,0,0.36800137929946497,0.36800137929946497,0.006506354980995138,0.009201375455737085,0.45474681303211534,9.0,0.75,,,,,,
ResNet50/MoCoV2/BS256_selfsupervised,wrsa,2,2,0,0.4402529954910278,0.4402529954910278,0.032991272211074806,0.046656704600844624,0.3873334974050522,9.0,0.75,,,,,,
ResNet50/PIRL_selfsupervised,crsa,2,2,0,0.30185705870389934,0.30185705870389934,0.005037488043308252,0.007124083911138816,0.32609899044036866,12.0,1.0,,,,,,
ResNet50/PIRL_selfsupervised,srpr,2,2,0,0.3583531046503686,0.3583531046503686,0.00609561802654479,0.008620505684185565,0.44807300520898175,9.0,0.75,,,,,,
ResNet50/PIRL_selfsupervised,wrsa,2,2,0,0.45418185293674473,0.45418185293674473,0.009998223185539251,0.014139622828622758,0.3791357636451721,9.0,0.75,,,,,,
ResNet50/RotNet_selfsupervised,crsa,2,2,0,0.19178233556449414,0.19178233556449414,0.00037899129092693046,0.0005359746236501426,0.20144306868314743,9.0,0.75,,,,,,
ResNet50/RotNet_selfsupervised,srpr,2,2,0,0.3180359326099028,0.3180359326099028,0.008317586204006605,0.011762843215913471,0.4029789161797812,9.0,0.75,,,,,,
ResNet50/RotNet_selfsupervised,wrsa,2,2,0,0.3122984811663628,0.3122984811663628,0.029664148390293132,0.041951440969800566,0.336810727417469,12.0,1.0,,,,,,
ResNet50/SimCLR_selfsupervised,crsa,2,2,0,0.31556732803583143,0.31556732803583143,0.008848516643047337,0.012513692243481577,0.33294598162174227,5.0,0.4166666666666667,,,,,,
ResNet50/SimCLR_selfsupervised,srpr,2,2,0,0.3704277942711291,0.3704277942711291,0.008660430734523716,0.012247698600756226,0.4602333092634053,9.0,0.75,,,,,,
ResNet50/SimCLR_selfsupervised,wrsa,2,2,0,0.4246684491634369,0.4246684491634369,0.04845476150512695,0.0685253808821043,0.392113584280014,9.0,0.75,,,,,,
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,crsa,2,2,0,0.23859509974718096,0.23859509974718096,0.0066225335001945515,0.009365676693245291,0.2821959465742111,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,srpr,2,2,0,0.37101946226797133,0.37101946226797133,0.010178056602076851,0.014393945685258123,0.4587411862658557,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,wrsa,2,2,0,0.43849276602268217,0.43849276602268217,0.03473618328571318,0.04912438150773321,0.385300412774086,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ViT/B/CLIP_slip,crsa,2,2,0,0.007001665979623794,0.007001665979623794,0.010486585181206464,0.014830270986242903,0.06407978544011712,10.5,0.875,,,,,,
ViT/B/CLIP_slip,srpr,2,2,0,0.35320014133835453,0.35320014133835453,0.007410368588328524,0.010479843759797748,0.4439426457281719,7.0,0.5833333333333334,,,,,,
ViT/B/CLIP_slip,wrsa,2,2,0,0.39979425370693206,0.39979425370693206,0.014380398392677296,0.02033695443925249,0.35614243447780614,7.0,0.5833333333333334,,,,,,
ViT/B/SLIP_slip,crsa,2,2,0,0.08833491373807192,0.08833491373807192,0.010213636048138137,0.01444426262041969,0.09660313092172146,7.0,0.5833333333333334,,,,,,
ViT/B/SLIP_slip,srpr,2,2,0,0.3473960062796997,0.3473960062796997,0.007823542158392843,0.011064159426196816,0.4399138188160274,6.0,0.5,,,,,,
ViT/B/SLIP_slip,wrsa,2,2,0,0.4203729867935181,0.4203729867935181,0.019923430681228618,0.02817598587839373,0.3699278503656387,6.0,0.5,,,,,,
ViT/B/SimCLR_slip,crsa,2,2,0,0.10637385249137879,0.10637385249137879,0.009366501122713089,0.013246232919723672,0.1163654163479805,7.5,0.625,,,,,,
ViT/B/SimCLR_slip,srpr,2,2,0,0.3406817868533587,0.3406817868533587,0.013443083377014496,0.01901139083188621,0.4362257757740099,8.0,0.6666666666666667,,,,,,
ViT/B/SimCLR_slip,wrsa,2,2,0,0.3979842603206635,0.3979842603206635,0.011171531677246077,0.015798931610442032,0.35747526288032533,6.0,0.5,,,,,,
ViT/L/CLIP_slip,crsa,2,2,0,0.09750800477340818,0.09750800477340818,0.05310042155906558,0.07509533633655924,0.11082130745053291,3.5,0.3181818181818182,,,,,,
ViT/L/CLIP_slip,srpr,2,2,0,0.3290031979241084,0.3290031979241084,0.007702919788170669,0.01089357363430305,0.4230794543632427,2.0,0.18181818181818182,,,,,,
ViT/L/CLIP_slip,wrsa,2,2,0,0.37861049473285674,0.37861049473285674,0.0155282884836197,0.021960316173976924,0.3473478928208351,4.0,0.36363636363636365,,,,,,
ViT/L/SLIP_slip,crsa,2,2,0,0.15784617364406586,0.15784617364406586,0.008653460443019872,0.012237841119977796,0.2313616186380386,11.0,1.0,,,,,,
ViT/L/SLIP_slip,srpr,2,2,0,0.3321091804561057,0.3321091804561057,0.00926086942531365,0.013096847140644874,0.43268153804878007,5.0,0.45454545454545453,,,,,,
ViT/L/SLIP_slip,wrsa,2,2,0,0.39372228384017943,0.39372228384017943,0.02652981877326965,0.03751882951645829,0.3672532498836517,11.0,1.0,,,,,,
ViT/L/SimCLR_slip,crsa,2,2,0,0.11817878820002078,0.11817878820002078,0.02679626457393169,0.037895640781391904,0.18068159967660902,9.0,0.8181818181818182,,,,,,
ViT/L/SimCLR_slip,srpr,2,2,0,0.3408349497737778,0.3408349497737778,0.012248978299116864,0.017322671235824795,0.4343604487521308,8.0,0.7272727272727273,,,,,,
ViT/L/SimCLR_slip,wrsa,2,2,0,0.44520757496356966,0.44520757496356966,0.008475241065025313,0.011985800858540173,0.35268007516860966,10.0,0.9090909090909091,,,,,,
ViT/S/CLIP_slip,crsa,2,2,0,0.04129903446882963,0.04129903446882963,0.009607146866619584,0.013586557394483601,0.10882994942367077,8.5,0.7083333333333334,,,,,,
