model,eval_type,mean,ci_lo,ci_hi,n_subjects,panel,group_label,group_color,x,x_start,x_end,mean_group,ci_lo_group,ci_hi_group,deepnsd_model,model_string,model_display_name,train_type,train_data,architecture,model_class,task_cluster,compare_architecture,compare_goal_slip,compare_goal_taskonomy_tasks,compare_goal_taskonomy_cluster,compare_diet_ipcl,compare_goal_selfsupervised,compare_goal_contrastive,compare_diet_imagenetsize
vgg16_classification,crsa,0.3715713918209076,0.35788214206695557,0.3852606415748596,2,Fig2 architecture,Convolutional,#e69f00,0.0,-0.38,32.38,0.16933652928811638,0.1379218825495407,0.2020252468378396,vgg16,vgg16_classification,VGG16,classification,imagenet,vgg16,Convolutional,Semantic,Convolutional,,,,,,,
hardcorenas_a_classification,crsa,0.17718078941106796,0.16857583820819855,0.18578574061393738,2,Fig2 architecture,Convolutional,#e69f00,1.0,-0.38,32.38,0.16933652928811638,0.1379218825495407,0.2020252468378396,hardcorenas_a,hardcorenas_a_classification,HardCoreNAS-A,classification,imagenet,hardcorenas_a,Convolutional,Semantic,Convolutional,,,,,,,
densenet121_classification,crsa,0.04424719326198101,0.02389978989958763,0.06459459662437439,2,Fig2 architecture,Convolutional,#e69f00,2.0,-0.38,32.38,0.16933652928811638,0.1379218825495407,0.2020252468378396,densenet121,densenet121_classification,DenseNet121,classification,imagenet,densenet121,Convolutional,Semantic,Convolutional,,,,,,,
regnety_064_classification,crsa,0.04488741047680378,0.039744313806295395,0.050030507147312164,2,Fig2 architecture,Convolutional,#e69f00,3.0,-0.38,32.38,0.16933652928811638,0.1379218825495407,0.2020252468378396,regnety_064,regnety_064_classification,RegNetY-64,classification,imagenet,regnety_064,Convolutional,Semantic,Convolutional,,,,,,,
squeezenet1_0_classification,crsa,0.30019432306289673,0.29956647753715515,0.3008221685886383,2,Fig2 architecture,Convolutional,#e69f00,4.0,-0.38,32.38,0.16933652928811638,0.1379218825495407,0.2020252468378396,squeezenet1_0,squeezenet1_0_classification,SqueezeNet1.0,classification,imagenet,squeezenet1_0,Convolutional,Semantic,Convolutional,,,,,,,
alexnet_classification,crsa,0.21836982667446136,0.2104593813419342,0.22628027200698853,2,Fig2 architecture,Convolutional,#e69f00,5.0,-0.38,32.38,0.16933652928811638,0.1379218825495407,0.2020252468378396,alexnet,alexnet_classification,AlexNet,classification,imagenet,alexnet,Convolutional,Semantic,Convolutional,,,,,,,
seresnext50_32x4d_classification,crsa,0.08863809332251549,0.07750830799341202,0.09976787865161896,2,Fig2 architecture,Convolutional,#e69f00,6.0,-0.38,32.38,0.16933652928811638,0.1379218825495407,0.2020252468378396,seresnext50_32x4d,seresnext50_32x4d_classification,SEResNext50-32x4D,classification,imagenet,seresnext50_32x4d,Convolutional,Semantic,Convolutional,,,,,,,
semnasnet_100_classification,crsa,0.13490094989538193,0.12839441001415253,0.14140748977661133,2,Fig2 architecture,Convolutional,#e69f00,7.0,-0.38,32.38,0.16933652928811638,0.1379218825495407,0.2020252468378396,semnasnet_100,semnasnet_100_classification,SemNASNet100,classification,imagenet,semnasnet_100,Convolutional,Semantic,Convolutional,,,,,,,
nf_resnet50_classification,crsa,0.2733995318412781,0.23190999031066895,0.3148890733718872,2,Fig2 architecture,Convolutional,#e69f00,8.0,-0.38,32.38,0.16933652928811638,0.1379218825495407,0.2020252468378396,nf_resnet50,nf_resnet50_classification,NF-ResNet50,classification,imagenet,nf_resnet50,Convolutional,Semantic,Convolutional,,,,,,,
mobilenetv3_large_100_classification,crsa,0.20207446068525314,0.18677492439746857,0.21737399697303772,2,Fig2 architecture,Convolutional,#e69f00,9.0,-0.38,32.38,0.16933652928811638,0.1379218825495407,0.2020252468378396,mobilenetv3_large_100,mobilenetv3_large_100_classification,MobileNet-V3-Large,classification,imagenet,mobilenetv3_large_100,Convolutional,Semantic,Convolutional,,,,,,,
