model,eval_type,n_subjects_total,n_subjects_test,n_nan_test,mean_test_score,median_test_score,sem_test_score,std_test_score,mean_train_score,median_selected_layer_index,median_selected_layer_fraction,model_class,train_type,train_data,model_source,task_cluster,comparison_group
ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,2,2,0,0.25205184519290924,0.25205184519290924,0.004072889685630798,0.005759935831468567,0.3290087729692459,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,srpr,2,2,0,0.37919596313746295,0.37919596313746295,0.029716873243686517,0.04202600517254361,0.4730669809807271,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,wrsa,2,2,0,0.4776170551776886,0.4776170551776886,0.02535811066627502,0.03586178402040398,0.4013982564210892,9.0,0.75,,,,,,
ResNet50/ClusterFit/16K/RotNet_selfsupervised,crsa,2,2,0,0.10622082650661469,0.10622082650661469,0.005785532295703887,0.008181978238131986,0.22526342421770096,12.0,1.0,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,srpr,2,2,0,0.36614689436790476,0.36614689436790476,0.020935256656104573,0.029606923894824697,0.45045654547827524,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,wrsa,2,2,0,0.29764585942029953,0.29764585942029953,0.06482765823602676,0.09168015349427693,0.3588223457336426,7.0,0.5833333333333334,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,crsa,2,2,0,0.23258738964796066,0.23258738964796066,0.0056801363825798035,0.00803292590837321,0.37637269496917725,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,srpr,2,2,0,0.3785236029810327,0.3785236029810327,0.029517380755157446,0.04174388018967423,0.4704425172622783,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,wrsa,2,2,0,0.2673081159591675,0.2673081159591675,0.013254910707473753,0.01874527449055374,0.39753393828868866,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/Goyal19_selfsupervised,crsa,2,2,0,-0.0022285087034106255,-0.0022285087034106255,0.027233713306486603,0.038514286711813984,0.1690470203757286,4.5,0.375,,,,,,
