model,eval_type,n_subjects_total,n_subjects_test,n_nan_test,mean_test_score,median_test_score,sem_test_score,std_test_score,mean_train_score,median_selected_layer_index,median_selected_layer_fraction,model_class,train_type,train_data,model_source,task_cluster,comparison_group
ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,2,2,0,0.306216299533844,0.306216299533844,0.0038652718067169185,0.005466319811317423,0.33162015676498413,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,srpr,2,2,0,0.459824039278632,0.459824039278632,0.02177981050793404,0.030801303406236366,0.46748148127789513,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,wrsa,2,2,0,0.5599973499774933,0.5599973499774933,0.023788660764694214,0.03364224668412328,0.40146273374557495,9.0,0.75,,,,,,
ResNet50/ClusterFit/16K/RotNet_selfsupervised,crsa,2,2,0,0.22205068171024323,0.22205068171024323,0.0014700740575790405,0.0020789986699211254,0.22546334564685822,12.0,1.0,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,srpr,2,2,0,0.43370248003076717,0.43370248003076717,0.023547283489291942,0.03330088766760074,0.446338436022784,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,wrsa,2,2,0,0.4798509180545807,0.4798509180545807,0.017130017280578613,0.02422550276187976,0.3573830872774124,7.0,0.5833333333333334,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,crsa,2,2,0,0.3616810142993927,0.3616810142993927,0.006663739681243896,0.009423951033338884,0.37697291374206543,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,srpr,2,2,0,0.4543407295810407,0.4543407295810407,0.024176723757531656,0.03419105063164909,0.46489003907784276,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,wrsa,2,2,0,0.49791696667671204,0.49791696667671204,0.03832390904426575,0.05419819193355354,0.3983823210000992,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/Goyal19_selfsupervised,crsa,2,2,0,0.19189117848873138,0.19189117848873138,0.009151339530944824,0.012941948478543209,0.1631218045949936,4.5,0.375,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,srpr,2,2,0,0.39504366070898106,0.39504366070898106,0.03314788098486077,0.04687818285271932,0.4031734479584602,3.0,0.25,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,wrsa,2,2,0,0.42253121733665466,0.42253121733665466,0.0362255573272705,0.05123067447675,0.3397716134786606,3.0,0.25,,,,,,
ResNet50/JigSaw/P100_selfsupervised,crsa,2,2,0,0.18436431884765625,0.18436431884765625,0.023288384079933163,0.032934748611595156,0.2120709791779518,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/P100_selfsupervised,srpr,2,2,0,0.399087981947813,0.399087981947813,0.03138142954300216,0.04438004326636937,0.4063277974710329,11.0,0.9166666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/P100_selfsupervised,wrsa,2,2,0,0.4131408631801605,0.4131408631801605,0.04498821496963501,0.06362294375701413,0.34187519550323486,11.0,0.9166666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/MoCoV2/BS256_selfsupervised,crsa,2,2,0,0.2769690528512001,0.2769690528512001,0.03023340553045273,0.04275649213789199,0.2730541527271271,10.5,0.875,,,,,,
ResNet50/MoCoV2/BS256_selfsupervised,srpr,2,2,0,0.4521903124553972,0.4521903124553972,0.022134315234770663,0.03130264879885409,0.46047815556752114,9.0,0.75,,,,,,
ResNet50/MoCoV2/BS256_selfsupervised,wrsa,2,2,0,0.5433337390422821,0.5433337390422821,0.020753711462020874,0.029350180219167875,0.400197297334671,9.0,0.75,,,,,,
ResNet50/PIRL_selfsupervised,crsa,2,2,0,0.3123919516801834,0.3123919516801834,0.0018916279077529905,0.0026751658421077214,0.32643887400627136,12.0,1.0,,,,,,
ResNet50/PIRL_selfsupervised,srpr,2,2,0,0.44839615813509326,0.44839615813509326,0.023509286939118662,0.033247152431022296,0.4522897016282805,9.0,0.75,,,,,,
ResNet50/PIRL_selfsupervised,wrsa,2,2,0,0.5251348614692688,0.5251348614692688,0.007835388183593748,0.011080912235696171,0.3878973126411438,9.0,0.75,,,,,,
ResNet50/RotNet_selfsupervised,crsa,2,2,0,0.17888539284467697,0.17888539284467697,0.0014785304665565489,0.0020909578381860913,0.20013900101184845,9.0,0.75,,,,,,
ResNet50/RotNet_selfsupervised,srpr,2,2,0,0.4005916048453736,0.4005916048453736,0.02677567925910179,0.03786652874997374,0.40956263869662834,9.0,0.75,,,,,,
ResNet50/RotNet_selfsupervised,wrsa,2,2,0,0.4521317183971405,0.4521317183971405,0.0111752450466156,0.015804183107766535,0.3453231751918793,12.0,1.0,,,,,,
ResNet50/SimCLR_selfsupervised,crsa,2,2,0,0.29582226276397705,0.29582226276397705,0.025397181510925293,0.035917038538801765,0.33327871561050415,5.0,0.4166666666666667,,,,,,
ResNet50/SimCLR_selfsupervised,srpr,2,2,0,0.4539527704159576,0.4539527704159576,0.02198225456290367,0.03108760253439625,0.4662462314746273,9.0,0.75,,,,,,
ResNet50/SimCLR_selfsupervised,wrsa,2,2,0,0.513938695192337,0.513938695192337,0.03365626931190491,0.047597152519777315,0.4038102328777313,9.0,0.75,,,,,,
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,crsa,2,2,0,0.24745647609233856,0.24745647609233856,0.018520548939704895,0.02619201149312531,0.2889273166656494,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,srpr,2,2,0,0.4522587502542329,0.4522587502542329,0.024298640535165696,0.03436346699205995,0.46606969925805264,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,wrsa,2,2,0,0.5031083673238754,0.5031083673238754,0.029011145234107968,0.04102795505005107,0.39818911254405975,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ViT/B/CLIP_slip,crsa,2,2,0,0.007171491160988808,0.007171491160988808,0.02985272742807865,0.042218132002616114,0.08877585828304291,10.5,0.875,,,,,,
ViT/B/CLIP_slip,srpr,2,2,0,0.44470128121530905,0.44470128121530905,0.0209062254729489,0.02956586760187421,0.4481900855800208,7.0,0.5833333333333334,,,,,,
ViT/B/CLIP_slip,wrsa,2,2,0,0.5081410259008408,0.5081410259008408,0.03247542679309845,0.04592718901465442,0.3613850325345993,7.0,0.5833333333333334,,,,,,
ViT/B/SLIP_slip,crsa,2,2,0,0.04662792198359966,0.04662792198359966,0.0046448130160570145,0.00656875756199491,0.10748017579317093,6.5,0.5416666666666667,,,,,,
ViT/B/SLIP_slip,srpr,2,2,0,0.4398696435531494,0.4398696435531494,0.023347186508353098,0.0330179078033671,0.445547617598601,6.0,0.5,,,,,,
ViT/B/SLIP_slip,wrsa,2,2,0,0.5094509869813919,0.5094509869813919,0.0444103330373764,0.06280569529096364,0.37990088760852814,6.0,0.5,,,,,,
ViT/B/SimCLR_slip,crsa,2,2,0,0.07740750908851624,0.07740750908851624,0.008125729858875275,0.01149151737060143,0.11474649608135223,4.0,0.3333333333333333,,,,,,
ViT/B/SimCLR_slip,srpr,2,2,0,0.4348060304476772,0.4348060304476772,0.02260089636222531,0.031962494157247806,0.4395709116428749,9.5,0.7916666666666667,,,,,,
ViT/B/SimCLR_slip,wrsa,2,2,0,0.5059883445501328,0.5059883445501328,0.027781859040260315,0.03928948184267372,0.3622216433286667,6.0,0.5,,,,,,
ViT/L/CLIP_slip,crsa,2,2,0,0.0905537623912096,0.0905537623912096,0.044069675728678696,0.06232393310488183,0.11521773412823677,3.5,0.3181818181818182,,,,,,
ViT/L/CLIP_slip,srpr,2,2,0,0.4326158519847893,0.4326158519847893,0.03128029335963595,0.044237015104206225,0.42565663058026515,2.0,0.18181818181818182,,,,,,
ViT/L/CLIP_slip,wrsa,2,2,0,0.5225578099489212,0.5225578099489212,0.056924626231193536,0.08050357844917315,0.3512731343507767,5.0,0.45454545454545453,,,,,,
ViT/L/SLIP_slip,crsa,2,2,0,0.18928152322769165,0.18928152322769165,0.016755372285842896,0.02369567472924931,0.24247245490550995,11.0,1.0,,,,,,
ViT/L/SLIP_slip,srpr,2,2,0,0.4334141695911876,0.4334141695911876,0.0221126239671047,0.03127197271393584,0.439000601742917,5.0,0.45454545454545453,,,,,,
ViT/L/SLIP_slip,wrsa,2,2,0,0.49468910694122314,0.49468910694122314,0.06212031841278076,0.08785139679828965,0.3735376447439194,11.0,1.0,,,,,,
ViT/L/SimCLR_slip,crsa,2,2,0,0.16880150884389877,0.16880150884389877,0.01266234368085861,0.017907258164899506,0.18967366218566895,9.0,0.8181818181818182,,,,,,
ViT/L/SimCLR_slip,srpr,2,2,0,0.4302160160061972,0.4302160160061972,0.022406116851650698,0.03168703433172075,0.44065198119841265,8.0,0.7272727272727273,,,,,,
ViT/L/SimCLR_slip,wrsa,2,2,0,0.5461969673633575,0.5461969673633575,0.0212196409702301,0.03000910404878719,0.3584940433502197,7.5,0.6818181818181818,,,,,,
ViT/S/CLIP_slip,crsa,2,2,0,0.06101454608142376,0.06101454608142376,0.005699867382645607,0.008060829756265453,0.13148380815982819,10.0,0.8333333333333334,,,,,,
ViT/S/CLIP_slip,srpr,2,2,0,0.44470837630164606,0.44470837630164606,0.01994438528096412,0.028205620157533813,0.43922937576749305,8.0,0.6666666666666666,,,,,,
ViT/S/CLIP_slip,wrsa,2,2,0,0.502648264169693,0.502648264169693,0.044352322816848755,0.06272365645033719,0.36705465614795685,8.0,0.6666666666666666,,,,,,
ViT/S/SLIP_slip,crsa,2,2,0,0.11689577624201775,0.11689577624201775,0.006399568170309066,0.009050356099782254,0.1764807403087616,9.5,0.7916666666666666,,,,,,
ViT/S/SLIP_slip,srpr,2,2,0,0.43624048715567515,0.43624048715567515,0.023810588185542544,0.033673256740074854,0.4442260129919602,9.0,0.75,,,,,,
ViT/S/SLIP_slip,wrsa,2,2,0,0.49943019449710846,0.49943019449710846,0.05976168811321258,0.08451578984001622,0.3758419454097748,6.0,0.5,,,,,,
ViT/S/SimCLR_slip,crsa,2,2,0,0.19363383948802948,0.19363383948802948,0.09025047719478607,0.1276334488595102,0.16354666650295258,8.0,0.6666666666666667,,,,,,
ViT/S/SimCLR_slip,srpr,2,2,0,0.4438006734165265,0.4438006734165265,0.018965813089070218,0.026821710091996253,0.44590809702173184,10.0,0.8333333333333334,,,,,,
