model,eval_type,mean,ci_lo,ci_hi,n_subjects,panel,group_label,group_color,x,x_start,x_end,mean_group,ci_lo_group,ci_hi_group,deepnsd_model,model_string,model_display_name,train_type,train_data,architecture,model_class,task_cluster,compare_architecture,compare_goal_slip,compare_goal_taskonomy_tasks,compare_goal_taskonomy_cluster,compare_diet_ipcl,compare_goal_selfsupervised,compare_goal_contrastive,compare_diet_imagenetsize
vgg16_classification,crsa,0.3675217926502228,0.35421353578567505,0.3808300495147705,2,Fig2 architecture,Convolutional,#e69f00,0.0,-0.38,32.38,0.278663077137687,0.25734027187819736,0.2983420637041104,vgg16,vgg16_classification,VGG16,classification,imagenet,vgg16,Convolutional,Semantic,Convolutional,,,,,,,
squeezenet1_0_classification,crsa,0.3574950397014618,0.33518072962760925,0.37980934977531433,2,Fig2 architecture,Convolutional,#e69f00,1.0,-0.38,32.38,0.278663077137687,0.25734027187819736,0.2983420637041104,squeezenet1_0,squeezenet1_0_classification,SqueezeNet1.0,classification,imagenet,squeezenet1_0,Convolutional,Semantic,Convolutional,,,,,,,
alexnet_classification,crsa,0.31433406472206116,0.3126552700996399,0.3160128593444824,2,Fig2 architecture,Convolutional,#e69f00,2.0,-0.38,32.38,0.278663077137687,0.25734027187819736,0.2983420637041104,alexnet,alexnet_classification,AlexNet,classification,imagenet,alexnet,Convolutional,Semantic,Convolutional,,,,,,,
dla34_classification,crsa,0.261092834174633,0.2282184511423111,0.29396721720695496,2,Fig2 architecture,Convolutional,#e69f00,3.0,-0.38,32.38,0.278663077137687,0.25734027187819736,0.2983420637041104,dla34,dla34_classification,DLA34,classification,imagenet,dla34,Convolutional,Semantic,Convolutional,,,,,,,
densenet121_classification,crsa,0.28514502942562103,0.2583068609237671,0.311983197927475,2,Fig2 architecture,Convolutional,#e69f00,4.0,-0.38,32.38,0.278663077137687,0.25734027187819736,0.2983420637041104,densenet121,densenet121_classification,DenseNet121,classification,imagenet,densenet121,Convolutional,Semantic,Convolutional,,,,,,,
resnet152_classification,crsa,0.21951597929000854,0.1971578449010849,0.2418741136789322,2,Fig2 architecture,Convolutional,#e69f00,5.0,-0.38,32.38,0.278663077137687,0.25734027187819736,0.2983420637041104,resnet152,resnet152_classification,ResNet152,classification,imagenet,resnet152,Convolutional,Semantic,Convolutional,,,,,,,
regnety_064_classification,crsa,0.29114334285259247,0.2617683410644531,0.3205183446407318,2,Fig2 architecture,Convolutional,#e69f00,6.0,-0.38,32.38,0.278663077137687,0.25734027187819736,0.2983420637041104,regnety_064,regnety_064_classification,RegNetY-64,classification,imagenet,regnety_064,Convolutional,Semantic,Convolutional,,,,,,,
efficientnet_b3_classification,crsa,0.24832089245319366,0.23890379071235657,0.25773799419403076,2,Fig2 architecture,Convolutional,#e69f00,7.0,-0.38,32.38,0.278663077137687,0.25734027187819736,0.2983420637041104,efficientnet_b3,efficientnet_b3_classification,EfficientNet-B3,classification,imagenet,efficientnet_b3,Convolutional,Semantic,Convolutional,,,,,,,
nfnet_l0_classification,crsa,0.34274283051490784,0.3325401544570923,0.3529455065727234,2,Fig2 architecture,Convolutional,#e69f00,8.0,-0.38,32.38,0.278663077137687,0.25734027187819736,0.2983420637041104,nfnet_l0,nfnet_l0_classification,NF-Net-L0,classification,imagenet,nfnet_l0,Convolutional,Semantic,Convolutional,,,,,,,
hardcorenas_a_classification,crsa,0.31205663084983826,0.2754005193710327,0.3487127423286438,2,Fig2 architecture,Convolutional,#e69f00,9.0,-0.38,32.38,0.278663077137687,0.25734027187819736,0.2983420637041104,hardcorenas_a,hardcorenas_a_classification,HardCoreNAS-A,classification,imagenet,hardcorenas_a,Convolutional,Semantic,Convolutional,,,,,,,
nf_resnet50_classification,crsa,0.320919930934906,0.3153657913208008,0.32647407054901123,2,Fig2 architecture,Convolutional,#e69f00,10.0,-0.38,32.38,0.278663077137687,0.25734027187819736,0.2983420637041104,nf_resnet50,nf_resnet50_classification,NF-ResNet50,classification,imagenet,nf_resnet50,Convolutional,Semantic,Convolutional,,,,,,,
seresnext50_32x4d_classification,crsa,0.2643083930015564,0.24704551696777344,0.28157126903533936,2,Fig2 architecture,Convolutional,#e69f00,11.0,-0.38,32.38,0.278663077137687,0.25734027187819736,0.2983420637041104,seresnext50_32x4d,seresnext50_32x4d_classification,SEResNext50-32x4D,classification,imagenet,seresnext50_32x4d,Convolutional,Semantic,Convolutional,,,,,,,
semnasnet_100_classification,crsa,0.31660300493240356,0.28769969940185547,0.34550631046295166,2,Fig2 architecture,Convolutional,#e69f00,12.0,-0.38,32.38,0.278663077137687,0.25734027187819736,0.2983420637041104,semnasnet_100,semnasnet_100_classification,SemNASNet100,classification,imagenet,semnasnet_100,Convolutional,Semantic,Convolutional,,,,,,,
resnet18_classification,crsa,0.237552672624588,0.23475079238414764,0.24035455286502838,2,Fig2 architecture,Convolutional,#e69f00,13.0,-0.38,32.38,0.278663077137687,0.25734027187819736,0.2983420637041104,resnet18,resnet18_classification,ResNet18,classification,imagenet,resnet18,Convolutional,Semantic,Convolutional,,,,,,,
resnet50_classification,crsa,0.28125327825546265,0.27221670746803284,0.29028984904289246,2,Fig2 architecture,Convolutional,#e69f00,14.0,-0.38,32.38,0.278663077137687,0.25734027187819736,0.2983420637041104,resnet50,resnet50_classification,ResNet50,classification,imagenet,resnet50,Convolutional,Semantic,Convolutional,,,,,,,
gmixer_24_224_classification,crsa,0.07503755763173103,0.0475572869181633,0.10251782834529877,2,Fig2 architecture,Convolutional,#e69f00,15.0,-0.38,32.38,0.278663077137687,0.25734027187819736,0.2983420637041104,gmixer_24_224,gmixer_24_224_classification,GMixer-24,classification,imagenet,gmixer_24_224,Convolutional,Semantic,Convolutional,,,,,,,
convnext_large_classification,crsa,0.24214854836463928,0.23938725888729095,0.2449098378419876,2,Fig2 architecture,Convolutional,#e69f00,16.0,-0.38,32.38,0.278663077137687,0.25734027187819736,0.2983420637041104,convnext_large,convnext_large_classification,ConvNext-L,classification,imagenet,convnext_large,Convolutional,Semantic,Convolutional,,,,,,,imagenet
skresnext50_32x4d_classification,crsa,0.31998734176158905,0.29789334535598755,0.34208133816719055,2,Fig2 architecture,Convolutional,#e69f00,17.0,-0.38,32.38,0.278663077137687,0.25734027187819736,0.2983420637041104,skresnext50_32x4d,skresnext50_32x4d_classification,SKResNext50-32x4D,classification,imagenet,skresnext50_32x4d,Convolutional,Semantic,Convolutional,,,,,,,
googlenet_classification,crsa,0.29726624488830566,0.28196027874946594,0.3125722110271454,2,Fig2 architecture,Convolutional,#e69f00,18.0,-0.38,32.38,0.278663077137687,0.25734027187819736,0.2983420637041104,googlenet,googlenet_classification,GoogleNet,classification,imagenet,googlenet,Convolutional,Semantic,Convolutional,,,,,,,
