model,eval_type,mean,ci_lo,ci_hi,n_subjects,panel,group_label,group_color,x,x_start,x_end,mean_group,ci_lo_group,ci_hi_group,deepnsd_model,model_string,model_display_name,train_type,train_data,architecture,model_class,task_cluster,compare_architecture,compare_goal_slip,compare_goal_taskonomy_tasks,compare_goal_taskonomy_cluster,compare_diet_ipcl,compare_goal_selfsupervised,compare_goal_contrastive,compare_diet_imagenetsize
squeezenet1_0_classification,crsa,0.328445240855217,0.29424325823783876,0.3626472234725952,2,Fig2 architecture,Convolutional,#e69f00,0.0,-0.38,32.38,0.27363143265247347,0.2535431397536939,0.29074843790269256,squeezenet1_0,squeezenet1_0_classification,SqueezeNet1.0,classification,imagenet,squeezenet1_0,Convolutional,Semantic,Convolutional,,,,,,,
vgg16_classification,crsa,0.35030034482479094,0.3267956733703613,0.3738050162792206,2,Fig2 architecture,Convolutional,#e69f00,1.0,-0.38,32.38,0.27363143265247347,0.2535431397536939,0.29074843790269256,vgg16,vgg16_classification,VGG16,classification,imagenet,vgg16,Convolutional,Semantic,Convolutional,,,,,,,
alexnet_classification,crsa,0.2839527532458306,0.2800931423902512,0.2878123641014099,2,Fig2 architecture,Convolutional,#e69f00,2.0,-0.38,32.38,0.27363143265247347,0.2535431397536939,0.29074843790269256,alexnet,alexnet_classification,AlexNet,classification,imagenet,alexnet,Convolutional,Semantic,Convolutional,,,,,,,
densenet121_classification,crsa,0.2723857626318932,0.24674075543880464,0.29803076982498167,2,Fig2 architecture,Convolutional,#e69f00,3.0,-0.38,32.38,0.27363143265247347,0.2535431397536939,0.29074843790269256,densenet121,densenet121_classification,DenseNet121,classification,imagenet,densenet121,Convolutional,Semantic,Convolutional,,,,,,,
hardcorenas_a_classification,crsa,0.28495377004146577,0.26230111718177795,0.3076064229011536,2,Fig2 architecture,Convolutional,#e69f00,4.0,-0.38,32.38,0.27363143265247347,0.2535431397536939,0.29074843790269256,hardcorenas_a,hardcorenas_a_classification,HardCoreNAS-A,classification,imagenet,hardcorenas_a,Convolutional,Semantic,Convolutional,,,,,,,
dla34_classification,crsa,0.25332249999046325,0.2291354238986969,0.2775095760822296,2,Fig2 architecture,Convolutional,#e69f00,5.0,-0.38,32.38,0.27363143265247347,0.2535431397536939,0.29074843790269256,dla34,dla34_classification,DLA34,classification,imagenet,dla34,Convolutional,Semantic,Convolutional,,,,,,,
regnety_064_classification,crsa,0.2782519981265068,0.24502553641796113,0.3114784598350525,2,Fig2 architecture,Convolutional,#e69f00,6.0,-0.38,32.38,0.27363143265247347,0.2535431397536939,0.29074843790269256,regnety_064,regnety_064_classification,RegNetY-64,classification,imagenet,regnety_064,Convolutional,Semantic,Convolutional,,,,,,,
resnet152_classification,crsa,0.2265392556786537,0.2222593754529953,0.23081913590431213,2,Fig2 architecture,Convolutional,#e69f00,7.0,-0.38,32.38,0.27363143265247347,0.2535431397536939,0.29074843790269256,resnet152,resnet152_classification,ResNet152,classification,imagenet,resnet152,Convolutional,Semantic,Convolutional,,,,,,,
regnetx_064_classification,crsa,0.29450744539499285,0.2834110468626022,0.30560384392738343,2,Fig2 architecture,Convolutional,#e69f00,8.0,-0.38,32.38,0.27363143265247347,0.2535431397536939,0.29074843790269256,regnetx_064,regnetx_064_classification,RegNetX-64,classification,imagenet,regnetx_064,Convolutional,Semantic,Convolutional,,,,,,,
nfnet_l0_classification,crsa,0.3567660421133041,0.3560613453388214,0.35747073888778685,2,Fig2 architecture,Convolutional,#e69f00,9.0,-0.38,32.38,0.27363143265247347,0.2535431397536939,0.29074843790269256,nfnet_l0,nfnet_l0_classification,NF-Net-L0,classification,imagenet,nfnet_l0,Convolutional,Semantic,Convolutional,,,,,,,
seresnext50_32x4d_classification,crsa,0.26885044425725935,0.25315817892551423,0.2845427095890045,2,Fig2 architecture,Convolutional,#e69f00,10.0,-0.38,32.38,0.27363143265247347,0.2535431397536939,0.29074843790269256,seresnext50_32x4d,seresnext50_32x4d_classification,SEResNext50-32x4D,classification,imagenet,seresnext50_32x4d,Convolutional,Semantic,Convolutional,,,,,,,
resnet18_classification,crsa,0.2807826280593872,0.2768977046012878,0.2846675515174866,2,Fig2 architecture,Convolutional,#e69f00,11.0,-0.38,32.38,0.27363143265247347,0.2535431397536939,0.29074843790269256,resnet18,resnet18_classification,ResNet18,classification,imagenet,resnet18,Convolutional,Semantic,Convolutional,,,,,,,
googlenet_classification,crsa,0.3043693840503693,0.28327091932296755,0.325467848777771,2,Fig2 architecture,Convolutional,#e69f00,12.0,-0.38,32.38,0.27363143265247347,0.2535431397536939,0.29074843790269256,googlenet,googlenet_classification,GoogleNet,classification,imagenet,googlenet,Convolutional,Semantic,Convolutional,,,,,,,
semnasnet_100_classification,crsa,0.2999527513980865,0.27285038828849795,0.32705511450767516,2,Fig2 architecture,Convolutional,#e69f00,13.0,-0.38,32.38,0.27363143265247347,0.2535431397536939,0.29074843790269256,semnasnet_100,semnasnet_100_classification,SemNASNet100,classification,imagenet,semnasnet_100,Convolutional,Semantic,Convolutional,,,,,,,
ghostnet_100_classification,crsa,0.20837498605251312,0.19505082368850707,0.22169914841651917,2,Fig2 architecture,Convolutional,#e69f00,14.0,-0.38,32.38,0.27363143265247347,0.2535431397536939,0.29074843790269256,ghostnet_100,ghostnet_100_classification,GhostNet100,classification,imagenet,ghostnet_100,Convolutional,Semantic,Convolutional,,,,,,,
resnet50_classification,crsa,0.29513037502765654,0.2928592264652252,0.29740152359008787,2,Fig2 architecture,Convolutional,#e69f00,15.0,-0.38,32.38,0.27363143265247347,0.2535431397536939,0.29074843790269256,resnet50,resnet50_classification,ResNet50,classification,imagenet,resnet50,Convolutional,Semantic,Convolutional,,,,,,,
nf_resnet50_classification,crsa,0.2899818316102028,0.2850474208593369,0.2949162423610687,2,Fig2 architecture,Convolutional,#e69f00,16.0,-0.38,32.38,0.27363143265247347,0.2535431397536939,0.29074843790269256,nf_resnet50,nf_resnet50_classification,NF-ResNet50,classification,imagenet,nf_resnet50,Convolutional,Semantic,Convolutional,,,,,,,
convnext_large_classification,crsa,0.23683614432811737,0.22904643416404724,0.2446258544921875,2,Fig2 architecture,Convolutional,#e69f00,17.0,-0.38,32.38,0.27363143265247347,0.2535431397536939,0.29074843790269256,convnext_large,convnext_large_classification,ConvNext-L,classification,imagenet,convnext_large,Convolutional,Semantic,Convolutional,,,,,,,imagenet
resnet101_classification,crsa,0.30215430110692976,0.27804899513721465,0.3262596070766449,2,Fig2 architecture,Convolutional,#e69f00,18.0,-0.38,32.38,0.27363143265247347,0.2535431397536939,0.29074843790269256,resnet101,resnet101_classification,ResNet101,classification,imagenet,resnet101,Convolutional,Semantic,Convolutional,,,,,,,
shufflenet_v2_x1_0_classification,crsa,0.3018875926733017,0.2882495403289795,0.3155256450176239,2,Fig2 architecture,Convolutional,#e69f00,19.0,-0.38,32.38,0.27363143265247347,0.2535431397536939,0.29074843790269256,shufflenet_v2_x1_0,shufflenet_v2_x1_0_classification,ShuffleNet-V2-x1.0,classification,imagenet,shufflenet_v2_x1_0,Convolutional,Semantic,Convolutional,,,,,,,
efficientnet_b3_classification,crsa,0.2663025885820389,0.2593777269124985,0.2732274502515793,2,Fig2 architecture,Convolutional,#e69f00,20.0,-0.38,32.38,0.27363143265247347,0.2535431397536939,0.29074843790269256,efficientnet_b3,efficientnet_b3_classification,EfficientNet-B3,classification,imagenet,efficientnet_b3,Convolutional,Semantic,Convolutional,,,,,,,
gmixer_24_224_classification,crsa,0.0774318665266037,0.050788885354995726,0.10407484769821167,2,Fig2 architecture,Convolutional,#e69f00,21.0,-0.38,32.38,0.27363143265247347,0.2535431397536939,0.29074843790269256,gmixer_24_224,gmixer_24_224_classification,GMixer-24,classification,imagenet,gmixer_24_224,Convolutional,Semantic,Convolutional,,,,,,,
xception_classification,crsa,0.3006773248314858,0.26185178458690644,0.3395028650760651,2,Fig2 architecture,Convolutional,#e69f00,22.0,-0.38,32.38,0.27363143265247347,0.2535431397536939,0.29074843790269256,xception,xception_classification,XCeption,classification,imagenet,xception,Convolutional,Semantic,Convolutional,,,,,,,
