model,eval_type,n_subjects_total,n_subjects_test,n_nan_test,mean_test_score,median_test_score,sem_test_score,std_test_score,mean_train_score,median_selected_layer_index,median_selected_layer_fraction,model_class,train_type,train_data,model_source,task_cluster,comparison_group
ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,2,2,0,0.3413343816995621,0.3413343816995621,0.006278094649314864,0.008878566598923021,0.3250889122486115,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,srpr,2,2,0,0.46934859905100856,0.46934859905100856,0.014454215996762247,0.0204413482960913,0.46586225406170423,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,wrsa,2,2,0,0.5706761717796326,0.5706761717796326,0.029106044769287128,0.041162163259764344,0.40084035396575923,9.0,0.75,,,,,,
ResNet50/ClusterFit/16K/RotNet_selfsupervised,crsa,2,2,0,0.23215364813804626,0.23215364813804626,0.002811515331268305,0.003976083112299522,0.22326121032238005,12.0,1.0,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,srpr,2,2,0,0.4449808764803519,0.4449808764803519,0.014444573981747727,0.020427712427689156,0.443185379500458,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,wrsa,2,2,0,0.4995244920253754,0.4995244920253754,0.017367511987686185,0.024561370997663094,0.3572473704814911,7.0,0.5833333333333334,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,crsa,2,2,0,0.4001247465610504,0.4001247465610504,0.009142804145812977,0.012929877621129673,0.3702112793922424,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,srpr,2,2,0,0.46624726807193706,0.46624726807193706,0.01832442753333227,0.02591465394036148,0.46275746798872963,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,wrsa,2,2,0,0.5226078689098358,0.5226078689098358,0.05184441208839415,0.07331907070866668,0.3964228004217148,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/Goyal19_selfsupervised,crsa,2,2,0,0.18282000720500946,0.18282000720500946,0.0071164429187774705,0.010064170091589074,0.1658950686454773,4.5,0.375,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,srpr,2,2,0,0.4054047910956521,0.4054047910956521,0.022846258670916605,0.032309488861894185,0.3999014821390239,3.0,0.25,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,wrsa,2,2,0,0.4406705170869827,0.4406705170869827,0.030663838982582098,0.04336521696359243,0.336617648601532,3.0,0.25,,,,,,
ResNet50/JigSaw/P100_selfsupervised,crsa,2,2,0,0.22368376553058625,0.22368376553058625,0.027155703306198126,0.03840396391140529,0.2025084063410759,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/P100_selfsupervised,srpr,2,2,0,0.40720882736160213,0.40720882736160213,0.02043256829998663,0.02889601520395567,0.402962428059778,11.0,0.9166666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/P100_selfsupervised,wrsa,2,2,0,0.41936647295951845,0.41936647295951845,0.04125213027000426,0.058339322104621706,0.3392099589109421,11.0,0.9166666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/MoCoV2/BS256_selfsupervised,crsa,2,2,0,0.29274476915597913,0.29274476915597913,0.01234592050313951,0.017459768215519946,0.27303544580936434,9.0,0.75,,,,,,
ResNet50/MoCoV2/BS256_selfsupervised,srpr,2,2,0,0.4632083780237183,0.4632083780237183,0.018122496031534957,0.025629079671849308,0.45739619056632674,9.0,0.75,,,,,,
ResNet50/MoCoV2/BS256_selfsupervised,wrsa,2,2,0,0.5287702143192291,0.5287702143192291,0.007791668176651,0.01101908280893069,0.3962879002094269,10.5,0.875,,,,,,
ResNet50/PIRL_selfsupervised,crsa,2,2,0,0.3358014315366745,0.3358014315366745,0.011794796586036686,0.016680361297404984,0.32200958132743834,12.0,1.0,,,,,,
ResNet50/PIRL_selfsupervised,srpr,2,2,0,0.45685611713363106,0.45685611713363106,0.017019508847595757,0.024069220237198787,0.45068542376395465,9.0,0.75,,,,,,
ResNet50/PIRL_selfsupervised,wrsa,2,2,0,0.5527271091938019,0.5527271091938019,0.0008194744586944579,0.0011589118935040532,0.38395934998989106,9.0,0.75,,,,,,
ResNet50/RotNet_selfsupervised,crsa,2,2,0,0.20201371014118197,0.20201371014118197,0.0011371850967407252,0.0016082225867392842,0.19499580264091493,9.0,0.75,,,,,,
ResNet50/RotNet_selfsupervised,srpr,2,2,0,0.4106924083567312,0.4106924083567312,0.0175420356150891,0.024808184678490865,0.40643845209041196,9.0,0.75,,,,,,
ResNet50/RotNet_selfsupervised,wrsa,2,2,0,0.4298674792051315,0.4298674792051315,0.029488953948020924,0.04170367861348682,0.34713844656944276,12.0,1.0,,,,,,
ResNet50/SimCLR_selfsupervised,crsa,2,2,0,0.3420765608549118,0.3420765608549118,0.018049964308738703,0.02552650432576856,0.3236298769712448,5.0,0.4166666666666667,,,,,,
ResNet50/SimCLR_selfsupervised,srpr,2,2,0,0.4670966942709944,0.4670966942709944,0.01768059456739496,0.025004136628030017,0.463164915827189,9.0,0.75,,,,,,
ResNet50/SimCLR_selfsupervised,wrsa,2,2,0,0.5331890493631364,0.5331890493631364,0.045097467303276066,0.06377744988897019,0.3998285323381424,9.0,0.75,,,,,,
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,crsa,2,2,0,0.28731486946344376,0.28731486946344376,0.0015814289450645225,0.002236478262039624,0.2794765383005142,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,srpr,2,2,0,0.4647183402027091,0.4647183402027091,0.017615451693551498,0.024912010692348635,0.4628811442483153,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,wrsa,2,2,0,0.5316337883472442,0.5316337883472442,0.03453697562217711,0.048842659328231876,0.39344569742679597,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ViT/B/CLIP_slip,crsa,2,2,0,0.06615470801480114,0.06615470801480114,0.04320198888890445,0.061096838608180444,0.0752555562183261,10.5,0.875,,,,,,
ViT/B/CLIP_slip,srpr,2,2,0,0.45199693179057143,0.45199693179057143,0.017305319215467796,0.024473417135710288,0.44649801590753335,7.0,0.5833333333333334,,,,,,
ViT/B/CLIP_slip,wrsa,2,2,0,0.5015473276376724,0.5015473276376724,0.02252326309680938,0.03185270414040529,0.36075074076652525,7.5,0.625,,,,,,
ViT/B/SLIP_slip,crsa,2,2,0,0.06949851606041194,0.06949851606041194,0.013615242950618268,0.019254861235769027,0.10143685936927796,6.5,0.5416666666666667,,,,,,
ViT/B/SLIP_slip,srpr,2,2,0,0.4483806919914469,0.4483806919914469,0.01903183450002668,0.02691507846677793,0.44338520933821135,6.0,0.5,,,,,,
ViT/B/SLIP_slip,wrsa,2,2,0,0.5319435626268387,0.5319435626268387,0.026003953814506542,0.03677514415979869,0.3751259297132492,6.0,0.5,,,,,,
ViT/B/SimCLR_slip,crsa,2,2,0,0.11726101972162722,0.11726101972162722,0.01082679443061351,0.015311399520799114,0.11326954662799835,8.5,0.7083333333333333,,,,,,
ViT/B/SimCLR_slip,srpr,2,2,0,0.4459699159147244,0.4459699159147244,0.013211666441119483,0.018684117862580656,0.4382836205869517,8.0,0.6666666666666667,,,,,,
ViT/B/SimCLR_slip,wrsa,2,2,0,0.5016376823186874,0.5016376823186874,0.02630800306797029,0.0372051347376766,0.36163159608840945,6.0,0.5,,,,,,
ViT/L/CLIP_slip,crsa,2,2,0,0.10168742127716542,0.10168742127716542,0.011417398974299428,0.016146640476478916,0.11233396977186202,3.5,0.3181818181818182,,,,,,
ViT/L/CLIP_slip,srpr,2,2,0,0.43323173441954643,0.43323173441954643,0.019790794321438293,0.02798840973951445,0.42606340620002603,2.0,0.18181818181818182,,,,,,
ViT/L/CLIP_slip,wrsa,2,2,0,0.49644026160240173,0.49644026160240173,0.03433370590209961,0.048555192533278446,0.35073561072349546,5.0,0.45454545454545453,,,,,,
ViT/L/SLIP_slip,crsa,2,2,0,0.23751548677682877,0.23751548677682877,0.00470804125070573,0.006658175788960032,0.23121473342180252,11.0,1.0,,,,,,
ViT/L/SLIP_slip,srpr,2,2,0,0.4424814262997261,0.4424814262997261,0.016526098740490408,0.023371432971918477,0.4354146369803105,5.0,0.45454545454545453,,,,,,
ViT/L/SLIP_slip,wrsa,2,2,0,0.5318630486726761,0.5318630486726761,0.04077369868755343,0.057662717672052125,0.3728711247444153,11.0,1.0,,,,,,
ViT/L/SimCLR_slip,crsa,2,2,0,0.1784026175737381,0.1784026175737381,0.02446792721748353,0.034602874514123,0.18585359007120134,9.0,0.8181818181818182,,,,,,
ViT/L/SimCLR_slip,srpr,2,2,0,0.44262265694374137,0.44262265694374137,0.02041242093813042,0.028867522531572598,0.43696170603389084,8.0,0.7272727272727273,,,,,,
ViT/L/SimCLR_slip,wrsa,2,2,0,0.5404719352722168,0.5404719352722168,0.018494272232055686,0.026154850616793283,0.35548925101757045,10.0,0.9090909090909091,,,,,,
ViT/S/CLIP_slip,crsa,2,2,0,0.09444271139800547,0.09444271139800547,0.029971547797322272,0.04238616938028662,0.12408070340752601,10.0,0.8333333333333334,,,,,,
ViT/S/CLIP_slip,srpr,2,2,0,0.44603211164154777,0.44603211164154777,0.016108131700049683,0.022780338314702223,0.43972282277817815,8.0,0.6666666666666666,,,,,,
ViT/S/CLIP_slip,wrsa,2,2,0,0.5078610956668854,0.5078610956668854,0.03462886214256283,0.04897260649156056,0.3673791408538818,8.0,0.6666666666666666,,,,,,
ViT/S/SLIP_slip,crsa,2,2,0,0.15364689156413078,0.15364689156413078,0.012738039344549172,0.01801430799910353,0.1683078318834305,9.5,0.7916666666666666,,,,,,
ViT/S/SLIP_slip,srpr,2,2,0,0.44530497243766776,0.44530497243766776,0.016411723551494756,0.023209682028441803,0.4421903055692915,7.5,0.625,,,,,,
ViT/S/SLIP_slip,wrsa,2,2,0,0.5175026506185532,0.5175026506185532,0.050329247117042564,0.07117630385694859,0.3718359887599945,6.0,0.5,,,,,,
ViT/S/SimCLR_slip,crsa,2,2,0,0.18443963378667833,0.18443963378667833,0.04581343084573745,0.06478997524088381,0.16610479205846787,8.0,0.6666666666666667,,,,,,
ViT/S/SimCLR_slip,srpr,2,2,0,0.4515452202918496,0.4515452202918496,0.014831267308936608,0.020974579375478846,0.44364069545310314,10.0,0.8333333333333334,,,,,,
