comparison_id,comparison,eval_type,level,n_obs,n_subjects,n_models,mean,median,std,sem
architecture,CNNs versus Transformers,crsa,Convolutional,66,2,33,0.27363143265247347,0.2833409830927849,0.05850411070684165,0.007201358215325082
architecture,CNNs versus Transformers,crsa,Transformer,42,2,21,0.18301635015578493,0.1753476798534393,0.06036014729497573,0.009313772931820055
architecture,CNNs versus Transformers,wrsa,Convolutional,66,2,33,0.4993996543414665,0.5025595009326935,0.06302570687911083,0.007757928229776139
architecture,CNNs versus Transformers,wrsa,Transformer,42,2,21,0.5271629634357634,0.5255856990814209,0.04869364955790127,0.007513593248664302
taskonomy_tasks,Taskonomy Encoders,crsa,denoising,2,2,1,0.12430385127663604,0.12430385127663604,0.025297740715092387,0.017888204008340847
taskonomy_tasks,Taskonomy Encoders,crsa,autoencoding,2,2,1,0.059023409709334354,0.059023409709334354,0.007006135428745485,0.004954085871577252
taskonomy_tasks,Taskonomy Encoders,crsa,class_object,2,2,1,0.1394362412393093,0.1394362412393093,0.03742452278190153,0.026463133841753007
taskonomy_tasks,Taskonomy Encoders,crsa,class_scene,2,2,1,0.09781671576201914,0.09781671576201914,0.01828842425295549,0.012931868806481346
taskonomy_tasks,Taskonomy Encoders,crsa,curvature,2,2,1,0.1240208387374878,0.1240208387374878,0.03424153693778454,0.024212422966957095
taskonomy_tasks,Taskonomy Encoders,crsa,depth_euclidean,2,2,1,0.1095175709575414,0.1095175709575414,0.019594921765890137,0.013855702057480794
taskonomy_tasks,Taskonomy Encoders,crsa,depth_zbuffer,2,2,1,0.12338844239711755,0.12338844239711755,0.03152927133227512,0.02229456156492235
taskonomy_tasks,Taskonomy Encoders,crsa,edge_occlusion,2,2,1,0.08244016151875255,0.08244016151875255,0.0012901268867196493,0.0009122574701905527
taskonomy_tasks,Taskonomy Encoders,crsa,edge_texture,2,2,1,0.24761621654033655,0.24761621654033655,0.05422345475455098,0.038341772556304936
taskonomy_tasks,Taskonomy Encoders,crsa,egomotion,2,2,1,0.11307154223322866,0.11307154223322866,0.018259882933979548,0.01291168704628945
taskonomy_tasks,Taskonomy Encoders,crsa,fixated_pose,2,2,1,0.09915260598063465,0.09915260598063465,0.021492217469346722,0.015197292715311046
taskonomy_tasks,Taskonomy Encoders,crsa,inpainting,2,2,1,0.08596145361661905,0.08596145361661905,0.0017944336854877456,0.0012688562273979532
taskonomy_tasks,Taskonomy Encoders,crsa,jigsaw,2,2,1,0.12747452333569526,0.12747452333569526,0.020176885976964216,0.014267212897539154
taskonomy_tasks,Taskonomy Encoders,crsa,keypoints2d,2,2,1,0.1763011589646339,0.1763011589646339,0.03856147300631777,0.0272670790553093
taskonomy_tasks,Taskonomy Encoders,crsa,keypoints3d,2,2,1,0.14012650474905963,0.14012650474905963,0.026245332524847672,0.018558252602815642
taskonomy_tasks,Taskonomy Encoders,crsa,nonfixated_pose,2,2,1,0.12115353345870965,0.12115353345870965,0.018377827728523657,0.012995086610317242
taskonomy_tasks,Taskonomy Encoders,crsa,normal,2,2,1,0.11006674170494074,0.11006674170494074,0.016052754683571688,0.011351011693477651
taskonomy_tasks,Taskonomy Encoders,crsa,point_matching,2,2,1,0.2036318957805633,0.2036318957805633,0.061496441374136374,0.043484550714492795
taskonomy_tasks,Taskonomy Encoders,crsa,random_weights,2,2,1,0.0811290563549846,0.0811290563549846,0.00979406588844301,0.0069254504051059
taskonomy_tasks,Taskonomy Encoders,crsa,reshading,2,2,1,0.16414683237671845,0.16414683237671845,0.029917994152689954,0.021155216544866542
taskonomy_tasks,Taskonomy Encoders,crsa,room_layout,2,2,1,0.06414897404611106,0.06414897404611106,0.005778024732013807,0.0040856804698705465
taskonomy_tasks,Taskonomy Encoders,crsa,segment_semantic,2,2,1,0.11665528938174245,0.11665528938174245,0.007972298720461478,0.005637266486883147
taskonomy_tasks,Taskonomy Encoders,crsa,segment_unsup25d,2,2,1,0.1295548744499683,0.1295548744499683,0.017648762059941214,0.012479559332132293
taskonomy_tasks,Taskonomy Encoders,crsa,segment_unsup2d,2,2,1,0.20610259547829624,0.20610259547829624,0.03700703506663442,0.026167925447225553
