model,score,rank
gmlp_s16_224_classification,0.5827932476997375,1
swin_tiny_patch4_window7_224_classification,0.578088504076004,2
levit_128_classification,0.5751954972743989,3
poolformer_s36_classification,0.5726128846406937,4
ResNet50/BarlowTwins/BS2048_selfsupervised,0.5706761717796326,5
resmlp_big_24_224_in22ft1k_classification,0.5661413103342057,6
hardcorenas_f_classification,0.5622346431016922,7
jx_nest_tiny_classification,0.5615004986524581,8
mixer_b16_224_classification,0.5575404345989228,9
mixer_b16_224_in21k_classification,0.5575404345989228,10
mixer_l16_224_classification,0.5565428555011749,11
mixer_l16_224_in21k_classification,0.5565428555011749,12
mobilenet_v2_classification,0.5562224209308624,13
ResNet50/PIRL_selfsupervised,0.5527271091938019,14
convnext_base_in22k_classification,0.5523819386959076,15
convnext_base_classification,0.5517447829246521,16
ViT/S/SimCLR_slip,0.5478259503841401,17
cspresnet50_classification,0.544160982966423,18
eca_nfnet_l0_classification,0.5422205805778504,19
swin_base_patch4_window7_224_classification,0.5409551948308945,20
ViT/L/SimCLR_slip,0.5404719352722168,21
vit_large_patch16_224_classification,0.5372734248638152,22
pit_b_224_classification,0.5359483808279037,23
mnasnet1_0_classification,0.534859263896942,24
vit_small_patch32_224_classification,0.5346018344163894,25
pit_ti_224_classification,0.5345571428537368,26
vit_base_patch16_224_in21k_classification,0.5332927256822586,27
ResNet50/SimCLR_selfsupervised,0.5331890493631363,28
visformer_small_classification,0.5324182897806168,29
ViT/B/SLIP_slip,0.5319435626268387,30
ViT/L/SLIP_slip,0.5318630486726761,31
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,0.5316337883472442,32
resmlp_big_24_224_classification,0.5294994562864304,33
ResNet50/MoCoV2/BS256_selfsupervised,0.5287702143192291,34
mobilenetv3_large_100_classification,0.5274122297763824,35
inception_v3_classification,0.5262343913316727,36
deit_base_patch16_224_classification,0.525713661313057,37
vit_base_patch16_224_classification,0.5255340665578843,38
skresnext50_32x4d_classification,0.5251585811376571,39
crossvit_base_240_classification,0.5246153384447098,40
swin_large_patch4_window7_224_classification,0.5239519208669663,41
xception_classification,0.5232884824275971,42
vit_small_patch32_224_in21k_classification,0.5228614807128906,43
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,0.5226078689098358,44
vit_large_patch16_224_in21k_classification,0.5214796662330627,45
coat_lite_tiny_classification,0.5201354354619979,46
gmixer_24_224_classification,0.5198091745376586,47
vit_small_patch16_224_classification,0.5194685965776443,48
ViT/S/SLIP_slip,0.5175026506185532,49
efficientnet_b3_classification,0.5135819345712661,50
vit_base_patch32_224_in21k_classification,0.5113740265369415,51
shufflenet_v2_x1_0_classification,0.509440329670906,52
tnt_s_patch16_224_classification,0.5088787347078323,53
resnet101_classification,0.5084203153848648,54
convnext_large_classification,0.5079652518033981,55
ViT/S/CLIP_slip,0.5078610956668853,56
vit_base_patch32_224_classification,0.50680330991745,57
nf_resnet50_classification,0.5021636813879014,58
ViT/B/SimCLR_slip,0.5016376823186874,59
ViT/B/CLIP_slip,0.5015473276376724,60
resnet50_classification,0.5002014338970184,61
ghostnet_100_classification,0.4999164164066314,62
vit_small_patch16_224_in21k_classification,0.4995717704296112,63
ResNet50/ClusterFit/16K/RotNet_selfsupervised,0.4995244920253754,64
swin_base_patch4_window7_224_in22k_classification,0.49943514466285704,65
ViT/L/CLIP_slip,0.49644026160240173,66
swin_large_patch4_window7_224_in22k_classification,0.4960295498371124,67
xcit_nano_12_p16_224_classification,0.4958662450313568,68
semnasnet_100_classification,0.4953938007354736,69
googlenet_classification,0.49057466685771944,70
resnet18_classification,0.4884704321622848,71
seresnext50_32x4d_classification,0.4872121930122375,72
convnext_large_in22k_classification,0.48177301585674287,73
nfnet_l0_classification,0.48172091543674467,74
alexnet_gn_ipcl_imagenet,0.48163327276706697,75
alexnet_gn_ipcl_openimages,0.48051634728908543,76
regnetx_064_classification,0.4721718668937683,77
resnet152_classification,0.46844100058078764,78
vit_tiny_patch16_224_classification,0.4679699212312698,79
regnety_064_classification,0.45629945397377014,80
dla34_classification,0.4560131758451461,81
hardcorenas_a_classification,0.4522509932518005,82
xcit_nano_12_p8_224_classification,0.4483333498239517,83
densenet121_classification,0.44289383888244627,84
alexnet_classification,0.4414375364780426,85
ResNet50/JigSaw/Goyal19_selfsupervised,0.4406705170869827,86
alexnet_gn_ipcl_places256,0.43955549597740173,87
ResNet50/RotNet_selfsupervised,0.42986747920513146,88
alexnet_gn_ipcl_vggface2,0.42560600042343133,89
ResNet50/JigSaw/P100_selfsupervised,0.4193664729595184,90
segment_unsup2d_taskonomy,0.4078876852989196,91
vgg16_classification,0.405175495147705,92
squeezenet1_0_classification,0.4043050795793533,93
keypoints3d_taskonomy,0.37446383535861966,94
class_object_taskonomy,0.3743730872869492,95
class_scene_taskonomy,0.3606479078531265,96
segment_semantic_taskonomy,0.32523871511220925,97
segment_unsup25d_taskonomy,0.3248896896839142,98
reshading_taskonomy,0.3073089629411697,99
point_matching_taskonomy,0.3071450337767601,100
depth_zbuffer_taskonomy,0.3069135159254074,101
edge_occlusion_taskonomy,0.3049931466579437,102
depth_euclidean_taskonomy,0.3039753586053848,103
normal_taskonomy,0.29891873449087136,104
room_layout_taskonomy,0.25351213440299036,105
fixated_pose_taskonomy,0.2327974945306778,106
egomotion_taskonomy,0.22687585949897765,107
denoising_taskonomy,0.20294284000992768,108
edge_texture_taskonomy,0.1826186982914805,109
inpainting_taskonomy,0.16374502740800373,110
nonfixated_pose_taskonomy,0.1357759743928909,111
jigsaw_taskonomy,0.1270613823086023,112
random_weights_taskonomy,0.1253530085086822,113
keypoints2d_taskonomy,0.09593903850764031,114
curvature_taskonomy,0.0275655533187091,115
vanishing_point_taskonomy,0.02468529287725685,116
autoencoding_taskonomy,-0.03474269751459355,117
