model,eval_type,mean,ci_lo,ci_hi,n_subjects,panel,group_label,group_color,x,x_start,x_end,mean_group,ci_lo_group,ci_hi_group,deepnsd_model,model_string,model_display_name,train_type,train_data,architecture,model_class,task_cluster,compare_architecture,compare_goal_slip,compare_goal_taskonomy_tasks,compare_goal_taskonomy_cluster,compare_diet_ipcl,compare_goal_selfsupervised,compare_goal_contrastive,compare_diet_imagenetsize
vgg16_classification,crsa,0.34596671164035797,0.3262322247028351,0.36570119857788086,2,Fig2 architecture,Convolutional,#e69f00,0.0,-0.38,32.38,0.24756071648814462,0.228267555799561,0.26516764933017617,vgg16,vgg16_classification,VGG16,classification,imagenet,vgg16,Convolutional,Semantic,Convolutional,,,,,,,
squeezenet1_0_classification,crsa,0.3037693053483963,0.2811891436576843,0.3263494670391083,2,Fig2 architecture,Convolutional,#e69f00,1.0,-0.38,32.38,0.24756071648814462,0.228267555799561,0.26516764933017617,squeezenet1_0,squeezenet1_0_classification,SqueezeNet1.0,classification,imagenet,squeezenet1_0,Convolutional,Semantic,Convolutional,,,,,,,
densenet121_classification,crsa,0.23352209478616714,0.20308996737003326,0.263954222202301,2,Fig2 architecture,Convolutional,#e69f00,2.0,-0.38,32.38,0.24756071648814462,0.228267555799561,0.26516764933017617,densenet121,densenet121_classification,DenseNet121,classification,imagenet,densenet121,Convolutional,Semantic,Convolutional,,,,,,,
dla34_classification,crsa,0.24464166909456253,0.20760734379291534,0.2816759943962097,2,Fig2 architecture,Convolutional,#e69f00,3.0,-0.38,32.38,0.24756071648814462,0.228267555799561,0.26516764933017617,dla34,dla34_classification,DLA34,classification,imagenet,dla34,Convolutional,Semantic,Convolutional,,,,,,,
alexnet_classification,crsa,0.2862091362476349,0.28300175070762634,0.28941652178764343,2,Fig2 architecture,Convolutional,#e69f00,4.0,-0.38,32.38,0.24756071648814462,0.228267555799561,0.26516764933017617,alexnet,alexnet_classification,AlexNet,classification,imagenet,alexnet,Convolutional,Semantic,Convolutional,,,,,,,
hardcorenas_a_classification,crsa,0.27519500255584717,0.26019299030303955,0.2901970148086548,2,Fig2 architecture,Convolutional,#e69f00,5.0,-0.38,32.38,0.24756071648814462,0.228267555799561,0.26516764933017617,hardcorenas_a,hardcorenas_a_classification,HardCoreNAS-A,classification,imagenet,hardcorenas_a,Convolutional,Semantic,Convolutional,,,,,,,
resnet18_classification,crsa,0.2527133598923683,0.23080675303936005,0.2746199667453766,2,Fig2 architecture,Convolutional,#e69f00,6.0,-0.38,32.38,0.24756071648814462,0.228267555799561,0.26516764933017617,resnet18,resnet18_classification,ResNet18,classification,imagenet,resnet18,Convolutional,Semantic,Convolutional,,,,,,,
resnet152_classification,crsa,0.17889092862606049,0.14813277125358582,0.20964908599853516,2,Fig2 architecture,Convolutional,#e69f00,7.0,-0.38,32.38,0.24756071648814462,0.228267555799561,0.26516764933017617,resnet152,resnet152_classification,ResNet152,classification,imagenet,resnet152,Convolutional,Semantic,Convolutional,,,,,,,
seresnext50_32x4d_classification,crsa,0.2547246217727661,0.24718213081359863,0.2622671127319336,2,Fig2 architecture,Convolutional,#e69f00,8.0,-0.38,32.38,0.24756071648814462,0.228267555799561,0.26516764933017617,seresnext50_32x4d,seresnext50_32x4d_classification,SEResNext50-32x4D,classification,imagenet,seresnext50_32x4d,Convolutional,Semantic,Convolutional,,,,,,,
ghostnet_100_classification,crsa,0.17570239305496216,0.1743524670600891,0.1770523190498352,2,Fig2 architecture,Convolutional,#e69f00,9.0,-0.38,32.38,0.24756071648814462,0.228267555799561,0.26516764933017617,ghostnet_100,ghostnet_100_classification,GhostNet100,classification,imagenet,ghostnet_100,Convolutional,Semantic,Convolutional,,,,,,,
semnasnet_100_classification,crsa,0.2580956444144249,0.21715866029262543,0.29903262853622437,2,Fig2 architecture,Convolutional,#e69f00,10.0,-0.38,32.38,0.24756071648814462,0.228267555799561,0.26516764933017617,semnasnet_100,semnasnet_100_classification,SemNASNet100,classification,imagenet,semnasnet_100,Convolutional,Semantic,Convolutional,,,,,,,
regnety_064_classification,crsa,0.2505294382572174,0.20994779467582703,0.2911110818386078,2,Fig2 architecture,Convolutional,#e69f00,11.0,-0.38,32.38,0.24756071648814462,0.228267555799561,0.26516764933017617,regnety_064,regnety_064_classification,RegNetY-64,classification,imagenet,regnety_064,Convolutional,Semantic,Convolutional,,,,,,,
skresnext50_32x4d_classification,crsa,0.2829924374818802,0.28009313344955444,0.28589174151420593,2,Fig2 architecture,Convolutional,#e69f00,12.0,-0.38,32.38,0.24756071648814462,0.228267555799561,0.26516764933017617,skresnext50_32x4d,skresnext50_32x4d_classification,SKResNext50-32x4D,classification,imagenet,skresnext50_32x4d,Convolutional,Semantic,Convolutional,,,,,,,
nf_resnet50_classification,crsa,0.2296539843082428,0.15284258127212524,0.30646538734436035,2,Fig2 architecture,Convolutional,#e69f00,13.0,-0.38,32.38,0.24756071648814462,0.228267555799561,0.26516764933017617,nf_resnet50,nf_resnet50_classification,NF-ResNet50,classification,imagenet,nf_resnet50,Convolutional,Semantic,Convolutional,,,,,,,
regnetx_064_classification,crsa,0.25637632608413696,0.2562268078327179,0.25652584433555603,2,Fig2 architecture,Convolutional,#e69f00,14.0,-0.38,32.38,0.24756071648814462,0.228267555799561,0.26516764933017617,regnetx_064,regnetx_064_classification,RegNetX-64,classification,imagenet,regnetx_064,Convolutional,Semantic,Convolutional,,,,,,,
inception_v3_classification,crsa,0.2837999314069748,0.2635799050331116,0.304019957780838,2,Fig2 architecture,Convolutional,#e69f00,15.0,-0.38,32.38,0.24756071648814462,0.228267555799561,0.26516764933017617,inception_v3,inception_v3_classification,Inception-V3,classification,imagenet,inception_v3,Convolutional,Semantic,Convolutional,,,,,,,
googlenet_classification,crsa,0.24389954656362534,0.23323358595371246,0.2545655071735382,2,Fig2 architecture,Convolutional,#e69f00,16.0,-0.38,32.38,0.24756071648814462,0.228267555799561,0.26516764933017617,googlenet,googlenet_classification,GoogleNet,classification,imagenet,googlenet,Convolutional,Semantic,Convolutional,,,,,,,
cspresnet50_classification,crsa,0.3265286237001419,0.30882611870765686,0.34423112869262695,2,Fig2 architecture,Convolutional,#e69f00,17.0,-0.38,32.38,0.24756071648814462,0.228267555799561,0.26516764933017617,cspresnet50,cspresnet50_classification,CSP-ResNet50,classification,imagenet,cspresnet50,Convolutional,Semantic,Convolutional,,,,,,,
nfnet_l0_classification,crsa,0.3336542993783951,0.32487961649894714,0.342428982257843,2,Fig2 architecture,Convolutional,#e69f00,18.0,-0.38,32.38,0.24756071648814462,0.228267555799561,0.26516764933017617,nfnet_l0,nfnet_l0_classification,NF-Net-L0,classification,imagenet,nfnet_l0,Convolutional,Semantic,Convolutional,,,,,,,
convnext_large_classification,crsa,0.23884102702140808,0.2307043820619583,0.24697767198085785,2,Fig2 architecture,Convolutional,#e69f00,19.0,-0.38,32.38,0.24756071648814462,0.228267555799561,0.26516764933017617,convnext_large,convnext_large_classification,ConvNext-L,classification,imagenet,convnext_large,Convolutional,Semantic,Convolutional,,,,,,,imagenet
mobilenetv3_large_100_classification,crsa,0.21631637960672379,0.1433720737695694,0.2892606854438782,2,Fig2 architecture,Convolutional,#e69f00,20.0,-0.38,32.38,0.24756071648814462,0.228267555799561,0.26516764933017617,mobilenetv3_large_100,mobilenetv3_large_100_classification,MobileNet-V3-Large,classification,imagenet,mobilenetv3_large_100,Convolutional,Semantic,Convolutional,,,,,,,
