model,eval_type,n_subjects_total,n_subjects_test,n_nan_test,mean_test_score,median_test_score,sem_test_score,std_test_score,mean_train_score,median_selected_layer_index,median_selected_layer_fraction,model_class,train_type,train_data,model_source,task_cluster,comparison_group
ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,2,2,0,0.32469649612903595,0.32469649612903595,0.0344836562871933,0.04876725440156101,0.3297412395477295,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,srpr,2,2,0,0.44037001237572854,0.44037001237572854,0.021205144692267416,0.029988603215888435,0.47398245420717156,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,wrsa,2,2,0,0.5590763688087463,0.5590763688087463,0.026745676994323727,0.037824099140222694,0.39955396950244904,9.0,0.75,,,,,,
ResNet50/ClusterFit/16K/RotNet_selfsupervised,crsa,2,2,0,0.20453966408967972,0.20453966408967972,0.046933583915233605,0.06637411090369912,0.22542385011911392,8.5,0.7083333333333334,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,srpr,2,2,0,0.4346219034937536,0.4346219034937536,0.01894164555781605,0.026787532041527527,0.44597535116021414,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,wrsa,2,2,0,0.587308794260025,0.587308794260025,0.0065679848194122314,0.009288533209073382,0.34980565309524536,7.0,0.5833333333333334,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,crsa,2,2,0,0.36719055473804474,0.36719055473804474,0.008000597357749937,0.011314553290416312,0.37898939847946167,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,srpr,2,2,0,0.4441127912120629,0.4441127912120629,0.024697221577462566,0.03492714570778101,0.4687082668469688,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,wrsa,2,2,0,0.5126701146364212,0.5126701146364212,0.0459594577550888,0.06499648847655991,0.3947777599096298,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/Goyal19_selfsupervised,crsa,2,2,0,0.158377543091774,0.158377543091774,0.005525082349777222,0.007813646392283156,0.17182590067386627,4.5,0.375,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,srpr,2,2,0,0.3790394051885405,0.3790394051885405,0.037384217164908445,0.05286926693331456,0.4064359743873821,3.0,0.25,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,wrsa,2,2,0,0.40781815350055695,0.40781815350055695,0.030040100216865536,0.0424831171417382,0.3382873982191086,3.0,0.25,,,,,,
ResNet50/JigSaw/P100_selfsupervised,crsa,2,2,0,0.2003568634390831,0.2003568634390831,0.02597486227750778,0.036734002513624804,0.20978325605392456,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/P100_selfsupervised,srpr,2,2,0,0.3762333393349426,0.3762333393349426,0.027019931447592235,0.03821195350757624,0.4107511788828003,11.0,0.9166666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/P100_selfsupervised,wrsa,2,2,0,0.37367311120033264,0.37367311120033264,0.048348963260650635,0.06837575956989063,0.3403608500957489,11.0,0.9166666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/MoCoV2/BS256_selfsupervised,crsa,2,2,0,0.26234208047389984,0.26234208047389984,0.010936483740806578,0.015466523630921505,0.281019851565361,9.0,0.75,,,,,,
ResNet50/MoCoV2/BS256_selfsupervised,srpr,2,2,0,0.43676608133180217,0.43676608133180217,0.015762237487283306,0.022291170027861653,0.4647072166600891,9.0,0.75,,,,,,
ResNet50/MoCoV2/BS256_selfsupervised,wrsa,2,2,0,0.5440285503864288,0.5440285503864288,0.0031210482120513916,0.004413828710303378,0.3948436975479126,10.5,0.875,,,,,,
ResNet50/PIRL_selfsupervised,crsa,2,2,0,0.3393765091896057,0.3393765091896057,0.009168863296508787,0.012966730825467614,0.32063770294189453,12.0,1.0,,,,,,
