model,eval_type,n_subjects_total,n_subjects_test,n_nan_test,mean_test_score,median_test_score,sem_test_score,std_test_score,mean_train_score,median_selected_layer_index,median_selected_layer_fraction,model_class,train_type,train_data,model_source,task_cluster,comparison_group
ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,2,2,0,0.2973661422729492,0.2973661422729492,0.048439860343933105,0.06850430745784886,0.29411251842975616,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,srpr,2,2,0,0.35228738005451765,0.35228738005451765,0.0159878959017882,0.02261029921811812,0.42874635179367976,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,wrsa,2,2,0,0.5126734673976898,0.5126734673976898,0.0012842714786529539,0.0018162341428799565,0.4039180725812912,9.0,0.75,,,,,,
ResNet50/ClusterFit/16K/RotNet_selfsupervised,crsa,2,2,0,0.2294813096523285,0.2294813096523285,0.039059638977050774,0.05523867118274198,0.20989743620157242,12.0,1.0,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,srpr,2,2,0,0.33278057965340163,0.33278057965340163,0.016271496414347553,0.023011370909275495,0.4111672202908731,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,wrsa,2,2,0,0.42951588332653046,0.42951588332653046,0.030319824814796448,0.042878707461861454,0.37473563849925995,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,crsa,2,2,0,0.3231513500213623,0.3231513500213623,0.03190526366233825,0.045120856582368245,0.3235316127538681,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,srpr,2,2,0,0.35284738239256114,0.35284738239256114,0.014006006217896936,0.019807483948031748,0.42726768085035605,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,wrsa,2,2,0,0.4683697670698166,0.4683697670698166,0.014358505606651306,0.020305993364336403,0.4031842350959778,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/Goyal19_selfsupervised,crsa,2,2,0,0.1525615230202675,0.1525615230202675,0.01362840086221695,0.019273469332804393,0.19664279371500015,4.5,0.375,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,srpr,2,2,0,0.29174939954799173,0.29174939954799173,0.012970554223763834,0.01834313369474247,0.37578330807542737,3.0,0.25,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,wrsa,2,2,0,0.411674439907074,0.411674439907074,0.018004506826400757,0.025462217737734924,0.3520355522632599,3.0,0.25,,,,,,
ResNet50/JigSaw/P100_selfsupervised,crsa,2,2,0,0.22091059386730194,0.22091059386730194,0.05611778795719147,0.07936253681943772,0.22329015284776688,10.0,0.8333333333333333,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/P100_selfsupervised,srpr,2,2,0,0.29425675316826083,0.29425675316826083,0.012699031447529733,0.017959142502098967,0.3777545542365409,9.5,0.7916666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/P100_selfsupervised,wrsa,2,2,0,0.4150194376707077,0.4150194376707077,0.0012526661157608032,0.0017715374100341534,0.3465951532125473,9.5,0.7916666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/MoCoV2/BS256_selfsupervised,crsa,2,2,0,0.26573847979307175,0.26573847979307175,0.072564460337162,0.10262164395509905,0.2386360466480255,10.5,0.875,,,,,,
ResNet50/MoCoV2/BS256_selfsupervised,srpr,2,2,0,0.34692071382211875,0.34692071382211875,0.013204744901644026,0.018674329327581965,0.42165704887607147,9.0,0.75,,,,,,
ResNet50/MoCoV2/BS256_selfsupervised,wrsa,2,2,0,0.4581466466188431,0.4581466466188431,0.01277853548526764,0.018071578190531356,0.39842475950717926,10.5,0.875,,,,,,
ResNet50/PIRL_selfsupervised,crsa,2,2,0,0.3082682490348816,0.3082682490348816,0.0386071503162384,0.05459875558180108,0.2923336327075958,12.0,1.0,,,,,,
ResNet50/PIRL_selfsupervised,srpr,2,2,0,0.3427398270398361,0.3427398270398361,0.012261360436492091,0.01734018222243199,0.4197758993415175,9.0,0.75,,,,,,
ResNet50/PIRL_selfsupervised,wrsa,2,2,0,0.4739742577075958,0.4739742577075958,0.006886512041091919,0.009738998725957817,0.3985486626625061,9.0,0.75,,,,,,
ResNet50/RotNet_selfsupervised,crsa,2,2,0,0.18575789779424667,0.18575789779424667,0.008601479232311249,0.012164328586805086,0.21260953694581985,4.0,0.3333333333333333,,,,,,
ResNet50/RotNet_selfsupervised,srpr,2,2,0,0.3010362241559975,0.3010362241559975,0.01718095261517047,0.024297536202863592,0.38051284334000623,9.0,0.75,,,,,,
ResNet50/RotNet_selfsupervised,wrsa,2,2,0,0.3500514328479767,0.3500514328479767,0.03816524147987366,0.05397380211208154,0.362382635474205,12.0,1.0,,,,,,
ResNet50/SimCLR_selfsupervised,crsa,2,2,0,0.2980964854359627,0.2980964854359627,0.0923069640994072,0.13054176053086805,0.27206096053123474,7.0,0.5833333333333334,,,,,,
ResNet50/SimCLR_selfsupervised,srpr,2,2,0,0.35383832186093345,0.35383832186093345,0.01450280846815574,0.020510068428165242,0.42924674111519734,9.0,0.75,,,,,,
ResNet50/SimCLR_selfsupervised,wrsa,2,2,0,0.4780747890472412,0.4780747890472412,0.017693549394607544,0.025022457520372254,0.40369828045368195,9.0,0.75,,,,,,
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,crsa,2,2,0,0.2201107293367386,0.2201107293367386,0.05363239347934723,0.0758476582410232,0.2272011861205101,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,srpr,2,2,0,0.3498552837652271,0.3498552837652271,0.016726988459786787,0.023655533937488708,0.42662930297203894,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,wrsa,2,2,0,0.4526109993457794,0.4526109993457794,0.01816698908805847,0.025692002355816316,0.400237038731575,4.5,0.375,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ViT/B/CLIP_slip,crsa,2,2,0,0.03311238926835358,0.03311238926835358,0.02737175556831062,0.03870950795066616,0.057620163075625896,0.0,0.0,,,,,,
