model,eval_type,mean,ci_lo,ci_hi,n_subjects,panel,group_label,group_color,x,x_start,x_end,mean_group,ci_lo_group,ci_hi_group,deepnsd_model,model_string,model_display_name,train_type,train_data,architecture,model_class,task_cluster,compare_architecture,compare_goal_slip,compare_goal_taskonomy_tasks,compare_goal_taskonomy_cluster,compare_diet_ipcl,compare_goal_selfsupervised,compare_goal_contrastive,compare_diet_imagenetsize
vgg16_classification,crsa,0.2521921694278717,0.17198222875595093,0.3324021100997925,2,Fig2 architecture,Convolutional,#e69f00,0.0,-0.38,32.38,0.20453194517529372,0.18969599951171515,0.2177225698321832,vgg16,vgg16_classification,VGG16,classification,imagenet,vgg16,Convolutional,Semantic,Convolutional,,,,,,,
squeezenet1_0_classification,crsa,0.28839296102523804,0.2499261200428009,0.32685980200767517,2,Fig2 architecture,Convolutional,#e69f00,1.0,-0.38,32.38,0.20453194517529372,0.18969599951171515,0.2177225698321832,squeezenet1_0,squeezenet1_0_classification,SqueezeNet1.0,classification,imagenet,squeezenet1_0,Convolutional,Semantic,Convolutional,,,,,,,
alexnet_classification,crsa,0.23311975598335266,0.20988449454307556,0.25635501742362976,2,Fig2 architecture,Convolutional,#e69f00,2.0,-0.38,32.38,0.20453194517529372,0.18969599951171515,0.2177225698321832,alexnet,alexnet_classification,AlexNet,classification,imagenet,alexnet,Convolutional,Semantic,Convolutional,,,,,,,
semnasnet_100_classification,crsa,0.18766335397958755,0.18334397673606873,0.19198273122310638,2,Fig2 architecture,Convolutional,#e69f00,3.0,-0.38,32.38,0.20453194517529372,0.18969599951171515,0.2177225698321832,semnasnet_100,semnasnet_100_classification,SemNASNet100,classification,imagenet,semnasnet_100,Convolutional,Semantic,Convolutional,,,,,,,
skresnext50_32x4d_classification,crsa,0.1795847862958908,0.11289307475090027,0.24627649784088135,2,Fig2 architecture,Convolutional,#e69f00,4.0,-0.38,32.38,0.20453194517529372,0.18969599951171515,0.2177225698321832,skresnext50_32x4d,skresnext50_32x4d_classification,SKResNext50-32x4D,classification,imagenet,skresnext50_32x4d,Convolutional,Semantic,Convolutional,,,,,,,
seresnext50_32x4d_classification,crsa,0.20528804510831833,0.12774322926998138,0.2828328609466553,2,Fig2 architecture,Convolutional,#e69f00,5.0,-0.38,32.38,0.20453194517529372,0.18969599951171515,0.2177225698321832,seresnext50_32x4d,seresnext50_32x4d_classification,SEResNext50-32x4D,classification,imagenet,seresnext50_32x4d,Convolutional,Semantic,Convolutional,,,,,,,
densenet121_classification,crsa,0.2066933959722519,0.15914815664291382,0.25423863530158997,2,Fig2 architecture,Convolutional,#e69f00,6.0,-0.38,32.38,0.20453194517529372,0.18969599951171515,0.2177225698321832,densenet121,densenet121_classification,DenseNet121,classification,imagenet,densenet121,Convolutional,Semantic,Convolutional,,,,,,,
hardcorenas_a_classification,crsa,0.21317677944898605,0.19119592010974884,0.23515763878822327,2,Fig2 architecture,Convolutional,#e69f00,7.0,-0.38,32.38,0.20453194517529372,0.18969599951171515,0.2177225698321832,hardcorenas_a,hardcorenas_a_classification,HardCoreNAS-A,classification,imagenet,hardcorenas_a,Convolutional,Semantic,Convolutional,,,,,,,
resnet50_classification,crsa,0.18481242656707764,0.17544607818126678,0.1941787749528885,2,Fig2 architecture,Convolutional,#e69f00,8.0,-0.38,32.38,0.20453194517529372,0.18969599951171515,0.2177225698321832,resnet50,resnet50_classification,ResNet50,classification,imagenet,resnet50,Convolutional,Semantic,Convolutional,,,,,,,
dla34_classification,crsa,0.21035590022802353,0.1226835697889328,0.29802823066711426,2,Fig2 architecture,Convolutional,#e69f00,9.0,-0.38,32.38,0.20453194517529372,0.18969599951171515,0.2177225698321832,dla34,dla34_classification,DLA34,classification,imagenet,dla34,Convolutional,Semantic,Convolutional,,,,,,,
mobilenetv3_large_100_classification,crsa,0.24645697325468063,0.16559265553951263,0.32732129096984863,2,Fig2 architecture,Convolutional,#e69f00,10.0,-0.38,32.38,0.20453194517529372,0.18969599951171515,0.2177225698321832,mobilenetv3_large_100,mobilenetv3_large_100_classification,MobileNet-V3-Large,classification,imagenet,mobilenetv3_large_100,Convolutional,Semantic,Convolutional,,,,,,,
googlenet_classification,crsa,0.21806102991104126,0.21136076748371124,0.22476129233837128,2,Fig2 architecture,Convolutional,#e69f00,11.0,-0.38,32.38,0.20453194517529372,0.18969599951171515,0.2177225698321832,googlenet,googlenet_classification,GoogleNet,classification,imagenet,googlenet,Convolutional,Semantic,Convolutional,,,,,,,
