model,eval_type,mean,ci_lo,ci_hi,n_subjects,panel,group_label,group_color,x,x_start,x_end,mean_group,ci_lo_group,ci_hi_group,deepnsd_model,model_string,model_display_name,train_type,train_data,architecture,model_class,task_cluster,compare_architecture,compare_goal_slip,compare_goal_taskonomy_tasks,compare_goal_taskonomy_cluster,compare_diet_ipcl,compare_goal_selfsupervised,compare_goal_contrastive,compare_diet_imagenetsize
vgg16_classification,crsa,0.30930898189544676,0.29882856011390685,0.3197894036769867,2,Fig2 architecture,Convolutional,#e69f00,0.0,-0.38,32.38,0.23047890399554463,0.21586464319773244,0.24392362720304817,vgg16,vgg16_classification,VGG16,classification,imagenet,vgg16,Convolutional,Semantic,Convolutional,,,,,,,
densenet121_classification,crsa,0.1893530175089836,0.18475578129291534,0.19395025372505187,2,Fig2 architecture,Convolutional,#e69f00,1.0,-0.38,32.38,0.23047890399554463,0.21586464319773244,0.24392362720304817,densenet121,densenet121_classification,DenseNet121,classification,imagenet,densenet121,Convolutional,Semantic,Convolutional,,,,,,,
alexnet_classification,crsa,0.2538044437766075,0.24768904149532317,0.25991984605789187,2,Fig2 architecture,Convolutional,#e69f00,2.0,-0.38,32.38,0.23047890399554463,0.21586464319773244,0.24392362720304817,alexnet,alexnet_classification,AlexNet,classification,imagenet,alexnet,Convolutional,Semantic,Convolutional,,,,,,,
squeezenet1_0_classification,crsa,0.29599428474903106,0.280831116437912,0.31115745306015014,2,Fig2 architecture,Convolutional,#e69f00,3.0,-0.38,32.38,0.23047890399554463,0.21586464319773244,0.24392362720304817,squeezenet1_0,squeezenet1_0_classification,SqueezeNet1.0,classification,imagenet,squeezenet1_0,Convolutional,Semantic,Convolutional,,,,,,,
ghostnet_100_classification,crsa,0.19248765110969546,0.19011156857013703,0.19486373364925386,2,Fig2 architecture,Convolutional,#e69f00,4.0,-0.38,32.38,0.23047890399554463,0.21586464319773244,0.24392362720304817,ghostnet_100,ghostnet_100_classification,GhostNet100,classification,imagenet,ghostnet_100,Convolutional,Semantic,Convolutional,,,,,,,
seresnext50_32x4d_classification,crsa,0.22817325592041016,0.20881476402282714,0.24753174781799317,2,Fig2 architecture,Convolutional,#e69f00,5.0,-0.38,32.38,0.23047890399554463,0.21586464319773244,0.24392362720304817,seresnext50_32x4d,seresnext50_32x4d_classification,SEResNext50-32x4D,classification,imagenet,seresnext50_32x4d,Convolutional,Semantic,Convolutional,,,,,,,
skresnext50_32x4d_classification,crsa,0.22505366280674935,0.19513706415891646,0.25497026145458224,2,Fig2 architecture,Convolutional,#e69f00,6.0,-0.38,32.38,0.23047890399554463,0.21586464319773244,0.24392362720304817,skresnext50_32x4d,skresnext50_32x4d_classification,SKResNext50-32x4D,classification,imagenet,skresnext50_32x4d,Convolutional,Semantic,Convolutional,,,,,,,
dla34_classification,crsa,0.24192037731409075,0.22088354527950288,0.2629572093486786,2,Fig2 architecture,Convolutional,#e69f00,7.0,-0.38,32.38,0.23047890399554463,0.21586464319773244,0.24392362720304817,dla34,dla34_classification,DLA34,classification,imagenet,dla34,Convolutional,Semantic,Convolutional,,,,,,,
hardcorenas_a_classification,crsa,0.24562979340553284,0.2187679886817932,0.2724915981292725,2,Fig2 architecture,Convolutional,#e69f00,8.0,-0.38,32.38,0.23047890399554463,0.21586464319773244,0.24392362720304817,hardcorenas_a,hardcorenas_a_classification,HardCoreNAS-A,classification,imagenet,hardcorenas_a,Convolutional,Semantic,Convolutional,,,,,,,
mobilenetv3_large_100_classification,crsa,0.2665849789977074,0.24769818782806396,0.28547177016735076,2,Fig2 architecture,Convolutional,#e69f00,9.0,-0.38,32.38,0.23047890399554463,0.21586464319773244,0.24392362720304817,mobilenetv3_large_100,mobilenetv3_large_100_classification,MobileNet-V3-Large,classification,imagenet,mobilenetv3_large_100,Convolutional,Semantic,Convolutional,,,,,,,
