model,eval_type,n_subjects_total,n_subjects_test,n_nan_test,mean_test_score,median_test_score,sem_test_score,std_test_score,mean_train_score,median_selected_layer_index,median_selected_layer_fraction,model_class,train_type,train_data,model_source,task_cluster,comparison_group
ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,2,2,0,0.2888166084885597,0.2888166084885597,0.013281883299350757,0.018783419495798554,0.2938892632722855,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,srpr,2,2,0,0.35703684562326365,0.35703684562326365,0.013909447066495021,0.019670928686547944,0.42004708550901226,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,wrsa,2,2,0,0.4997420400381088,0.4997420400381088,0.022297534346580494,0.03153347548041405,0.3803173750638962,9.0,0.75,,,,,,
ResNet50/ClusterFit/16K/RotNet_selfsupervised,crsa,2,2,0,0.20937331318855285,0.20937331318855285,0.006177255511283882,0.008735958522301624,0.20924347639083862,12.0,1.0,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,srpr,2,2,0,0.3379782310271985,0.3379782310271985,0.01219045012600839,0.01723989989963387,0.40285272339646516,7.0,0.5833333333333334,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,wrsa,2,2,0,0.4404634326696396,0.4404634326696396,0.014842984080314618,0.020991149392468857,0.3516062363982201,7.0,0.5833333333333334,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,crsa,2,2,0,0.31236173659563066,0.31236173659563066,0.002150528132915497,0.0030413060518339856,0.32834755778312685,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,srpr,2,2,0,0.35590008952692476,0.35590008952692476,0.013467299732007776,0.019045637929548945,0.4188046002474711,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,wrsa,2,2,0,0.46474901437759397,0.46474901437759397,0.03612576723098756,0.051089549969196166,0.37758326232433315,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/Goyal19_selfsupervised,crsa,2,2,0,0.18090120777487756,0.18090120777487756,0.006333073228597649,0.00895631805138475,0.18663002699613573,4.5,0.375,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,srpr,2,2,0,0.2942416583260467,0.2942416583260467,0.012668932172154923,0.01791657569864633,0.36618246311043723,3.0,0.25,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,wrsa,2,2,0,0.40483032464981084,0.40483032464981084,0.022869741916656496,0.03234269918650806,0.32730136066675186,3.0,0.25,,,,,,
