model,eval_type,n_subjects_total,n_subjects_test,n_nan_test,mean_test_score,median_test_score,sem_test_score,std_test_score,mean_train_score,median_selected_layer_index,median_selected_layer_fraction,model_class,train_type,train_data,model_source,task_cluster,comparison_group
ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,2,2,0,0.25205184519290924,0.25205184519290924,0.004072889685630798,0.005759935831468567,0.29161183536052704,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,srpr,2,2,0,0.39815305244495103,0.39815305244495103,0.028943363518359105,0.04093209722835809,0.4271199303036032,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,wrsa,2,2,0,0.4808262586593628,0.4808262586593628,0.021385550498962402,0.03024373555444734,0.38539445400238037,9.0,0.75,,,,,,
ResNet50/ClusterFit/16K/RotNet_selfsupervised,crsa,2,2,0,0.10622082650661469,0.10622082650661469,0.005785532295703887,0.008181978238131986,0.2069176360964775,12.0,1.0,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,srpr,2,2,0,0.38727620696504844,0.38727620696504844,0.019725525860822487,0.027896106197316386,0.4101961960248468,7.0,0.5833333333333334,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,wrsa,2,2,0,0.3054932430386543,0.3054932430386543,0.06293948739767073,0.08900987668659646,0.35697248578071594,7.0,0.5833333333333334,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,crsa,2,2,0,0.23258738964796066,0.23258738964796066,0.0056801363825798035,0.00803292590837321,0.3287132829427719,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,srpr,2,2,0,0.396952329849227,0.396952329849227,0.028836442289860178,0.04078088777690936,0.42618738147071566,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,wrsa,2,2,0,0.3035082519054413,0.3035082519054413,0.03361409902572632,0.0475375147291344,0.38312704861164093,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/Goyal19_selfsupervised,crsa,2,2,0,-0.0022285087034106255,-0.0022285087034106255,0.027233713306486603,0.038514286711813984,0.18574238568544388,4.5,0.375,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,srpr,2,2,0,0.33400631360420685,0.33400631360420685,0.03157560963555847,0.044654655386805395,0.37394627760239885,3.0,0.25,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,wrsa,2,2,0,0.28622590005397797,0.28622590005397797,0.01814471185207367,0.025660497586554424,0.33086298406124115,3.0,0.25,,,,,,
ResNet50/JigSaw/P100_selfsupervised,crsa,2,2,0,0.1030837893486023,0.1030837893486023,0.042435586452484124,0.06001298188835903,0.21447879076004028,10.0,0.8333333333333333,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/P100_selfsupervised,srpr,2,2,0,0.32955621659975143,0.32955621659975143,0.022273153809937742,0.03149899619483591,0.3759622105923725,9.5,0.7916666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/P100_selfsupervised,wrsa,2,2,0,0.2938605546951294,0.2938605546951294,0.03306558728218078,0.04676180198229139,0.32622282207012177,9.5,0.7916666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/MoCoV2/BS256_selfsupervised,crsa,2,2,0,0.18681157380342484,0.18681157380342484,0.010010965168476103,0.014157642713703563,0.2404480129480362,9.0,0.75,,,,,,
ResNet50/MoCoV2/BS256_selfsupervised,srpr,2,2,0,0.3857685036312451,0.3857685036312451,0.033975256442091595,0.0480482684455098,0.42025838653953207,9.0,0.75,,,,,,
ResNet50/MoCoV2/BS256_selfsupervised,wrsa,2,2,0,0.2602594569325447,0.2602594569325447,0.09410833567380905,0.13308928464226052,0.37923450767993927,10.5,0.875,,,,,,
ResNet50/PIRL_selfsupervised,crsa,2,2,0,0.12125369533896446,0.12125369533896446,0.014121223241090775,0.01997042542484873,0.2929870933294296,12.0,1.0,,,,,,
ResNet50/PIRL_selfsupervised,srpr,2,2,0,0.3713339756549855,0.3713339756549855,0.024674021457726986,0.034894335783802286,0.41827837407302926,9.0,0.75,,,,,,
ResNet50/PIRL_selfsupervised,wrsa,2,2,0,0.3737508952617645,0.3737508952617645,0.010652780532836914,0.01506530670652205,0.37832944095134735,9.0,0.75,,,,,,
ResNet50/RotNet_selfsupervised,crsa,2,2,0,0.03336898609995842,0.03336898609995842,0.0010100305080413818,0.0014283988428827096,0.20257730782032013,4.0,0.3333333333333333,,,,,,
ResNet50/RotNet_selfsupervised,srpr,2,2,0,0.3601114047288051,0.3601114047288051,0.022847986215092264,0.032311931978297,0.37860358635762104,9.0,0.75,,,,,,
ResNet50/RotNet_selfsupervised,wrsa,2,2,0,0.13933966681361198,0.13933966681361198,0.017774183303117752,0.025136491087374542,0.34533311426639557,12.0,1.0,,,,,,
ResNet50/SimCLR_selfsupervised,crsa,2,2,0,0.26334942877292633,0.26334942877292633,0.09942798316478729,0.14061240227104596,0.2699807286262512,7.0,0.5833333333333334,,,,,,
ResNet50/SimCLR_selfsupervised,srpr,2,2,0,0.3949735564193655,0.3949735564193655,0.032629170523576334,0.04614461548342608,0.42732808130270183,9.0,0.75,,,,,,
ResNet50/SimCLR_selfsupervised,wrsa,2,2,0,0.2955879271030426,0.2955879271030426,0.009145140647888184,0.012933181934052943,0.3854036331176758,9.0,0.75,,,,,,
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,crsa,2,2,0,0.216267392039299,0.216267392039299,0.005706682801246642,0.008070468213684288,0.2233804166316986,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,srpr,2,2,0,0.39304848648857876,0.39304848648857876,0.028911359527044767,0.0408868367497913,0.42523681807962577,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,wrsa,2,2,0,0.29113103449344635,0.29113103449344635,0.09618993103504181,0.1360331050334888,0.38123711943626404,4.5,0.375,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ViT/B/CLIP_slip,crsa,2,2,0,-0.10762316733598709,-0.10762316733598709,0.026033259928226467,0.0368165892632819,0.055671763606369495,5.5,0.4583333333333333,,,,,,
ViT/B/CLIP_slip,srpr,2,2,0,0.37216532185155915,0.37216532185155915,0.029485855531922595,0.041699296791418705,0.4102076031710967,7.0,0.5833333333333334,,,,,,
ViT/B/CLIP_slip,wrsa,2,2,0,0.36882922053337097,0.36882922053337097,0.029048115015029907,0.04108023821562884,0.36051274836063385,5.0,0.4166666666666667,,,,,,
ViT/B/SLIP_slip,crsa,2,2,0,-0.036934286705218256,-0.036934286705218256,0.04043184930924326,0.05717926964495708,0.10735884681344032,6.5,0.5416666666666667,,,,,,
ViT/B/SLIP_slip,srpr,2,2,0,0.38061179634747166,0.38061179634747166,0.02603024890381569,0.036812331031723565,0.41522931362869087,6.0,0.5,,,,,,
ViT/B/SLIP_slip,wrsa,2,2,0,0.33980076014995575,0.33980076014995575,0.01055733859539032,0.014930331424165912,0.3690214157104492,6.0,0.5,,,,,,
ViT/B/SimCLR_slip,crsa,2,2,0,0.03267068229615688,0.03267068229615688,0.05967327393591403,0.08439075331137455,0.12418411672115326,8.5,0.7083333333333333,,,,,,
ViT/B/SimCLR_slip,srpr,2,2,0,0.3787767460992197,0.3787767460992197,0.02533346896651056,0.03582693539439715,0.4116059115397877,11.0,0.9166666666666666,,,,,,
ViT/B/SimCLR_slip,wrsa,2,2,0,0.3526541739702225,0.3526541739702225,0.015126243233680725,0.021391738328825544,0.35930393636226654,6.0,0.5,,,,,,
ViT/L/CLIP_slip,crsa,2,2,0,0.06349754147231579,0.06349754147231579,0.07137768156826495,0.10094328532458839,0.10210996493697166,9.0,0.8181818181818181,,,,,,
ViT/L/CLIP_slip,srpr,2,2,0,0.385566692214887,0.385566692214887,0.02613301709597249,0.03695766720285225,0.40359221912641374,2.0,0.18181818181818182,,,,,,
ViT/L/CLIP_slip,wrsa,2,2,0,0.38985376060009,0.38985376060009,0.03219299018383026,0.045527763331316674,0.35946425795555115,4.0,0.36363636363636365,,,,,,
ViT/L/SLIP_slip,crsa,2,2,0,0.2737154960632324,0.2737154960632324,0.009307533502578735,0.013162840111588804,0.2043619304895401,11.0,1.0,,,,,,
ViT/L/SLIP_slip,srpr,2,2,0,0.3891928369747023,0.3891928369747023,0.02587473573498364,0.03659240219923362,0.41925264464564704,11.0,1.0,,,,,,
ViT/L/SLIP_slip,wrsa,2,2,0,0.3709472715854645,0.3709472715854645,0.005876779556274414,0.008311021351560217,0.37578926980495453,11.0,1.0,,,,,,
