model,eval_type,n_subjects_total,n_subjects_test,n_nan_test,mean_test_score,median_test_score,sem_test_score,std_test_score,mean_train_score,median_selected_layer_index,median_selected_layer_fraction,model_class,train_type,train_data,model_source,task_cluster,comparison_group
ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,2,2,0,0.2781493067741394,0.2781493067741394,0.009244561195373535,0.013073783820685286,0.29484570026397705,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,srpr,2,2,0,0.42266236701549353,0.42266236701549353,0.020047881921227834,0.028351986509854765,0.4239303177141662,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,wrsa,2,2,0,0.5687776207923889,0.5687776207923889,0.03137415647506714,0.044369757595055605,0.38414378464221954,9.0,0.75,,,,,,
ResNet50/ClusterFit/16K/RotNet_selfsupervised,crsa,2,2,0,0.20301266759634018,0.20301266759634018,0.005569346249103545,0.00787624499903396,0.2075539082288742,12.0,1.0,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,srpr,2,2,0,0.40607042083169337,0.40607042083169337,0.020731133540564828,0.02931825021643454,0.40679652036117775,7.0,0.5833333333333334,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,wrsa,2,2,0,0.522057294845581,0.522057294845581,0.02508467435836792,0.03547508668531653,0.3553238660097122,7.0,0.5833333333333334,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,crsa,2,2,0,0.3262932300567627,0.3262932300567627,0.0027622878551483154,0.003906464947929235,0.3290442228317261,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,srpr,2,2,0,0.41929072863583705,0.41929072863583705,0.02149768252498357,0.030402314186422853,0.42332873589834374,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,wrsa,2,2,0,0.5379050821065903,0.5379050821065903,0.042427375912666314,0.06000137043159428,0.3814864754676819,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/Goyal19_selfsupervised,crsa,2,2,0,0.17897094786167145,0.17897094786167145,0.015079513192176817,0.02132565207036046,0.1872531771659851,4.5,0.375,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,srpr,2,2,0,0.3675406693781472,0.3675406693781472,0.021335245842420802,0.03017259402691569,0.3704352922899463,3.0,0.25,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,wrsa,2,2,0,0.46657031774520874,0.46657031774520874,0.04190397262573242,0.05926116640462171,0.3293866813182831,3.0,0.25,,,,,,
ResNet50/JigSaw/P100_selfsupervised,crsa,2,2,0,0.1888408362865448,0.1888408362865448,6.689131259918212e-05,9.459860148270165e-05,0.2206958904862404,10.0,0.8333333333333333,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/P100_selfsupervised,srpr,2,2,0,0.36931087922175476,0.36931087922175476,0.020451794990411134,0.028923205850313573,0.37216539357242906,9.5,0.7916666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/P100_selfsupervised,wrsa,2,2,0,0.4521545469760895,0.4521545469760895,0.055060476064682,0.07786727200139247,0.3249550759792328,5.5,0.4583333333333333,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
