model,eval_type,mean,ci_lo,ci_hi,n_subjects,panel,group_label,group_color,x,x_start,x_end,mean_group,ci_lo_group,ci_hi_group,deepnsd_model,model_string,model_display_name,train_type,train_data,architecture,model_class,task_cluster,compare_architecture,compare_goal_slip,compare_goal_taskonomy_tasks,compare_goal_taskonomy_cluster,compare_diet_ipcl,compare_goal_selfsupervised,compare_goal_contrastive,compare_diet_imagenetsize
densenet121_classification,crsa,0.19835485517978668,0.17174141108989716,0.2249682992696762,2,Fig2 architecture,Convolutional,#e69f00,0.0,-0.38,32.38,0.24482268749764471,0.22929677049996275,0.25870630890695434,densenet121,densenet121_classification,DenseNet121,classification,imagenet,densenet121,Convolutional,Semantic,Convolutional,,,,,,,
vgg16_classification,crsa,0.29729583859443665,0.29479101300239563,0.29980066418647766,2,Fig2 architecture,Convolutional,#e69f00,1.0,-0.38,32.38,0.24482268749764471,0.22929677049996275,0.25870630890695434,vgg16,vgg16_classification,VGG16,classification,imagenet,vgg16,Convolutional,Semantic,Convolutional,,,,,,,
squeezenet1_0_classification,crsa,0.2807396948337555,0.26639243960380554,0.29508695006370544,2,Fig2 architecture,Convolutional,#e69f00,2.0,-0.38,32.38,0.24482268749764471,0.22929677049996275,0.25870630890695434,squeezenet1_0,squeezenet1_0_classification,SqueezeNet1.0,classification,imagenet,squeezenet1_0,Convolutional,Semantic,Convolutional,,,,,,,
alexnet_classification,crsa,0.26603689789772034,0.25870099663734436,0.2733727991580963,2,Fig2 architecture,Convolutional,#e69f00,3.0,-0.38,32.38,0.24482268749764471,0.22929677049996275,0.25870630890695434,alexnet,alexnet_classification,AlexNet,classification,imagenet,alexnet,Convolutional,Semantic,Convolutional,,,,,,,
ghostnet_100_classification,crsa,0.19470027834177017,0.17141680419445038,0.21798375248908997,2,Fig2 architecture,Convolutional,#e69f00,4.0,-0.38,32.38,0.24482268749764471,0.22929677049996275,0.25870630890695434,ghostnet_100,ghostnet_100_classification,GhostNet100,classification,imagenet,ghostnet_100,Convolutional,Semantic,Convolutional,,,,,,,
dla34_classification,crsa,0.2235589474439621,0.1977396458387375,0.2493782490491867,2,Fig2 architecture,Convolutional,#e69f00,5.0,-0.38,32.38,0.24482268749764471,0.22929677049996275,0.25870630890695434,dla34,dla34_classification,DLA34,classification,imagenet,dla34,Convolutional,Semantic,Convolutional,,,,,,,
semnasnet_100_classification,crsa,0.2856771945953369,0.24081149697303772,0.3305428922176361,2,Fig2 architecture,Convolutional,#e69f00,6.0,-0.38,32.38,0.24482268749764471,0.22929677049996275,0.25870630890695434,semnasnet_100,semnasnet_100_classification,SemNASNet100,classification,imagenet,semnasnet_100,Convolutional,Semantic,Convolutional,,,,,,,
skresnext50_32x4d_classification,crsa,0.2675093412399292,0.24305200576782227,0.29196667671203613,2,Fig2 architecture,Convolutional,#e69f00,7.0,-0.38,32.38,0.24482268749764471,0.22929677049996275,0.25870630890695434,skresnext50_32x4d,skresnext50_32x4d_classification,SKResNext50-32x4D,classification,imagenet,skresnext50_32x4d,Convolutional,Semantic,Convolutional,,,,,,,
seresnext50_32x4d_classification,crsa,0.22351061552762985,0.20555643737316132,0.2414647936820984,2,Fig2 architecture,Convolutional,#e69f00,8.0,-0.38,32.38,0.24482268749764471,0.22929677049996275,0.25870630890695434,seresnext50_32x4d,seresnext50_32x4d_classification,SEResNext50-32x4D,classification,imagenet,seresnext50_32x4d,Convolutional,Semantic,Convolutional,,,,,,,
hardcorenas_a_classification,crsa,0.2697073742747307,0.2403848022222519,0.2990299463272095,2,Fig2 architecture,Convolutional,#e69f00,9.0,-0.38,32.38,0.24482268749764471,0.22929677049996275,0.25870630890695434,hardcorenas_a,hardcorenas_a_classification,HardCoreNAS-A,classification,imagenet,hardcorenas_a,Convolutional,Semantic,Convolutional,,,,,,,
