model,eval_type,mean,ci_lo,ci_hi,n_subjects,panel,group_label,group_color,x,x_start,x_end,mean_group,ci_lo_group,ci_hi_group,deepnsd_model,model_string,model_display_name,train_type,train_data,architecture,model_class,task_cluster,compare_architecture,compare_goal_slip,compare_goal_taskonomy_tasks,compare_goal_taskonomy_cluster,compare_diet_ipcl,compare_goal_selfsupervised,compare_goal_contrastive,compare_diet_imagenetsize
vgg16_classification,crsa,0.2997962474822998,0.28607177138328554,0.3135207235813141,2,Fig2 architecture,Convolutional,#e69f00,0.0,-0.38,32.38,0.24705790547710477,0.23043367451000393,0.26174450825899837,vgg16,vgg16_classification,VGG16,classification,imagenet,vgg16,Convolutional,Semantic,Convolutional,,,,,,,
squeezenet1_0_classification,crsa,0.28949796557426455,0.2720331370830536,0.30696279406547544,2,Fig2 architecture,Convolutional,#e69f00,1.0,-0.38,32.38,0.24705790547710477,0.23043367451000393,0.26174450825899837,squeezenet1_0,squeezenet1_0_classification,SqueezeNet1.0,classification,imagenet,squeezenet1_0,Convolutional,Semantic,Convolutional,,,,,,,
mobilenetv3_large_100_classification,crsa,0.2598428025841713,0.25687816441059114,0.2628074407577515,2,Fig2 architecture,Convolutional,#e69f00,2.0,-0.38,32.38,0.24705790547710477,0.23043367451000393,0.26174450825899837,mobilenetv3_large_100,mobilenetv3_large_100_classification,MobileNet-V3-Large,classification,imagenet,mobilenetv3_large_100,Convolutional,Semantic,Convolutional,,,,,,,
densenet121_classification,crsa,0.2084609493613243,0.18017659783363343,0.2367453008890152,2,Fig2 architecture,Convolutional,#e69f00,3.0,-0.38,32.38,0.24705790547710477,0.23043367451000393,0.26174450825899837,densenet121,densenet121_classification,DenseNet121,classification,imagenet,densenet121,Convolutional,Semantic,Convolutional,,,,,,,
alexnet_classification,crsa,0.275248771905899,0.2700068414211273,0.28049070239067075,2,Fig2 architecture,Convolutional,#e69f00,4.0,-0.38,32.38,0.24705790547710477,0.23043367451000393,0.26174450825899837,alexnet,alexnet_classification,AlexNet,classification,imagenet,alexnet,Convolutional,Semantic,Convolutional,,,,,,,
ghostnet_100_classification,crsa,0.19503216445446014,0.1849430561065674,0.2051212728023529,2,Fig2 architecture,Convolutional,#e69f00,5.0,-0.38,32.38,0.24705790547710477,0.23043367451000393,0.26174450825899837,ghostnet_100,ghostnet_100_classification,GhostNet100,classification,imagenet,ghostnet_100,Convolutional,Semantic,Convolutional,,,,,,,
semnasnet_100_classification,crsa,0.2927443027496338,0.26019906997680664,0.3252895355224609,2,Fig2 architecture,Convolutional,#e69f00,6.0,-0.38,32.38,0.24705790547710477,0.23043367451000393,0.26174450825899837,semnasnet_100,semnasnet_100_classification,SemNASNet100,classification,imagenet,semnasnet_100,Convolutional,Semantic,Convolutional,,,,,,,
dla34_classification,crsa,0.2277916893362999,0.20882776081562043,0.24675561785697936,2,Fig2 architecture,Convolutional,#e69f00,7.0,-0.38,32.38,0.24705790547710477,0.23043367451000393,0.26174450825899837,dla34,dla34_classification,DLA34,classification,imagenet,dla34,Convolutional,Semantic,Convolutional,,,,,,,
seresnext50_32x4d_classification,crsa,0.2320826515555382,0.22481497824192048,0.2393503248691559,2,Fig2 architecture,Convolutional,#e69f00,8.0,-0.38,32.38,0.24705790547710477,0.23043367451000393,0.26174450825899837,seresnext50_32x4d,seresnext50_32x4d_classification,SEResNext50-32x4D,classification,imagenet,seresnext50_32x4d,Convolutional,Semantic,Convolutional,,,,,,,
skresnext50_32x4d_classification,crsa,0.2739109367132187,0.24231431484222413,0.30550755858421325,2,Fig2 architecture,Convolutional,#e69f00,9.0,-0.38,32.38,0.24705790547710477,0.23043367451000393,0.26174450825899837,skresnext50_32x4d,skresnext50_32x4d_classification,SKResNext50-32x4D,classification,imagenet,skresnext50_32x4d,Convolutional,Semantic,Convolutional,,,,,,,
