model,eval_type,n_subjects_total,n_subjects_test,n_nan_test,mean_test_score,median_test_score,sem_test_score,std_test_score,mean_train_score,median_selected_layer_index,median_selected_layer_fraction,model_class,train_type,train_data,model_source,task_cluster,comparison_group
ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,2,2,0,0.2990163266658783,0.2990163266658783,0.012276005744934093,0.017360893816255826,0.2898531913757324,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,srpr,2,2,0,0.42423056835018935,0.42423056835018935,0.018155181626707068,0.025675304083835945,0.423448743690191,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,wrsa,2,2,0,0.5823385536670684,0.5823385536670684,0.03747060894966125,0.05299144336698962,0.38303042948246,9.0,0.75,,,,,,
ResNet50/ClusterFit/16K/RotNet_selfsupervised,crsa,2,2,0,0.21080363690853118,0.21080363690853118,0.004850521683692932,0.0068596735496633246,0.2059899628162384,12.0,1.0,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,srpr,2,2,0,0.40665404488440193,0.40665404488440193,0.018434385318026686,0.026070157730764782,0.40646511903222715,7.0,0.5833333333333334,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,wrsa,2,2,0,0.5291974127292634,0.5291974127292634,0.034450191259384144,0.04871992770536807,0.35450820028781893,7.0,0.5833333333333334,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,crsa,2,2,0,0.33729422092437744,0.33729422092437744,0.008959084749221802,0.012670059158799431,0.3265809565782547,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,srpr,2,2,0,0.42239895702654207,0.42239895702654207,0.018952699704869763,0.026803164966211393,0.42234431132146455,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,wrsa,2,2,0,0.5525755763053894,0.5525755763053894,0.048917055130004876,0.06917916279620528,0.3806518733501434,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/Goyal19_selfsupervised,crsa,2,2,0,0.18650994896888734,0.18650994896888734,0.020825716853141787,0.02945201121985504,0.185637928545475,4.5,0.375,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,srpr,2,2,0,0.37188409652936333,0.37188409652936333,0.019765047959146853,0.027951998884780144,0.36909306260645364,3.0,0.25,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,wrsa,2,2,0,0.4899603366851807,0.4899603366851807,0.03704001903533938,0.05238249727033455,0.3276927441358566,3.0,0.25,,,,,,
ResNet50/JigSaw/P100_selfsupervised,crsa,2,2,0,0.2224775642156601,0.2224775642156601,0.014753192663192747,0.020864165152590427,0.21265561431646346,10.0,0.8333333333333333,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/P100_selfsupervised,srpr,2,2,0,0.37105776682121294,0.37105776682121294,0.01957872270967853,0.027688495189969492,0.37163397206708315,9.5,0.7916666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/P100_selfsupervised,wrsa,2,2,0,0.473647940158844,0.473647940158844,0.039250427484512296,0.055508486877538975,0.3231392323970795,5.5,0.4583333333333333,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/MoCoV2/BS256_selfsupervised,crsa,2,2,0,0.24440234452486037,0.24440234452486037,0.003985206782817843,0.005635933481122253,0.23950213789939878,9.0,0.75,,,,,,
ResNet50/MoCoV2/BS256_selfsupervised,srpr,2,2,0,0.4167244345563553,0.4167244345563553,0.018975859039208037,0.026835917210928074,0.4164875536742644,9.0,0.75,,,,,,
ResNet50/MoCoV2/BS256_selfsupervised,wrsa,2,2,0,0.5374804526567458,0.5374804526567458,0.026128026843070973,0.03695060991951929,0.37697813510894773,10.5,0.875,,,,,,
ResNet50/PIRL_selfsupervised,crsa,2,2,0,0.3009890079498291,0.3009890079498291,0.0005459904670715165,0.0007721471234589791,0.29092233777046206,12.0,1.0,,,,,,
ResNet50/PIRL_selfsupervised,srpr,2,2,0,0.4135626416730428,0.4135626416730428,0.017635781905115028,0.024940761953267672,0.41464725738944774,9.0,0.75,,,,,,
ResNet50/PIRL_selfsupervised,wrsa,2,2,0,0.5540425270795822,0.5540425270795822,0.040556958317756624,0.05735620050157173,0.37619410753250127,9.0,0.75,,,,,,
ResNet50/RotNet_selfsupervised,crsa,2,2,0,0.2130945697426796,0.2130945697426796,0.020952428877353657,0.029631209083011225,0.19995648115873338,4.0,0.3333333333333333,,,,,,
ResNet50/RotNet_selfsupervised,srpr,2,2,0,0.3748356815067091,0.3748356815067091,0.021234927402426714,0.03003072232851994,0.37483605161529476,9.0,0.75,,,,,,
ResNet50/RotNet_selfsupervised,wrsa,2,2,0,0.45943918228149416,0.45943918228149416,0.047095310688018775,0.06660282709917072,0.3433392494916916,12.0,1.0,,,,,,
ResNet50/SimCLR_selfsupervised,crsa,2,2,0,0.27666776478290556,0.27666776478290556,0.008047071099281294,0.011380277085984158,0.2683704733848572,7.0,0.5833333333333334,,,,,,
ResNet50/SimCLR_selfsupervised,srpr,2,2,0,0.42319649755931055,0.42319649755931055,0.019715517339508826,0.027881952010735303,0.4238317594893257,9.0,0.75,,,,,,
ResNet50/SimCLR_selfsupervised,wrsa,2,2,0,0.558497178554535,0.558497178554535,0.04996042251586913,0.07065470710383223,0.38361090421676636,9.0,0.75,,,,,,
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,crsa,2,2,0,0.23432709723711015,0.23432709723711015,0.0008156344294548006,0.0011534812720734107,0.2206808105111122,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,srpr,2,2,0,0.4218588720118646,0.4218588720118646,0.0188408606240949,0.026645000621376227,0.42154493317736386,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,wrsa,2,2,0,0.5382460117340089,0.5382460117340089,0.019144821166992173,0.0270748657435678,0.37904771864414216,4.5,0.375,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ViT/B/CLIP_slip,crsa,2,2,0,0.05310134831815958,0.05310134831815958,0.02385245617479086,0.033732467018299114,0.05646139066666365,5.5,0.4583333333333333,,,,,,
ViT/B/CLIP_slip,srpr,2,2,0,0.4075185164952667,0.4075185164952667,0.019206663926837644,0.02716232461327587,0.40610569456961576,7.0,0.5833333333333334,,,,,,
ViT/B/CLIP_slip,wrsa,2,2,0,0.5324457675218581,0.5324457675218581,0.036567124724388105,0.05171372372221823,0.35670759379863737,6.5,0.5416666666666666,,,,,,
ViT/B/SLIP_slip,crsa,2,2,0,0.10394215062260628,0.10394215062260628,0.006476493924856183,0.009159145545158568,0.1082952655851841,6.5,0.5416666666666667,,,,,,
ViT/B/SLIP_slip,srpr,2,2,0,0.41180343431411925,0.41180343431411925,0.01765969091169092,0.02497457439463017,0.40998234978840953,6.0,0.5,,,,,,
ViT/B/SLIP_slip,wrsa,2,2,0,0.5655680835247039,0.5655680835247039,0.031467992067337025,0.044502461162277025,0.36610018610954287,6.0,0.5,,,,,,
ViT/B/SimCLR_slip,crsa,2,2,0,0.12652593553066255,0.12652593553066255,0.0011506482958793668,0.0016272624255541002,0.12368850782513618,8.5,0.7083333333333333,,,,,,
ViT/B/SimCLR_slip,srpr,2,2,0,0.407806581659514,0.407806581659514,0.01736185276113475,0.02455336764272151,0.4065297084798247,11.0,0.9166666666666666,,,,,,
ViT/B/SimCLR_slip,wrsa,2,2,0,0.5449564009904861,0.5449564009904861,0.034621247649192825,0.048961837971766134,0.3558680891990662,6.0,0.5,,,,,,
ViT/L/CLIP_slip,crsa,2,2,0,0.09567466527223586,0.09567466527223586,0.007707875967025761,0.010900582729657472,0.10359169766306878,9.0,0.8181818181818181,,,,,,
ViT/L/CLIP_slip,srpr,2,2,0,0.40021044380599247,0.40021044380599247,0.01795236149575921,0.0253884731039272,0.39817563596404104,2.0,0.18181818181818182,,,,,,
ViT/L/CLIP_slip,wrsa,2,2,0,0.5147849053144455,0.5147849053144455,0.031886389851570135,0.045094164983206286,0.3527647823095321,4.0,0.36363636363636365,,,,,,
ViT/L/SLIP_slip,crsa,2,2,0,0.20567606687545775,0.20567606687545775,0.007022407650947568,0.009931184140482647,0.20394918620586394,11.0,1.0,,,,,,
ViT/L/SLIP_slip,srpr,2,2,0,0.41497255850932224,0.41497255850932224,0.016865467232069078,0.0238513724953511,0.41408467988440456,11.0,1.0,,,,,,
ViT/L/SLIP_slip,wrsa,2,2,0,0.5515808939933777,0.5515808939933777,0.051451981067657464,0.07276408943684491,0.37294749915599823,11.0,1.0,,,,,,
ViT/L/SimCLR_slip,crsa,2,2,0,0.15930865705013275,0.15930865705013275,9.995698928833006e-05,0.00014136052990553857,0.1601363778114319,10.0,0.9090909090909092,,,,,,
ViT/L/SimCLR_slip,srpr,2,2,0,0.4041191686415133,0.4041191686415133,0.0162999693096906,0.02305163766402969,0.40369202466654464,9.0,0.8181818181818181,,,,,,
ViT/L/SimCLR_slip,wrsa,2,2,0,0.5542813777923584,0.5542813777923584,0.013348960876464864,0.01887828151508445,0.35383851230144503,5.0,0.45454545454545453,,,,,,
ViT/S/CLIP_slip,crsa,2,2,0,0.11277357786893845,0.11277357786893845,0.028148378431797027,0.03980781853705767,0.11258786618709564,6.0,0.5,,,,,,
ViT/S/CLIP_slip,srpr,2,2,0,0.4007709036925444,0.4007709036925444,0.018481774044703077,0.026137175510734148,0.39998314909011934,8.0,0.6666666666666666,,,,,,
ViT/S/CLIP_slip,wrsa,2,2,0,0.5252720952033997,0.5252720952033997,0.04155136346817015,0.05876250175178017,0.35307587683200836,10.0,0.8333333333333334,,,,,,
ViT/S/SLIP_slip,crsa,2,2,0,0.15527199059724808,0.15527199059724808,0.028803111612796774,0.04073375108136319,0.15420010387897493,9.5,0.7916666666666666,,,,,,
