subject,model,eval_type,region,model_layer,model_layer_index,test_score,train_score,max_model_layer_index,selected_layer_fraction,model_class,train_type,train_data,model_source,task_cluster,comparison_group
sub-01,ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,otc,Conv2d-49,9,0.2867403209209442,0.27893338799476625,12,0.75,,,,,,
sub-01,ResNet50/BarlowTwins/BS2048_selfsupervised,srpr,otc,Conv2d-49,9,0.40607538672348226,0.4050356148488409,12,0.75,,,,,,
sub-01,ResNet50/BarlowTwins/BS2048_selfsupervised,wrsa,otc,Conv2d-49,9,0.5448679447174072,0.3170695662498474,12,0.75,,,,,,
sub-01,ResNet50/ClusterFit/16K/RotNet_selfsupervised,crsa,otc,ReLU-49,12,0.20595311522483825,0.20252178311347963,12,1.0,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
sub-01,ResNet50/ClusterFit/16K/RotNet_selfsupervised,srpr,otc,Conv2d-49,9,0.3882196595663752,0.38787283591132893,12,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
sub-01,ResNet50/ClusterFit/16K/RotNet_selfsupervised,wrsa,otc,Conv2d-49,9,0.49474722146987915,0.28779982924461367,12,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
sub-01,ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,crsa,otc,BatchNorm2d-51,5,0.34625330567359924,0.33530429005622864,12,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
sub-01,ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,srpr,otc,Conv2d-49,9,0.40344625732167233,0.40391223236889273,12,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
sub-01,ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,wrsa,otc,Conv2d-49,9,0.5036585211753846,0.3084294855594635,12,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
sub-01,ResNet50/JigSaw/Goyal19_selfsupervised,crsa,otc,Conv2d-30,6,0.16568423211574554,0.16620023548603058,12,0.5,,,,,,
sub-01,ResNet50/JigSaw/Goyal19_selfsupervised,srpr,otc,BatchNorm2d-39,3,0.3521190485702165,0.34967941179058226,12,0.25,,,,,,
