model,eval_type,mean,ci_lo,ci_hi,n_subjects,panel,group_label,group_color,x,x_start,x_end,mean_group,ci_lo_group,ci_hi_group,deepnsd_model,model_string,model_display_name,train_type,train_data,architecture,model_class,task_cluster,compare_architecture,compare_goal_slip,compare_goal_taskonomy_tasks,compare_goal_taskonomy_cluster,compare_diet_ipcl,compare_goal_selfsupervised,compare_goal_contrastive,compare_diet_imagenetsize
vgg16_classification,crsa,0.2995259761810303,0.2699528932571411,0.32909905910491943,2,Fig2 architecture,Convolutional,#e69f00,0.0,-0.38,32.38,0.24753230505368926,0.23145151434917793,0.26216317361615826,vgg16,vgg16_classification,VGG16,classification,imagenet,vgg16,Convolutional,Semantic,Convolutional,,,,,,,
densenet121_classification,crsa,0.20288819074630737,0.15795092284679413,0.24782545864582062,2,Fig2 architecture,Convolutional,#e69f00,1.0,-0.38,32.38,0.24753230505368926,0.23145151434917793,0.26216317361615826,densenet121,densenet121_classification,DenseNet121,classification,imagenet,densenet121,Convolutional,Semantic,Convolutional,,,,,,,
squeezenet1_0_classification,crsa,0.2800676003098488,0.24300913512706757,0.31712606549263,2,Fig2 architecture,Convolutional,#e69f00,2.0,-0.38,32.38,0.24753230505368926,0.23145151434917793,0.26216317361615826,squeezenet1_0,squeezenet1_0_classification,SqueezeNet1.0,classification,imagenet,squeezenet1_0,Convolutional,Semantic,Convolutional,,,,,,,
alexnet_classification,crsa,0.27515073120594025,0.2663081884384155,0.28399327397346497,2,Fig2 architecture,Convolutional,#e69f00,3.0,-0.38,32.38,0.24753230505368926,0.23145151434917793,0.26216317361615826,alexnet,alexnet_classification,AlexNet,classification,imagenet,alexnet,Convolutional,Semantic,Convolutional,,,,,,,
ghostnet_100_classification,crsa,0.19423656910657883,0.18477627635002136,0.2036968618631363,2,Fig2 architecture,Convolutional,#e69f00,4.0,-0.38,32.38,0.24753230505368926,0.23145151434917793,0.26216317361615826,ghostnet_100,ghostnet_100_classification,GhostNet100,classification,imagenet,ghostnet_100,Convolutional,Semantic,Convolutional,,,,,,,
mobilenetv3_large_100_classification,crsa,0.2508922889828682,0.24123509228229523,0.26054948568344116,2,Fig2 architecture,Convolutional,#e69f00,5.0,-0.38,32.38,0.24753230505368926,0.23145151434917793,0.26216317361615826,mobilenetv3_large_100,mobilenetv3_large_100_classification,MobileNet-V3-Large,classification,imagenet,mobilenetv3_large_100,Convolutional,Semantic,Convolutional,,,,,,,
dla34_classification,crsa,0.21440070122480392,0.19702216982841492,0.23177923262119293,2,Fig2 architecture,Convolutional,#e69f00,6.0,-0.38,32.38,0.24753230505368926,0.23145151434917793,0.26216317361615826,dla34,dla34_classification,DLA34,classification,imagenet,dla34,Convolutional,Semantic,Convolutional,,,,,,,
skresnext50_32x4d_classification,crsa,0.27824919670820236,0.22710023820400238,0.32939815521240234,2,Fig2 architecture,Convolutional,#e69f00,7.0,-0.38,32.38,0.24753230505368926,0.23145151434917793,0.26216317361615826,skresnext50_32x4d,skresnext50_32x4d_classification,SKResNext50-32x4D,classification,imagenet,skresnext50_32x4d,Convolutional,Semantic,Convolutional,,,,,,,
seresnext50_32x4d_classification,crsa,0.23036934435367584,0.22583377361297607,0.2349049150943756,2,Fig2 architecture,Convolutional,#e69f00,8.0,-0.38,32.38,0.24753230505368926,0.23145151434917793,0.26216317361615826,seresnext50_32x4d,seresnext50_32x4d_classification,SEResNext50-32x4D,classification,imagenet,seresnext50_32x4d,Convolutional,Semantic,Convolutional,,,,,,,
semnasnet_100_classification,crsa,0.28539614379405975,0.26272454857826233,0.3080677390098572,2,Fig2 architecture,Convolutional,#e69f00,9.0,-0.38,32.38,0.24753230505368926,0.23145151434917793,0.26216317361615826,semnasnet_100,semnasnet_100_classification,SemNASNet100,classification,imagenet,semnasnet_100,Convolutional,Semantic,Convolutional,,,,,,,
