model,eval_type,n_subjects_total,n_subjects_test,n_nan_test,mean_test_score,median_test_score,sem_test_score,std_test_score,mean_train_score,median_selected_layer_index,median_selected_layer_fraction,model_class,train_type,train_data,model_source,task_cluster,comparison_group
ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,2,2,0,0.29534605145454407,0.29534605145454407,0.0003145337104797363,0.0004448178391839756,0.2908451408147812,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,srpr,2,2,0,0.4246106794631106,0.4246106794631106,0.014407826694413484,0.020375743915560667,0.4234230420171299,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,wrsa,2,2,0,0.5794530212879181,0.5794530212879181,0.03317025303840637,0.046909821714261654,0.38248349726200104,9.0,0.75,,,,,,
ResNet50/ClusterFit/16K/RotNet_selfsupervised,crsa,2,2,0,0.20750374346971512,0.20750374346971512,0.0017324909567832945,0.002450112207771675,0.20687221735715866,12.0,1.0,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,srpr,2,2,0,0.40796302057068,0.40796302057068,0.01614001203933954,0.022825423922898994,0.4061010563634615,7.0,0.5833333333333334,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,wrsa,2,2,0,0.5275169163942337,0.5275169163942337,0.03932999074459076,0.055621006319008556,0.3541951924562454,7.0,0.5833333333333334,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,crsa,2,2,0,0.32575252652168274,0.32575252652168274,0.004645675420761108,0.0065699771864236945,0.32948561012744904,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,srpr,2,2,0,0.42069492748458037,0.42069492748458037,0.015079003016705532,0.02132493057328976,0.4226781700752764,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,wrsa,2,2,0,0.5417136549949646,0.5417136549949646,0.04650336503982543,0.06576568953530798,0.3806021809577942,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/Goyal19_selfsupervised,crsa,2,2,0,0.19772180169820786,0.19772180169820786,0.010636128485202788,0.015041757154916588,0.18312101811170578,4.5,0.375,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,srpr,2,2,0,0.36834580090621566,0.36834580090621566,0.016546370924487075,0.02340010216946547,0.37060523291438247,3.0,0.25,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,wrsa,2,2,0,0.48158930242061615,0.48158930242061615,0.04371632635593414,0.06182422162969045,0.32884901762008667,3.0,0.25,,,,,,
ResNet50/JigSaw/P100_selfsupervised,crsa,2,2,0,0.2167709916830063,0.2167709916830063,0.01928777992725372,0.027277039961189763,0.21405195444822311,10.0,0.8333333333333333,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/P100_selfsupervised,srpr,2,2,0,0.3703858741671662,0.3703858741671662,0.01864591515760408,0.02636930609874174,0.37242048614297407,9.5,0.7916666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/P100_selfsupervised,wrsa,2,2,0,0.4573896825313568,0.4573896825313568,0.06117418408393859,0.0865133607986143,0.32326969504356384,0.0,0.0,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/MoCoV2/BS256_selfsupervised,crsa,2,2,0,0.24534489959478378,0.24534489959478378,0.013801313936710358,0.0195180053478646,0.23945645987987518,9.0,0.75,,,,,,
ResNet50/MoCoV2/BS256_selfsupervised,srpr,2,2,0,0.4164530714978729,0.4164530714978729,0.016537949229215726,0.023388192093794533,0.4168555791971348,9.0,0.75,,,,,,
ResNet50/MoCoV2/BS256_selfsupervised,wrsa,2,2,0,0.5330264568328857,0.5330264568328857,0.029999971389770508,0.04242636641021828,0.3764941841363907,10.5,0.875,,,,,,
ResNet50/PIRL_selfsupervised,crsa,2,2,0,0.29501546919345856,0.29501546919345856,0.005670949816703796,0.008019934142319727,0.29244275391101837,12.0,1.0,,,,,,
ResNet50/PIRL_selfsupervised,srpr,2,2,0,0.41484422781139424,0.41484422781139424,0.01542701329844004,0.021817091433564,0.4142111210448038,9.0,0.75,,,,,,
ResNet50/PIRL_selfsupervised,wrsa,2,2,0,0.554681122303009,0.554681122303009,0.03885442018508911,0.05494844798389596,0.3756825625896454,9.0,0.75,,,,,,
ResNet50/RotNet_selfsupervised,crsa,2,2,0,0.21277215331792831,0.21277215331792831,0.025388203561305996,0.035904341800687856,0.20014077425003052,4.0,0.3333333333333333,,,,,,
ResNet50/RotNet_selfsupervised,srpr,2,2,0,0.3788236932999478,0.3788236932999478,0.016029809564975708,0.022669574089046594,0.37389894942599233,9.0,0.75,,,,,,
ResNet50/RotNet_selfsupervised,wrsa,2,2,0,0.45697298645973206,0.45697298645973206,0.05839452147483826,0.08258232423800321,0.3437182903289795,12.0,1.0,,,,,,
ResNet50/SimCLR_selfsupervised,crsa,2,2,0,0.2807440757751465,0.2807440757751465,0.03331035375595093,0.04710795404911137,0.26773495972156525,7.0,0.5833333333333334,,,,,,
ResNet50/SimCLR_selfsupervised,srpr,2,2,0,0.4236633856253601,0.4236633856253601,0.015580565332552893,0.022034246802736353,0.42367476839042495,9.0,0.75,,,,,,
ResNet50/SimCLR_selfsupervised,wrsa,2,2,0,0.5517798662185669,0.5517798662185669,0.041441142559051514,0.058606625847247525,0.3835000693798065,9.0,0.75,,,,,,
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,crsa,2,2,0,0.22953251004219055,0.22953251004219055,0.003647595643997192,0.005158479229793853,0.22213957458734512,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,srpr,2,2,0,0.4237422598227102,0.4237422598227102,0.014463578135314625,0.020454588359404904,0.4212106945925155,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,wrsa,2,2,0,0.5406832695007324,0.5406832695007324,0.015410304069519043,0.02179346101540713,0.3800360858440399,4.5,0.375,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ViT/B/CLIP_slip,crsa,2,2,0,0.05778631009161472,0.05778631009161472,0.02169959060847759,0.03068785533645285,0.05550463870167732,5.5,0.4583333333333333,,,,,,
ViT/B/CLIP_slip,srpr,2,2,0,0.40515522828437844,0.40515522828437844,0.021272354178858224,0.03008365178334527,0.4064063262937334,7.0,0.5833333333333334,,,,,,
ViT/B/CLIP_slip,wrsa,2,2,0,0.5213075280189514,0.5213075280189514,0.06088173389434814,0.0860997737741769,0.3580208271741867,6.5,0.5416666666666666,,,,,,
ViT/B/SLIP_slip,crsa,2,2,0,0.09728026390075684,0.09728026390075684,0.010858848690986632,0.015356731090550626,0.10591178014874458,7.0,0.5833333333333334,,,,,,
ViT/B/SLIP_slip,srpr,2,2,0,0.41126169484133496,0.41126169484133496,0.01773788458024561,0.025085156941191938,0.41047175869475383,6.0,0.5,,,,,,
ViT/B/SLIP_slip,wrsa,2,2,0,0.5559661686420441,0.5559661686420441,0.05050042271614075,0.07141838271074058,0.3667204827070236,6.0,0.5,,,,,,
ViT/B/SimCLR_slip,crsa,2,2,0,0.12584125995635986,0.12584125995635986,0.010168969631195068,0.014381094767796197,0.12420950084924698,8.5,0.7083333333333333,,,,,,
ViT/B/SimCLR_slip,srpr,2,2,0,0.40525317696163476,0.40525317696163476,0.015468697151921727,0.021876041304489776,0.4071874411259294,8.5,0.7083333333333333,,,,,,
ViT/B/SimCLR_slip,wrsa,2,2,0,0.5379051566123962,0.5379051566123962,0.04810148477554321,0.06802577213985617,0.3563368320465088,6.0,0.5,,,,,,
ViT/L/CLIP_slip,crsa,2,2,0,0.10236929729580879,0.10236929729580879,0.014968175441026686,0.021168196712679825,0.10187570005655289,9.0,0.8181818181818181,,,,,,
ViT/L/CLIP_slip,srpr,2,2,0,0.3999926673284109,0.3999926673284109,0.017337985182995754,0.024519613790016388,0.3985437206206458,2.0,0.18181818181818182,,,,,,
ViT/L/CLIP_slip,wrsa,2,2,0,0.5030127763748169,0.5030127763748169,0.03838068246841431,0.054278481679966795,0.3529004752635956,4.0,0.36363636363636365,,,,,,
ViT/L/SLIP_slip,crsa,2,2,0,0.1847037449479103,0.1847037449479103,0.0044630542397499084,0.006311711835461063,0.2094404101371765,11.0,1.0,,,,,,
ViT/L/SLIP_slip,srpr,2,2,0,0.41412501338860996,0.41412501338860996,0.016065906757498884,0.0227206232282765,0.41428797346100554,11.0,1.0,,,,,,
ViT/L/SLIP_slip,wrsa,2,2,0,0.5470960140228271,0.5470960140228271,0.06985574960708618,0.09879094850408028,0.37136247754096985,11.0,1.0,,,,,,
ViT/L/SimCLR_slip,crsa,2,2,0,0.1571783795952797,0.1571783795952797,0.005252756178379059,0.007428519027302734,0.16079746931791306,10.0,0.9090909090909092,,,,,,
ViT/L/SimCLR_slip,srpr,2,2,0,0.40157593144461745,0.40157593144461745,0.015427686783790499,0.021818043885680663,0.4042689026344668,9.0,0.8181818181818181,,,,,,
ViT/L/SimCLR_slip,wrsa,2,2,0,0.5629051327705383,0.5629051327705383,0.020412564277648926,0.028867725244263672,0.3540605157613754,10.0,0.9090909090909091,,,,,,
ViT/S/CLIP_slip,crsa,2,2,0,0.10632777586579323,0.10632777586579323,0.01680338755249977,0.023763578570556426,0.11453010514378548,6.0,0.5,,,,,,
ViT/S/CLIP_slip,srpr,2,2,0,0.39804691417376836,0.39804691417376836,0.018820962751714323,0.02661686078039323,0.40116296036053645,8.0,0.6666666666666666,,,,,,
ViT/S/CLIP_slip,wrsa,2,2,0,0.5200724005699158,0.5200724005699158,0.05278289318084717,0.07464628339764443,0.35351623594760895,6.5,0.5416666666666666,,,,,,
ViT/S/SLIP_slip,crsa,2,2,0,0.15254505723714828,0.15254505723714828,0.014249466359615324,0.020151788582347167,0.1550392471253872,9.5,0.7916666666666666,,,,,,
ViT/S/SLIP_slip,srpr,2,2,0,0.4085747918933951,0.4085747918933951,0.0181649629806834,0.02568913700728769,0.40732803729334766,6.0,0.5,,,,,,
ViT/S/SLIP_slip,wrsa,2,2,0,0.5470367670059204,0.5470367670059204,0.03726691007614136,0.05270336965741766,0.3612610846757889,6.0,0.5,,,,,,
ViT/S/SimCLR_slip,crsa,2,2,0,0.16201261430978775,0.16201261430978775,0.018218137323856354,0.02576433688457314,0.162066251039505,8.0,0.6666666666666667,,,,,,
ViT/S/SimCLR_slip,srpr,2,2,0,0.40520709311895226,0.40520709311895226,0.014765166817188534,0.02088109916356921,0.40691980888538776,10.5,0.875,,,,,,
ViT/S/SimCLR_slip,wrsa,2,2,0,0.5559470355510712,0.5559470355510712,0.036146968603134155,0.051119533237226775,0.3561657518148422,11.0,0.9166666666666666,,,,,,
alexnet_classification,crsa,2,2,0,0.27515073120594025,0.27515073120594025,0.008842542767524718,0.01250524390769758,0.26312582194805145,4.0,0.5,,,,,,
